Artist,Title,Lyrics
Beyoncé,MOOD 4 EVA,"
I know my enemy prey on me, so pray for me
Tick, tick, wait on it
I'm keepin' down my body count
I'm finessin' like a trap bounce, a trap bounce, yeah
'Cause every day above ground is a blessing
I done leveled up, now my view panoramic
None of my fears can go where I'm headed
Had to cut 'em loose, now I'm loose, break the levee, yeah
I'm 'bout to flood on 'em, flood on a sinner
The rain and thunder gon' pour
Go Mutumbo, no, no sinner
You can't dim my light


'Cause when we walk up in the club
I need them sirens goin' off
Then we can look up in the sky
The tears we cry let us know that we alive, yeah, yeah
It give me goosebumps every time
I threw up my diamond
Together, we big timin'
Don't make me have to remind you

I got my cup up to the heavens
Another night I won't remember
Promise this my mood forever
I promise this my mood forever and ever
Treasures dancin' on the bezel
This kinda feelin' unforgettable
Promise this my mood forever
Promise this my mood forever


Forever and ever
You heard that?
Forever and ever
That's the sound of the price goin' up


Forever, and ever-ever, and ever-ever 
At the Saxon Madiba suite  like Mandela
Bumpin' Fela on the Puma jet, like we from Lagos 
Mansa Musa reincarnated, we on our levels 
That's a billi', a thousand milli' 
First one to see a B out these housing buildings
I be feelin' like Prince in '84 
Mike in '79, Biggie in '97, '94 Nas
Ali bomaye, no kumbaya
Just give me the Sommelier , I'm on La Tâche
Helmet on the jet ski, you know the vibes
Hit my head, figured out me 
Oh my God, without the God in the XY 
I'm afraid the whole game will be colonized 
The marathon will be televised for N.I.P. ​
'Cause true kings don't die, we multiply, peace

I'm so unbothered, I'm so unbothered
Y'all be so pressed while I'm raisin' daughters
Sons of empires, y'all make me chuckle
Stay in your struggle, crystal blue water
Piña colada-in', you stay Ramada Inn
My baby father, bloodline Rwanda
Why would you try me? Why would you bother?
I am Beyoncé Giselle Knowles-Carter
I am the Nala, sister of Naruba
Oshun, Queen Sheba, I am the mother
Ankh on my gold chain, ice on my whole chain
I be like soul food, I am a whole mood


When we walk up in the club
I need the sirens goin' off
And when you look up to the sky
The tears we cry let us know that we alive, yeah, yeah
I give 'em goosebumps every time
I throw up my diamond
Together, we big timin'
The children are our reminder


I got my cup up to the heavens
Another night I won't remember
Promise this my mood forever
Promise this my mood forever and ever
Treasures dancin' on the bezel
This kinda feelin' unforgettable
Promise this my mood forever
Promise this my mood forever

Forever and ever
Ever, forever
Forever and ever
Ever and ever and ever
Time to break it down now


All praise due
My enemies still pressed
Cannot lose
'Cause I bet on myself
I'm dancin'
Ancestors in my step
Now, I move better, ooh
Energy pourin' out
I feel a change comin' now
Royalty in my blood from the kingdom
The more money, more problems season
But don't you let that get you out your way
Rise up higher
Jump, jump and don't look down
You're so far from the ground
Yeah, yeah-eh-eh-eh


I got my cup up to the heavens
Another night I won't remember
Promise this my mood forever
Promise this my mood forever and ever
Treasures dancin' on the bezel
This kinda feelin' unforgettable
Promise this my mood forever
Promise this my mood forever
Forever and ever"
Beyoncé,Partition,"

Let me hear you say, ""Hey, Ms. Carter!"" 
Say, ""Hey, Ms. Carter!"" 
Give me somethin'


See me up in the club with fifty-'leven girls
Posted in the back, diamond fangs in my grill
Brooklyn brim with my eyes sittin' low
Every boy in here with me got that smoke
And every girl in here got to look me up and down
All on Instagram, cake by the pound
Circulate the image every time I come around
G's up, tell me how I'm lookin', babe


Boy, this all for you, just walk my way
Just tell me how it's lookin', babe
Just tell me how it's lookin', babe 
I do this all for you, baby, just take aim
And tell me how it's lookin', babe 
Tell me how it's lookin', babe, lookin', babe


Drop the bass, mane, the bass get lower
Radio say, ""Speed it up,"" I just go slower
High like treble, pumpin' on the mids
The man ain't ever seen a booty like this
And why you think you keep my name rollin' off the tongue?
'Cause when he wanna smash, I'll just write another one
I sneezed on the beat and the beat got sicker
Yoncé all on his mouth like liquor

Yoncé all on his mouth like liquor
Yoncé all on his mouth like liquor
Yoncé all on his mouth like liquor
Like, like liquor, like, like, like liquor
Yoncé all on his mouth like liquor
Yoncé all on his mouth like liquor
Yoncé all on his mouth like liquor
Like, like liquor, like, like, like liquor


Beyoncé, Beyoncé?
Are you happy to be in Paris? Are you happy to be in Paris?
Beyoncé, Beyoncé? Beyoncé!
Part II: ""Partition""





Driver, roll up the partition, please
Driver, roll up the partition, please
I don't need you seein' 'Yoncé on her knees
Took forty-five minutes to get all dressed up
We ain't even gonna make it to this club
Now my mascara runnin', red lipstick smudged
Oh, he so horny, yeah, he want to fuck
He popped all my buttons and he ripped my blouse
He Monica Lewinsky'd all on my gown

Oh, there, daddy, daddy didn't bring the towel
Oh, baby, baby, we better slow it down
Took forty-five minutes to get all dressed up
And we ain't even gon' make it to this club


Take all of me
I just wanna be the girl you like
The kind of girl you like
Take all of me
I just wanna be the girl you like
The kind of girl you like is right here with me


Driver, roll up the partition fast 
Driver, roll up the partition fast
Over there, I swear I saw them cameras flash
Handprints and footprints on my glass
Handprints and good grips all on my ass
Private show with the music blastin'
He like to call me ""Peaches"" when we get this nasty
Red wine drip, we'll talk that trash
Chauffeur eavesdroppin', tryin' not to crash


Oh, there, daddy, daddy, now you rip my fur
Oh, baby, baby be sweatin' off my hair
Took forty-five minutes to get all dressed up
And we ain't even gonna make it to this club

Take all of me
I just wanna be the girl you like
The kind of girl you like
Take all of me
I just wanna be the girl you like
The kind of girl you like is right here with me 


Est-ce que tu aimes le sexe?
Le sexe, je veux dire: l'activité physique, le coït. Tu aimes ça ?
Tu ne t'intéresses pas au sexe ?
Les hommes pensent que les féministes détestent le sexe, mais c'est une activité très stimulante et naturelle que les femmes adorent


Take all of me
I just wanna be the girl you like
The kind of girl you like
Take all of me
I just wanna be the girl you like
The kind of girl you like is right here with me 


Bzz-bzz-bzz-bzz-bzz-bzzwop"
Beyoncé,Mine,"I've been watchin' for the signs
Took a trip to clear my mind, oh
Now I'm even more lost
And you're still so fine, oh, my, oh, my
Been havin' conversations about breakups and separations
I'm not feelin' like myself since the baby
Are we gonna even make it? Oh
'Cause if we are, we're takin' this a little too far
If we are, we're takin' this a little too far
Baby, if we are, we're takin' this a little too far
With me bein' wherever I'm at
Worried 'bout wherever you are
We're takin' this a little too far
We're takin' this a little too far
We're takin' this a little too far


Know you wanna roll with a good girl
Do it big, do it all for a good girl
One time, this is a song for the good girl
Don't sleep when you know you got it good, girl
One time, this is a song for the good girl
Wanna roll, wanna roll with a good girl
One time, this is a song for the good girl
And I still keep it hood, still treat you like I should, what's up?

On my mind, up past my bedtime, no rest at the kingdom
Alone in my place, my heart is away, all that I can think of is
We should get married, we should get married
Let's stop holdin' back on this and let's get carried away


Stop makin' a big deal out of the little things
'Cause I got big deals and I got little things
Got everything I'm asking for but you
Stop makin' a big deal out of the little things
Let's get carried away
Come right now, you know where I stay


I just wanna say, you're mine, you're mine
I just wanna say, you're mine, you're mine
Fuck what you heard, you're mine, you're mine
All I'm really askin' for is you
You're mine, you're mine 
I just wanna say, you're mine, you're mine
Fuck what you heard, you're mine, you're mine
Long as you know who you belong to


Know you wanna roll with a good girl
Do it big, do it all for a good girl
One time, this is a song for the good girl
Don't sleep when you know you got it good, girl
One time, this is a song for the good girl
Wanna roll, wanna roll with a good girl
One time, this is a song for the good girl
And I still keep it hood, still treat you like I should, what's up?

From eight until late, I think 'bout you
You own my nights, I don't know what to do, do
I can't get no rest, can't get no sleep, yeah
This whole thing got way too deep and we should


Stop makin' a big deal out of the little things
'Cause I got big deals and I got little things
I got everything I'm askin' for but you
Stop makin' a big deal out of the little things
Let's get carried away
Come right now, you know where I stay


I just wanna say, you're mine, you're mine
I just wanna say, you're mine, you're mine
Fuck what you heard, you're mine, you're mine
All I'm really askin' for is you
You're mine, you're mine 
I just wanna say, you're mine, you're mine
Fuck what you heard, you're mine, you're mine
Long as you know who you belong to


Know you wanna roll with a good girl
Do it big, do it all for a good girl
One time, this is a song for the good girl
Don't sleep when you know you got it good, girl
One time, this is a song for the good girl
Wanna roll, wanna roll with a good girl
One time, this is a song for the good girl
And I still keep it hood, still treat you like I should, what's up?





Yeah, yeah, yeah
 I gotta pull up on you
You gon' make me have to pull up on you
Don't go ghost on me, I'ma go ""Thriller"" on you
I'ma just 
I'ma let my hands do the talkin' when I see you, baby girl
I miss feelin' on you 
I miss everything that's real about you
And that's everything about you, that's just how I feel about you 
Been about you and I'm still about you, but
We ain't finished talkin' 
I told you you don't need to worry 'bout them bitches
All them fives need to listen when a ten is talkin' 
'Cause they don't wanna see you happier than them
And, girl, you swear they all your friends and that's been a problem 
You the one they hate, this come with that
I know you think it's funny that your ex is not a runnin' back
But that nigga came runnin' back 
And you tell me you done with that
And I believe it's true
Long as you know who you belong to


All I'm really askin' for is you
Yeah"
Beyoncé,Run the World (Girls),"Girls 
We run this mutha , yeah
Girls 
We run this mutha , yeah
Girls 
We run this mutha , yeah
Girls 
We run this mutha 


Who run the world? Girls 
Who run the world? Girls 
Who run the world? Girls 
Who run the world? Girls 
Who run this mutha? 
Who run this mutha? 
Who run this mutha? 
Who run this mutha? 
Who run the world? Girls 
Who run the world? Girls 
Who run the world? Girls 
Who run the world? G-G-Girls 


Some of them men think they freak this
Like we do, but no, they don't
Make your check, come at they neck
Disrespect us, no, they won't
Boy, don't even try to touch this 
Boy, this beat is crazy 
This is how they made me 
Houston, Texas, baby
This goes out to all my girls
That's in the club rockin' the latest
Who will buy it for themselves
And get more money later
I think I need a barber 
None of these **** can fade me 
I'm so good with this
I remind you, I'm so hood with this

Boy, I'm just playin'
Come here, baby
Hope you still like me
F-U, pay me


My persuasion can build a nation 
Endless power, with our love, we can devour 
You'll do anythin' for me
Who run the world? Girls 


Who run the world? Girls 
Who run the world? Girls 
Who run the world? Girls 
Who run the world? Girls 
Who run this mutha? 
Who run this mutha? 
Who run this mutha? 
Who run this mutha? 
Who run the world? Girls 
Who run the world? Girls 
Who run the world? Girls 
Who run the world? G-G-Girls 

It's hot up in here
DJ, don't be scared to run this, run this back
I'm reppin' for the girls who takin' over the world
Help me raise a glass for the college grads
41' Rollie to let you know what time it is, check
You can't hold me 
I work my nine to five, better cut my check
This goes out to all the women gettin' it in
You on your grind
To other men that respect what I do
Please accept my shine
Boy, you know you love it
How we smart enough to make these millions
Strong enough to bear the children 
Then get back to business 


See, you better not play me 
Oh, come here, baby 
Hope you still like me
F-U, pay me


My persuasion can build a nation 
Endless power, with our love, we can devour 
You'll do anythin' for me
Who run the world? Girls 

Who run the world? Girls 
Who run the world? Girls 
Who run the world? Girls 
Who run the world? Girls 
Who run this mutha? 
Who run this mutha? 
Who run this mutha? 
Who run this mutha? 
Who run the world? Girls 
Who run the world? Girls 
Who run the world? Girls 
Who run the world? G-G-Girls 


Who are we? What we run? The world

Who are we? What we run? The world

Who are we? What do we run? We run the world

Who are we? What we run? We run the world
Who run the world? Girls "
Beyoncé,711,"Shoulders sideways, smack it, smack it in the air
Legs movin' side to side, smack it in the air
Legs movin' side to side, smack you in the air
Shoulders sideways, smack it, smack it in the air
Smack it, smack it in the air , legs movin' side to side 
Smack it, smack it in the air, smack it, smack it in the air



Wave your hands side to side, put it in the air 
Wave your hands side to side, put it in the air 
Clap, clap, clap, like you don't care 
Smack that, clap, clap, clap, like you don't care



Clap, clap, clap, clap, clap it 
Foot up, my foot up , hold up now my foot up 
I'm spinnin' my foot up, foot up, yeah, my foot up 
I'm spinnin' my foot up, put my foot down, yeah, my hands up 
My hands up, my hands up , flexin' while my hands up 
My hands up, my hands up, I stand up with my hands up
Then I put up, my hands up , I put up, my hands up 
I put up, my hands up then I'm spinnin' all my hands up 
Spinnin' while my hands up , spinnin' while my hands up 
Spinnin' while my hands up then I'm tippin' all my hands up
I'm spinnin', I'm spinnin', I'm spinnin' while my hands up 
I'm spinnin', I'm spinnin', I'm spinnin' while my hands up


Hold that cup like alcohol, hold that cup like alcohol 
Hold that cup like alcohol, don't you drop that alcohol 
Never drop that alcohol, never drop that alcohol 
I know you thinkin' about alcohol, I know I'm thinkin' bout that alcohol 


Man, this here like rollin' dice, man, this here like rollin' dice 
Seven eleven, seven eleven, seven twice, man, seven twice
Man, it feel like rollin' dice , man, this feel like rollin' dice 
Man, it feel like rollin' dice , seven twice, seven twice 
Girl, I'm tryna kick it with ya , girl, I'm tryna kick it with ya 
Man, I'm tryna kick it with ya, my feet up, I kick it with ya 
Man, I swear I kick it with ya , girl, I wanna kick it with ya 
Man, I know I kick it with ya, yeah, I spin around and I kick it with ya


Shoulders sideways, smack it, smack it in the air 
Legs movin' side to side, smack it in the air 
Legs movin' side to side, smack it in the air 
Shoulders movin' side to side, smack it in the air 
Smack it in the air , smack it, smack it in the air 
Smack it in the air, smack it, smack it in the air 


Wave your hands side to side, put it in the air 
Wave your hands side to side, put it in the air 
Clap, clap, clap, like you don't care 
Smack that, clap, clap, clap, like you don't care


Ooh, you care
I know you care, care
Wave ya hands side to side 
Wave ya hands side to side 
Wave ya hands from side to side 
Wave ya hands side to side 
Ooh, wee BB freaky deaky, think me see she pink bikini
Rock that kufi, dye dashiki, Nefertiti, edges kinky
Sweatin' out my blow out, sweatin' out my presses
This trick about to go off, mad 'cause I'm so fresh
Fresher than you, I'm fresher than you
Fresher than you, oh"
Beyoncé,Countdown,"Boy


Oh, killin' me softly
And I'm still fallin'
Still the one I need
I will always be with you
Oh, you got me all gone
Don't ever let me go
Say it real loud if you fly
If you leave me, you out of your mind


My baby is a ten
We dressin' to the nine
He pick me up, we eight
Make me feel so lucky, seven
He kiss me in his six
We be makin' love in five
Still the one I do this four
I'm tryin' to make us three
From that two
He still the one


There's ups and downs in this love
Got a lot to learn in this love
Through the good and the bad, still got love
Dedicated to the one I love, hey
Still love the way he talk, still love the way I sing
Still love the way he rock them black diamonds in that chain 
Still all up on each other, ain't a damn thing change
My girls can't tell me nothin', I'm gone in the brain
I'm all up under him like it's cold, winter time
All up in the kitchen in my heels, dinner time
Do whatever that it takes, he got a winner's mind
Give it all to him, meet him at the finish line

Me and my boo, and my boo, boo ridin' 
All up in that black with his chick right beside him 
Ladies, if you love your man, show him you the fliest
Grind up on it, girl, show him how you ride it
Me and my boo, and my boo, boo ridin' 
All up in that black with his chick right beside him 
Ladies, if you love your man, show him you the fliest
Grind up on it, girl, show him how you ride it


Oh , killin' me softly 
And I'm still fallin' 
Still the one I need
I will always be with you
Oh, you got me all gone
Don't ever let me go
Say it real loud if you fly
If you leave me, you out of your mind


My baby is a ten
We dressin' to the nine
He pick me up, we eight
Make me feel so lucky, seven
He kiss me in his six
We be makin' love in five
Still the one I do this four
I'm tryin' to make us three
From that two
He still the one

Yup, I put it on him, it ain't nothin' that I can't do
Yup, I buy my own, if he deserve it, buy his shit too
All up in the store, shorty, trickin' if I want to
All up in the store, shorty, fly as we want to
Ooh, ooh, ooh, ooh
Damn, I think I love that boy, do anything for that boy, boy
Ooh, ooh, ooh, ooh
Now I'll never be the same, it's you and me until the end


Me and my boo, and my boo, boo ridin' 
All up in that black with his chick right beside him 
Ladies, if you love your man, show him you the flyest
Grind up on it, girl, show him how you ride it
Me and my boo, and my boo, lip lockin'
All up in the back because the chicks keep flockin'
All that gossip in ten years, stop it
London, speed it up, Houston, rock it


Oh , killin' me softly 
And I'm still fallin' 
Still the one I need
I will always be with you
Oh, you got me all gone
Don't ever let me go
Say it real loud if you fly
If you leave me, you out of your mind

My baby is a ten
We dressin' to the nine
He pick me up, we eight
Make me feel so lucky, seven
He kiss me in his six
We be makin' love in five
Still the one I do this four
I'm tryin' to make us three
From that two
He still the one"
Beyoncé,Party,"You a bad girl and your friends bad too, ooh
We got the swag sauce, she drippin' swagu
You a bad girl and your friends bad too, ooh
You got the swag sauce, she drippin' swagu, ooh


I may be young, but I'm ready
To give you all my love
I told my girls you can get it
Don't slow it down, just let it go


So in love, I'll give it all away
Just don't tell nobody tomorrow
So tonight, I'll do it every way
Speakers knockin' 'til the morning light
'Cause we like to party


Ayy, ayy, ayy

Ayy, ayy, ayy

'Cause we like to party, ayy, ayy, ayy

Ayy, ayy, ayy

'Cause we like to party

Your touch is drivin' me crazy
I can't explain the way I feel
Top down, with the radio on and the night belongs to us
Just hold me close, don't let me go


So in love, I don't care what they say
I don't care if they talkin' tomorrow
'Cause tonight's the night, oh-oh-oh-oh
That I give you everything
Music knockin' 'til the morning light
'Cause we like to party


Set the scene, three thousand degrees
I ain't worried about them, **** **** over there, but they worry about me
I got a homeboy named Butter and another homeboy there, **** named Cheese
**** with me, baby, I'll make it milk 'til it drip down your knees
Spit this **** for real-o, Brain Brillo
Kiddo say he looks up to me, this just makes me feel old
Never thought that we could become someone else's hero
Man, we were just in the food court eating our gyros
Yesterday, that's the way, every single morning I try to pray
Grandmom and them, they never forgot and nothin' else really mean nothin' to me
I ain't studyin' the beat, talkin' to me?
Girl, why you **** with me? Move on, ain't nothin' to see
Sh, always somethin' to saw, I'm the raw, off the rip
'Cause of him, all of them, will remember the minute
They fell in love with rap, black like havin' your cousin back
Blue like when that rent is due, cream like when I'm lovin' you, yeah

So in love, I'll give it all away
Just don't tell nobody tomorrow
'Cause tonight's the night, oh-oh-oh-oh
That I give you everything
Music knockin' 'til the morning light
'Cause we like to party


Ayy, ayy, ayy

Ayy, ayy, ayy, ayy

'Cause we like to party, ayy, ayy, ayy

Ayy, ayy, ayy

'Cause we like to party


You a bad girl, and your friends bad too, ooh
We got the swag sauce, she drippin' swagu
You a bad girl and your friends bad too, ooh
You got the swag sauce, she drippin' swagu, ooh"
Beyoncé,Jealous,"I'm in my penthouse half-naked
I cooked this meal for you naked
So where the hell you at?
Just one shot left of this drink in this glass
Don't make me break it
I wish that you were me
So you could feel this feeling
I never broke one promise
And I know when you not honest
Now you got me yellin', that's because I'm jealous


If you're keepin' your promise, I'm keepin' mine
Oh, I'm jealous
If you're keepin' your promise, I'm keepin' mine 


Sometimes, I wanna walk in your shoes
Do the type of things that I'll never, ever do
So I take one look in the mirror and I say to myself
""Baby girl, you can't survive like this""


Take it one step further
Freakum dress out my closet
Yoncé fillin' out this skirt
I look damn good, I ain't lost it
And I ain't missed a beat
Boy, you been hangin' out at night, tonight, I'm stayin' out 'til tomorrow
Dancin' on them tables, ain't got no cares, no sorrows
I ran into my ex, said, ""What up,"" to his besties
Now we reminiscin' how we used to flex in Texas, don't be jealous

If you're keepin' your promise, I'm keepin' mine
Oh, I'm jealous
If you're keepin' your promise, I'm keepin' mine 


Sometimes, I wanna walk in your shoes
Do the type of things that I'll never, ever do
I take one look in the mirror and I say to myself
""Baby girl, you can't survive like this, no, no, no""


And I hate you for your lies and your covers
And I hate us for makin' good love to each other
And I love makin' you jealous, but don't judge me
And I know that I'm bein' hateful, but that ain't nothing
That ain't nothing
I'm just jealous, I'm just human
Don't judge me


If you're keepin' your promise, I'm keepin' mine 
Oh, I'm jealous
If you're keepin' your promise, I'm keepin' mine"
Beyoncé,Blue,"Sometimes, these walls seem to cave in on me
When I look in your eyes, I feel alive
Some days, we say words that don't mean a thing
But when you're holdin' me tight, I feel alive


Make it last forever
Come on, baby, won't you hold on to me, hold on to me?
You and I together
Come on, baby, won't you hold on to me, hold on to me?
Blue


Each day, I feel so blessed to be lookin' at you
'Cause when you open your eyes, I feel alive
My heart beats so damn quick when you say my name
When I'm holdin' you tight, I'm so alive
Now let's, let's live it up


Make it last forever
Come on, baby, won't you hold on to me, hold on to me?
You and I together
Come on, baby, won't you hold on to me, hold on to me?
Blue
Make it last forever
Come on, baby, won't you hold on to me, hold on to me?
You and I together
Come on, baby, won't you hold on to me, hold on to me?

We gotta hold on
I gotta hold on
You've got to hold on
You've got a hold on, a hold on to me
We gotta hold on
I gotta hold on
You've got to hold on
You've got a hold on, a hold on me


Make it last forever
Come on, baby, won't you hold on to me, hold on to me?
You and I together
Come on, baby, won't you hold on to me, hold on to me?
Blue


Hold on to me, hold on
Bee-sy-ay, Bee-sy-ay
Blue 
Mommy, mommy, mommy
Can we see daddy?
Can we see daddy?
Missus Carter, Missus Carter!"
Beyoncé,Sorry,"Sorry, I ain't sorry
Sorry, I ain't sorry
I ain't sorry, nigga, nah
Sorry, I ain't sorry
Sorry, I ain't sorry
I ain't sorry


He trying to roll me up 
I ain't picking up 
Headed to the club 
I ain't thinking 'bout you 
Me and my ladies sip my D'USSÉ cups
I don't give a fuck, chucking my deuces up
Suck on my balls, pause, I had enough 
I ain't thinking 'bout you
I ain't thinking 'bout


Middle fingers up, put them hands high
Wave it in his face, tell him, boy, bye 
Tell him, boy, bye, boy, bye, middle fingers up
I ain't thinking 'bout you


Sorry, I ain't sorry 
Sorry, I ain't sorry 
I ain't sorry, nigga, nah
I ain't thinking 'bout you
Sorry, I ain't sorry
Sorry, I ain't sorry, I ain't sorry
No, no, hell nah

Now you wanna say you're sorry
Now you wanna call me crying
Now you gotta see me wilding
Now I'm the one that's lying
And I don't feel bad about it
It's exactly what you get
Stop interrupting my grinding

I ain't thinking 'bout you


Sorry, I ain't sorry
I ain't thinking 'bout you
I ain't thinking 'bout you
Sorry, I ain't sorry
I ain't thinking 'bout you
I ain't thinking 'bout you


Middle fingers up, put them hands high
Wave it in his face, tell him, boy, bye  
Tell him, boy, bye , boy, bye 
Middle fingers up, I ain't thinking 'bout you


Sorry, I ain't sorry
Sorry, I ain't sorry
I ain't sorry, nigga, nah
Sorry, I ain't sorry
Sorry, I ain't sorry
I ain't sorry
No, no, hell nah

Looking at my watch, he shoulda been home
Today, I regret the night I put that ring on
He always got them fucking excuses
I pray to the Lord you reveal what his truth is


I left a note in the hallway
By the time you read it, I'll be far away
I'm far away
But I ain't fucking with nobody
Let's have a toast to the good life
Suicide before you see this tear fall down my eyes
Me and my baby, we gon' be alright
We gon' live a good life
Big homie better grow up
Me and my whoadies 'bout to stroll up
I see them boppers in the corner
They sneaking out the back door
He only want me when I'm not there
He better call Becky with the good hair
He better call Becky with the good hair"
