Artist,Title,Lyrics
Lana Del Rey,Fingertips,"When I look back, tracing fingertips over plastic bags
Thinking, ""I wish I could extrapolate some small intention
Or maybe just get your attention for a minute or two""


Will I die? Or will I get to that ten-year mark?
Where I beat the extinction of telomeres?
And if I do, will you be there with me, Father, Sister, Brother?


Charlie, stop smoking
Caroline, will you be with me?
Will the baby be alright?
Will I have one of mine?
Can I handle it even if I do?
It's said that my mind
Is not fit, or so they said, to carry a child
I guess I'll be fine


It wasn't my idea, the cocktail of things that twists neurons inside
But without them, I'd die
They say there's irony in the music, it's a tragedy, I
See nothing Greek in it
Give me a mausoleum in Rhode Island with Dad, Grandma, Grandpa, and Dave
Who hung himself real high
In the National Park sky, it's a shame and I'm crying right now
To get to you, save you, if I take my life
Find your astral body, put it into my arms
Give you two seconds to cry
Take you home, I, I'll give you a blanket
Your spirit can sit and watch TV by my side
'Cause, baby, I
Ran through a time when I felt you were doing it

I couldn't handle it, I was in Monaco
I couldn't hear what they said on the telephone
I had to sing for the prince in two hours
Sat in the shower
Gave myself two seconds to cry
It's a shame that we die


When I was fifteen, naked, next-door neighbors did a drive-by
Pulled me up by my waist, long hair to the beach side
I wanted to go out like you, swim with the fishes
That he caught on Rhode Island beaches
But, sometimes, it's just not your time

Caroline, what kind of mother was she to say I'd end up in institutions?
All I wanted to do was kiss Aaron Greene and sit by
The lake, twisting lime into the drinks that they made
Have a babe at sixteen in the town I was born in, and die


Aaron ended up dead and not me
What the fuck's wrong in your head to send me away, never to come back?
Exotic places and people don't take the place of being your child
I give myself two seconds to cry

Let it crash over me
Like the waves in the sea
Call me Aphrodite, as they bow down to me


Sunbather, moon chaser, queen of empathy
I give myself two seconds to breathe
And go back to being a serene queen
I just needed two seconds to be me"
Lana Del Rey,Brooklyn Baby,"Da-da-da-da-da-da-da
Da-da-da-da-da-da-da
Da-da-da-da-da-da-da


They say I'm too young to love you
I don't know what I need
They think I don't understand
The freedom land of the seventies
I think I'm too cool to know ya
You say I'm like the ice, I freeze
I'm churning out novels like
Beat poetry on amphetamines


I say
I say


Well, my boyfriend's in a band
He plays guitar while I sing Lou Reed
I've got feathers in my hair
I get down to Beat poetry
And my jazz collection's rare
I can play most anything
I'm a Brooklyn baby
I'm a Brooklyn baby

Da-da-da-da-da-da
Da-da-da-da-da-ya-da
Pa-da-da-da-da-da-da


They say I'm too young to love you
They say I'm too dumb to see
They judge me like a picture book
By the colors, like they forgot to read
I think we're like fire and water
I think we're like the wind and sea
You're burning up, I'm cooling down
You're up, I'm down
You're blind, I see


But I'm free, ooh
I'm free


Well, my boyfriend's in a band
He plays guitar while I sing Lou Reed
I've got feathers in my hair
I get down to Beat poetry
And my jazz collection's rare
I can play most anything
I'm a Brooklyn baby
I'm a Brooklyn baby

I'm talking 'bout my generation
I'm talking 'bout my newer nation
And if you don't like it, you can beat it
Beat it, baby
You never liked the way I said it
If you don't get it, then forget
'Cause I don't have to fucking explain it


And my boyfriend's in a band
He plays guitar while I sing Lou Reed
I've got feathers in my hair
I get high on hydroponic weed
And my jazz collection's rare
I get down to Beat poetry
I'm a Brooklyn baby
I'm a Brooklyn baby


Pa-da-pa-pa, pa-de-da
Te-de-de, da-da-ah
Ooh, oh, woah-ah


Yeah, my boyfriend's pretty cool
But he's not as cool as me
'Cause I'm a Brooklyn baby
I'm a Brooklyn baby

Pa-da-da-da-da-da-da
Da-da-da-da-da, baby
Ah-ta-da-da-da-da
Da-da-da-da, baby
Pa-da-da-da-da-da
Pa-pa-da-pa-da, yeah
Yeah, yeah"
Lana Del Rey,Diet Mountain Dew,"You're no good for me
Baby, you're no good for me
You're no good for me
But, baby, I want you, I want


Diet Mountain Dew, baby, New York City
Never was there ever a girl so pretty
Do you think we'll be in love forever?
Do you think we'll be in love?
Diet Mountain Dew, baby, New York City
Can we hit it now, low-down and gritty?
Do you think we'll be in love forever?
Do you think we'll be in love?


Baby, put on heart-shaped sunglasses
'Cause we gonna take a ride
I'm not gonna listen to what the past says
I been waitin' up all night
Take another drag, turn me to ashes
Ready for another lie?
Says he's gonna teach me just what fast is
Say it's gonna be alright

Diet Mountain Dew, baby, New York City
Never was there ever a girl so pretty
Do you think we'll be in love forever?
Do you think we'll be in love?
Diet Mountain Dew, baby, New York City
Can we hit it now, low-down and gritty?
Do you think we'll be in love forever?
Do you think we'll be in love?


Let's take Jesus off the dashboard
Got enough on his mind
We both know just what we're here for
Saved too many times
Maybe I like this roller coaster
Maybe it keeps me high
Maybe the speed, it brings me closer
I could sparkle up your eye


Diet Mountain Dew, baby, New York City
Never was there ever a girl so pretty
Do you think we'll be in love forever?
Do you think we'll be in love?
Diet Mountain Dew, baby, New York City
Can we hit it now, low-down and gritty?
Do you think we'll be in love forever?
Do you think we'll be in love?

You're no good for me
Baby, you're no good for me
You're no good for me
But, baby, I want you, I want you
You're no good for me
Baby, you're no good for me
You're no good for me
But, baby, I want you, I want you, I want you


Diet Mountain Dew, baby, New York City
Never was there ever a girl so pretty
Do you think we'll be in love forever?
Do you think we'll be in love?
Baby stoppin' at 7-Eleven
There in his white Pontiac Heaven
Do you think we'll be in love forever?
Do you think we'll be in love?
Diet Mountain Dew, baby, New York City
Never was there ever a girl so pretty
Do you think we'll be in love forever?
Do you think we'll be in love?
Diet Mountain Dew, baby, New York City 
Can we hit it now, low-down and gritty? 
Do you think we'll be in love forever? 
Do you think we'll be in love? 

You're no good for me
Baby, you're no good for me
You're no good for me
But, baby, I want you, I want
You're no good for me
Baby, you're no good for me
You're no good for me
But, baby, I want you, I want
You're no good for me
Baby, you're no good for me
You're no good for me
But, baby, I want you, I want"
Lana Del Rey,Happiness is a butterfly,"Do you want me or do you not?
I heard one thing, now I'm hearing another
Dropped a pin to my parking spot
The bar was hot, it's 2 AM, it feels like summer


Happiness is a butterfly
Try to catch it, like, every night
It escapes from my hands into moonlight
Every day is a lullaby
Hum it on the phone, like, every night
Sing it for my babies on the tour life, ah


If he's a serial killer, then what's the worst
That can happen to a girl who's already hurt?
I'm already hurt
If he's as bad as they say, then I guess I'm cursed
Looking into his eyes, I think he's already hurt
He's already hurt


I said, ""Don't be a jerk, don't call me a taxi""
Sitting in your sweatshirt, crying in the backseat, ooh
I just wanna dance with you
Hollywood and Vine, Black Rabbit in the alley
I just wanna hold you tight down the avenue
I just wanna dance with you
I just wanna dance with you

Baby, I just wanna dance 
With you 
Baby, I just wanna dance 
With you


Left the canyon, drove to the club
I was one thing, now I'm being another
Laurel down to Sunset in the truck
I'll pick you up if you're in town on the corner, ah


Happiness is a butterfly
We should catch it while dancing
I lose myself in the music, baby
Every day is a lullaby
Try to catch it like lightning
I sing it into my music, I'm crazy


If he's a serial killer, then what's the worst
That can happen to a girl who's already hurt?
I'm already hurt
If he's as bad as they say, then I guess I'm cursed
Looking into his eyes, I think he's already hurt
He's already hurt

I said, ""Don't be a jerk, don't call me a taxi""
Sitting in your sweatshirt, crying in the backseat, ooh
I just wanna dance with you
Hollywood and Vine, Black Rabbit in the alley
I just wanna hold you tight down the avenue
I just wanna dance with you
I just wanna dance with you


Baby, I just wanna dance 
With you 
Baby, I just wanna dance 
With you"
Lana Del Rey,Love song,"In the car, in the car, in the backseat, I'm your baby
We go fast, we go so fast, we don’t move
I believe in a place you take me
Make you real proud of your baby
In your car, I'm a star and I'm burnin’ through you
In your car, I'm a star and I'm burnin' through you


Oh, be my once in a lifetime
Lyin' on your chest in my party dress
I'm a fuckin' mess, but I
Oh, thanks for the high life
Baby, it's the best, passed the test and yes
Now I’m here with you, and I
Would like to think that you would stick around
You know that I’d just die to make you proud
The taste, the touch, the way we love
It all comes down to make the sound of our love song


Dream a dream, here's a scene
Touch me anywhere ’cause I'm your baby
Grab my waist, don't waste any part
I believe that you see me for who I am
So spill my clothes on the floor of your new car
Is it safe, is it safe to just be who we are?
Is it safe, is it safe to just be who we are?

Oh, be my once in a lifetime
Lyin' on your chest in my party dress
I’m a fuckin' mess, but I
Oh, thanks for the high life
Baby, it's the best, passed the test and yes
Now I'm here with you, and I
Would like to think that you would stick around
You know that I'd just die to make you proud
The taste, the touch, the way we love
It all comes down to make the sound of our love song
The taste, the touch, the way we love
It all comes down to make the sound of our love song"
Lana Del Rey,Blue Jeans,"Blue jeans, white shirt
Walked into the room, you know you made my eyes burn
It was like James Dean for sure
You're so fresh to death and sick as ca-cancer
You were sorta punk rock, I grew up on hip-hop
But you fit me better than my favorite sweater
And I know that love is mean  and love hurts 
But I still remember that day we met in December, oh, baby


I will love you 'til the end of time
I would wait a million years
Promise you'll remember that you're mine
Baby, can you see through the tears?
Love you more than those bitches before
Say you'll remember 
Say you'll remember 
Ooh, I will love you 'til the end of time


Big dreams, gangsta
Said you had to leave to start your life over
I was like, ""No, please, stay here
We don't need no money, we could make it all work""
But he headed out on Sunday, said he'd come home Monday
I stayed up waiting, anticipatin' and pacing
But he was chasin'  paper 
Caught up in the game, that was the last I heard

I will love you 'til the end of time
I would wait a million years
Promise you'll remember that you're mine
Baby, can you see through the tears?
Love you more than those bitches before
Say you'll remember 
Say you'll remember 
Ooh, I will love you 'til the end of time


You went out every night and, baby, that's alright
I told you that, no matter what you did, I'd be by your side
'Cause I'm a ride or die whether you fail or fly
Well, shit, at least you tried
But when you walked out that door, a piece of me died
Told you I wanted more, that's not what I had in mind
I just want it like before, we were dancin' all night
Then they took you away, stole you out of my life
You just need to remember


I will love you 'til the end of time
I would wait a million years
Promise you'll remember that you're mine
Baby, can you see through the tears?
Love you more than those bitches before
Say you'll remember 
Say you'll remember 
Ooh, I will love you 'til the end of time"
Lana Del Rey,Dark Paradise,"All my friends tell me  I should move on
I'm lyin' in the ocean, singin' your song
""Ah,"" That's how you sang it
Lovin' you forever can't be wrong
Even though you're not here, won't move on
""Ah,"" That's how we played it


And there's no remedy for memory
Your face is like a melody
It won't leave my head
Your soul is hauntin' me
And tellin' me that everything is fine
But I wish I was dead 


Every time I close my eyes
It's like a dark paradise
No one compares to you
I'm scared that you won't be waiting on the other side
Every time I close my eyes
It's like a dark paradise
No one compares to you
I'm scared that you won't be waiting on the other side

All my friends ask me why I stay strong
Tell 'em, ""When you find true love, it lives on""
Ah, that's why I stay here


And there's no remedy for memory
Your face is like a melody
It won't leave my head
Your soul is hauntin' me
And tellin' me that everything is fine
But I wish I was dead 


Every time I close my eyes
It's like a dark paradise
No one compares to you
I'm scared that you won't be waiting on the other side
Every time I close my eyes
It's like a dark paradise
No one compares to you
But there's no you, except in my dreams tonight


Oh-oh-oh-oh, ha-ha-ha-ha
I don't wanna wake up from this tonight
Oh-oh-oh-oh, ha-ha-ha-ha
I don't wanna wake up from this tonight

There's no relief, I see you in my sleep
And everybody's rushin' me
But I can feel you touchin' me
There's no release, I feel you in my dreams
Tellin' me I'm fine


Every time I close my eyes
It's like a dark paradise
No one compares to you
I'm scared that you won't be waiting on the other side 
Every time I close my eyes
It's like a dark paradise
No one compares to you
But there's no you, except in my dreams tonight


Oh-oh-oh-oh, ha-ha-ha-ha
I don't wanna wake up from this tonight
Oh-oh-oh-oh, ha-ha-ha-ha
I don't wanna wake up from this tonight"
Lana Del Rey,​hope is a dangerous thing for a woman like me to have - but i have it,"I was reading Slim Aarons and I got to thinking that I thought
Maybe I'd get less stressed if I was tested less like
All of these debutantes
Smiling for miles in pink dresses and high heels on white yachts
But I'm not, baby, I'm not
No, I'm not, that, I'm not


I've been tearing around in my fucking nightgown
24/7 Sylvia Plath
Writing in blood on my walls
'Cause the ink in my pen don't work in my notepad
Don't ask if I'm happy, you know that I'm not
But at best, I can say I'm not sad
'Cause hope is a dangerous thing for a woman like me to have
Hope is a dangerous thing for a woman like me to have


I had 15-year dances
Church basement romances, yeah, I've cried
Spilling my guts with the Bowery Bums
Is the only love I've ever known
Except for the stage, which I also call home, when I'm not
Servin' up God in a burnt coffee pot for the triad
Hello, it's the most famous woman you know on the iPad
Calling from beyond the grave, I just wanna say, ""Hi, Dad""

I've been tearing up town in my fucking white gown
Like a goddamn near sociopath
Shaking my ass is the only thing that's
Got this black narcissist off my back
She couldn't care less, and I never cared more
So there's no more to say about that
Except hope is a dangerous thing for a woman like me to have
Hope is a dangerous thing for a woman with my past


There's a new revolution, a loud evolution that I saw
Born of confusion and quiet collusion of which mostly I've known
A modern day woman with a weak constitution, 'cause I've got
Monsters still under my bed that I could never fight off
A gatekeeper carelessly dropping the keys on my nights off


I've been tearing around in my fucking nightgown
24/7 Sylvia Plath
Writing in blood on your walls
'Cause the ink in my pen don't look good in my pad
They write that I'm happy, they know that I'm not
But at best, you can see I'm not sad
But hope is a dangerous thing for a woman like me to have
Hope is a dangerous thing for a woman like me to have

Hope is a dangerous thing for a woman like me to have
But I have it
Yeah, I have it
Yeah, I have it
I have"
Lana Del Rey,National Anthem,"

Money is the anthem of success
So before we go out, what's your address?


I'm your national anthem
God, you're so handsome
Take me to the Hamptons, Bugatti Veyron
He loves to romance 'em
Reckless abandon
Holdin' me for ransom, upper echelon
He says to be cool, but I don't know how yet
Wind in my hair, hand on the back of my neck
I said, ""Can we party later on?"" He said, ""Yes"" 


Tell me I'm your national anthem

Tell me I'm your national anthem

Red, white, blue is in the sky
Summer's in the air and, baby, heaven's in your eyes
I'm your national anthem

Money is the reason we exist
Everybody knows it, it's a fact 


I sing the national anthem
While I am standin' over your body
Hold you like a python
And you can't keep your hands off me or your pants on
See what you've done to me, King of Chevron?
He said to be cool, but I'm already coolest
I said to get real, don't you know who you're dealin' with?
Um, do you think you'll buy me lots of diamonds?



Tell me I'm your national anthem

Tell me I'm your national anthem

Red, white, blue is in the sky
Summer's in the air and, baby, heaven's in your eyes
I'm your national anthem


It's a love story for the new age
For the sixth page
We're on a quick, sick rampage
Winin' and dinin', drinkin' and drivin'
Excessive buyin', overdose and dyin'
On our drugs and our love and our dreams and our rage
Blurring the lines between real and the fake
Dark and lonely, I need somebody to hold me
He will do very well, I can tell, I can tell
Keep me safe in his belltower hotel
Money is the anthem of success
So put on mascara and your party dress

I'm your national anthem
Boy, put your hands up
Give me a standin' ovation
Boy, you have landed
Babe, in the land of
Sweetness and danger, Queen of Saigon


Tell me I'm your national anthem

Tell me I'm your national anthem

Red, white, blue is in the sky
Summer's in the air and, baby, heaven's in your eyes
I'm your national anthem


Money is the anthem
God, you're so handsome
Money is the anthem of success
Money is the anthem
God, you're so handsome
Money is the anthem of success
Money is the anthem
God, you're so handsome
Money is the anthem of success
Money is the anthem
God, you're so handsome
Money is the anthem of success"
Lana Del Rey,Ultraviolence,"He used to call me DN
That stood for Deadly Nightshade
'Cause I was filled with poison
But blessed with beauty and rage
Jim told me that, he hit me and it felt like a kiss
Jim brought me back, reminded me of when we were kids


With his ultraviolence
Ultraviolence
Ultraviolence
Ultraviolence
I can hear sirens, sirens
He hit me and it felt like a kiss
I can hear violins, violins
Give me all of that ultraviolence


He used to call me poison
Like I was poison ivy
I could have died right there
'Cause he was right beside me
Jim raised me up, he hurt me but it felt like true love
Jim taught me that, loving him was never enough

With his ultraviolence
Ultraviolence
Ultraviolence
Ultraviolence
I can hear sirens, sirens
He hit me and it felt like a kiss
I can hear violins, violins
Give me all of that ultraviolence


We could go back to New York
Loving you was really hard
We could go back to Woodstock
Where they don't know who we are
Heaven is on Earth
I would do anything for you, baby
Blessed is this union
Crying tears of gold like lemonade


I love you the first time, I love you the last time
Yo soy la princesa, comprende mis white lines
'Cause I'm your jazz singer and you're my cult leader
I love you forever, I love you forever

With his ultraviolence 
Ultraviolence 
Ultraviolence 
Ultraviolence 
I can hear sirens, sirens
He hit me and it felt like a kiss
I can hear violins, violins
Give me all of that ultraviolence"
