Artist,title,lyrics
Ariana Grande,nasty,"this bitch gon make me...<c> you got me all up in my feels, in all kindofways<c> i be trynawait, but, lately, i just wannakeep it real<c> no more playin safe, lets take it all the way<c> im just sayin<c> i just wanna make time for ya<c> swear its just right for ya<c> like this pussy designed for ya<c> ten outta five on ya<c> know i would sign on the line for ya<c> bet i look nice on you<c> open my mind for ya<c> dont wanna wait on it<c> tonight, i wanna get nasty<c> what you waitin for?<c> what you waitin for?<c> dont wanna wait on it<c> tonight, i wanna get nasty<c> what you waitin for?<c> what you waitin for?<c> dont wanna wait on it<c> tonight, i wanna get<c> tonight, i wanna get<c> promise ima give it to you like you never had it<c> i do it so good, its gon be hard to break the habit<c> youre like a whole constellation<c> swimming like you on vacation<c> promise im still gonna love you when you wake up in the am<c> i just wanna make time for ya<c> swear its just right for ya<c> like this pussy designed for ya<c> ten outta five on ya<c> know i would sign on the line for ya<c> bet i look nice on you<c> open my mind for ya<c> dont wanna wait on it<c> tonight, i wanna get nasty<c> what you waitin for?<c> what you waitin for?<c> dont wanna wait on it<c> tonight, i wanna get nasty<c> what you waitin for?<c> what you waitin for?<c> dont wanna wait on it<c> tonight, i wanna get nasty<c> tonight, i wanna get nasty<c> boy, you know the vibes, i dont waste no time<c> take whats on your mind, make it real life<c> get all the homies to bounce<c> switch from the bed to the couch<c> and get to know how im feelin inside<c> so much conversation, words so sweet<c> been so wellbehaved, but, boy, im weak<c> yeah, my bodys gotta say something to you<c> thats one way to tell i speak the truth<c> dont wanna wait on it<c> tonight, i wanna get nasty<c> what you waitin for?<c> what you waitin for?<c> dont wanna wait on it<c> tonight, i wanna get nasty<c> what you waitin for?<c> what you waitin for?<c> dont wanna wait on it<c> tonight, i wanna get nasty<c> tonight, i wanna get nasty<c> yeah"
Ariana Grande,everyday,"anytime im alone<c> i cant help thinking about you<c> all i want, all i need<c> all i see is just me and you<c> he giving me that good shit<c> that make me not quit, that good shit<c> he giving me that good shit<c> that make me not quit, that good shit<c> oh, he give it to me<c> every day, every day, every day, every<c> he give it to me<c> every day, every day, every day, every<c> oh, he give it to me<c> every day, every day, every day, every<c> he give it to me<c> every day, every day, every day, every<c> anytime, anywhere<c> baby boy, i can misbehave<c> breathe me in, breathe me out<c> feel me, im running through your veins<c> he giving me that good shit<c> that make me not quit, that good shit<c> he giving me that good shit<c> that make me not quit, that good shit<c> oh, he give it to me<c> every day, every day , every day , every<c> he give it to me<c> every day, every day, every day, every<c> oh, he give it to me<c> every day, every day , every day , every<c> he give it to me<c> every day, every day, every day, every<c> you make me go<c> lalalalala, lalalala, lala, ah<c> lalalalala, lalala<c> every day, every<c> lalalalala, lalalala, lala, ah<c> lalalalala, lalala<c> every day, every<c> i put that work on you every day<c> when the night fall til the sun come up<c> you done fell in love with a bad guy<c> i dont compromise my passion<c> you know what you do for me<c> im doing the same for you<c> i dont be trippin or makin mistakes<c> i made too many in my past<c> i fight for the things you believe in<c> i got your body and put it in drive, baby<c> like i got keys in<c> we bout to take us a vacation<c> im bout to put all this vintage lovin on you<c> baby, like it was the late 80s<c> when you ride on me, baby, rotate it<c> he giving me that good shit<c> that make me not quit, that good shit<c> oh, he give it to me<c> every day, every day, every day, every<c> he give it to me<c> every day, every day, every day, every<c> oh, he give it to me<c> every day, every day, every day, every<c> he give it to me<c> every day, every day, every day, every<c> you make me go<c> lalalalala, lalalala, lala, ah<c> lalalalala, lalala<c> every day, every<c> lalalalala, lalalala, lala, ah<c> lalalalala, lalala<c> every day, every<c> he give it to me, to me<c> she got me on it<c> oh, he give it to me every day<c> she got me on it"
Ariana Grande,34+35,"hmm<c> you might think im crazy<c> the way ive been cravin<c> if i put it quite plainly<c> just gimme them babies<c> so what you doin tonight?<c> better say, doin you right<c> watchin movies, but we aint seen a thing tonight<c> i dont wanna keep you up<c> but show me, can you keep it up?<c> cause then ill have to keep you up<c> shit, maybe ima keep you up, boy<c> ive been drinkin coffee<c> and ive been eatin healthy<c> you know i keep it squeaky, yeah<c> savin up my energy<c> can you stay up all night?<c> fuck me til the daylight<c> thirtyfour, thirtyfive<c> can you stay up all night?<c> fuck me til the daylight<c> thirtyfour, thirtyfive<c> you drink it just lik water<c> you say it tastes lik candy<c> so what you doin tonight?<c> better say, doin you right<c> watchin movies, but we aint seen a thing tonight<c> i dont wanna keep you up<c> but show me, can you keep it up?<c> cause then ill have to keep you up<c> shit, maybe ima keep you up, boy<c> ive been drinkin coffee<c> and ive been eatin healthy<c> you know i keep it squeaky, yeah<c> savin up my energy<c> can you stay up all night?<c> fuck me til the daylight<c> thirtyfour, thirtyfive<c> can you stay up all night?<c> fuck me til the daylight<c> thirtyfour, thirtyfive<c> oh yeah, yeah<c> baby, you might need a seat belt when i ride it<c> ima leave it open like a door, come inside it<c> even though im wifey, you can hit it like a side chick<c> dont need no side dick, no<c> got the neighbors yellin, earthquake<c> 4.5 when i make the bed shake<c> put it down heavy even though its lightweight<c> we started at midnight<c> go til the sunrise<c> done at the same time<c> but whos countin the time when we got it for life?<c> i know all your favorite spots<c> we can take it from the top<c> you such a dream come true, true<c> make a bitch wanna hit snooze, ooh<c> can you stay up all night?<c> fuck me til the daylight<c> thirtyfour, thirtyfive<c> can you stay up all night?<c> fuck me til the daylight<c> thirtyfour, thirtyfive<c> means i wanna 69 with you<c> no shit<c> math class<c> never was good"
Ariana Grande,better off,"you keep me in your orbit<c> well, i know im a hard one to please<c> give it too much importance<c> my love will have you fall to your knees<c> i tell em this too often<c> know better than to bark up my tree<c> just for me to fall and leave<c> nah, id rather just watch you smoke and drink, yeah<c> steering clear of any headaches to start<c> and if were being honest<c> id rather your body than half of your heart<c> or jealousridden comments<c> that come when you let in them feelings that i dont want<c> i never let em know too much<c> hate gettin too emotional , yeah<c> im better off without him<c> im better off being a wild one<c> on the road a lot, had to keep it a thousand<c> so that im better off not being around ya<c> go on and face it, ill never be ready for you, ready for you<c> i swear my love is a curse, make you head over shoes, head over shoes<c> lets put them topics to bed and go fuck on the roof, just to say that we did it<c> you keep insisting i listen to your proposition, i dismiss em all, no offense, yeah<c> steering clear of any headaches to start<c> and if were being honest<c> id rather your body than half of your heart<c> or jealousridden comments<c> that come when you let in them feelings that i dont want<c> i never let em know too much<c> hate gettin too emotional, yeah<c> im better off without him<c> im better off being a wild one<c> on the road a lot, had to keep it a thousand<c> so that im better off not being around ya<c> im better off without him<c> im better off being a wild one<c> on the road a lot, had to keep it a thousand<c> so that im better off not being around ya, uh"
Ariana Grande,"break up with your girlfriend, im bored","you got me some type of way<c> aint used to feelin this way<c> i do not know what to say<c> but i know i shouldnt think about it<c> took one fuckin look at your face<c> now i wanna know how you taste<c> usually dont give it away<c> but you know im out here thinkin bout it<c> then i realize shes right there<c> and im at home like, damn, this aint fair<c> break up with your girlfriend<c> yeah, yeah, cause im bored<c> you could hit it in the mornin<c> yeah, yeah, like its yours<c> i know it aint right<c> but i dont care<c> break up with your girlfriend<c> yeah, yeah, cause im bored<c> this shit always happen to me<c> why cant we just play for keeps?<c> practically on my knees<c> but i know i shouldnt think about it<c> you know what youre doin to me<c> youre singin my songs in the streets, yeah, yeah<c> actin all innocent, please<c> when i know you out here thinkin bout it<c> then you realize shes right there<c> and youre at home like, damn, she cant compare<c> break up with your girlfriend<c> yeah, yeah, cause im bored<c> you could hit it in the mornin<c> yeah, yeah, like its yours<c> i know it aint right<c> but i dont care<c> break up with your girlfriend<c> yeah, yeah, cause im bored<c> with your girlfriend, girlfriend, girlfriend, girlfriend<c> with your girlfriend<c> with your girlfriend, girlfriend, girlfriend, girlfriend<c> you could say im hatin if you want to<c> but i only hate on her cause i want you<c> say im trippin if you feel like<c> but you without me aint right<c> you could call me crazy cause i want you<c> and i never even ever fuckin met you<c> say im trippin and it aint right<c> but you without me aint nice<c> break up with your girlfriend<c> yeah, yeah, cause im bored<c> you could hit it in the mornin<c> yeah, yeah, like its yours<c> i know it aint right<c> but i dont care<c> break up with your girlfriend<c> yeah, yeah, cause im bored<c> with your girlfriend, girlfriend, girlfriend, baby, girlfriend<c> with your girlfriend<c> with your girlfriend, girlfriend, girlfriend, girlfriend<c> with your girlfriend"
Ariana Grande,just like magic,"oh, yeah<c> wake up in my bed, i just wanna have a good day<c> think it in my head, then it happens how it should, ayy<c> twelve oclock, i got a team meeting, then a meditation at like 1:30<c> then i ride to the studio listening to some shit i wrote<c> good karma, my aesthetic<c> keep my conscience clear, thats why im so magnetic<c> manifest it , i finessed it<c> take my pen and write some love letters to heaven<c> just like magic , just like magic<c> middle finger to my thumb and then i snap it<c> just like magic , im attractive<c> i get everything i want cause i attract it<c> looking at my phone, but im tryna disconnect it<c> read a fuckin book, i be tryna stay connected<c> say its tricky at the top, gotta keep a slim ego for a thick wallet<c> losing friends left and right, but i just send em love and light<c> good karma, my aesthetic<c> keep my conscience clear, thats why im so magnetic<c> manifest it , i finessed it<c> take my pen and write some love letters to heaven<c> just like magic, just like magic<c> middle finger to my thumb and then i snap it<c> just like magic, im attractive<c> i get everything i want cause i attract it<c> i dont wanna waste your time on some dumb shit<c> password to your phone, you can miss me with that shit<c> redesign your brain, we gon make some new habits<c> just like magic , just like magic<c> just like magic , just like magic<c> middle finger to my thumb and then i snap it<c> just like magic , im attractive<c> i get everything i want cause i attract it<c> mmm, mmm<c> mmmoh, yeah<c> mmm, yeah, mmm"
Ariana Grande,imagine,"step up, the two of us, nobody knows us<c> get in the car like, skrrt<c> staying up all night, order me pad thai<c> then we gon sleep til noon<c> me with no makeup, you in the bathtub<c> bubbles and bubbly, ooh<c> this is a pleasure, feel like we never<c> act this regular<c> click, click, click and post<c> dripdripdripped in gold<c> quick, quick, quick, lets go<c> kiss me and take off your clothes<c> imagine a world like that<c> imagine a world like that<c> we go like up til im sleep on your chest<c> love how my face fits so good in your neck<c> why cant you imagine a world like that?<c> imagine a world<c> knew you were perfect after the first kiss<c> took a deep breath like, ooh<c> feels like forever, baby, i never<c> thought that it would be you<c> tell me your secrets, all of the creep shit<c> thats how i know its true<c> baby, direct it, name in the credits<c> like the movies do<c> click, click, click and post<c> dripdripdripped in gold<c> quick, quick, quick, lets go<c> kiss me and take off your clothes<c> imagine a world like that<c> imagine a world like that<c> we go like up til im sleep on your chest<c> love how my face fits so good in your neck<c> why cant you imagine a world like that?<c> imagine a world<c> can you imagine it?<c> can you imagine it?<c> can you imagine it?<c> can you imagine it?<c> can you imagine it?<c> can you imagine it?<c> can you imagine it?<c> ooh, imagine it<c> imagine it, imagine it<c> imagine it, imagine it<c> imagine, imagine<c> imagine, imagine<c> imagine, imagine"
Ariana Grande,best mistake,"how soon do we forget how we felt?<c> dealing with emotions that never left<c> playing with the hand that we were dealt in this game<c> maybe im the sinner and youre the saint<c> gotta stop pretending what we aint<c> why we pointing fingers anyway when were the same?<c> break up, make up, total waste of time<c> can we please make up our minds and stop acting like were blind?<c> cause if the water dries up and the moon stops shining<c> stars fall, and the world goes blind<c> boy, you know ill be savin my love for you, for you<c> cause youre the best mistake ive ever made<c> but we hold on, mm, hold on<c> theres no pot of gold in the rainbows we chase<c> but we hold on , mm, hold on, ayy<c> i guess times wasting<c> ticktockin, lip lockin<c> how can we keep the feelings fresh? how do we zip lock it?<c> wear your heart up on your sleeve<c> so watch out for pickpockets<c> i guess to go the distance we might need to pit stop it<c> hold up , i know love can be a beach with no shore<c> i done count to ten, lost my temper and went back to four<c> i know sometimes its hard to realize im the man that you need<c> i had a dream we branched out, started a family tree, huh<c> and i feel like that everything we do is overdue<c> you asked why i love your mom so much, cause shes a older you<c> i wish that you were happy<c> i guess thats the one thing i should be providing<c> aint no number twos<c> we both ones of ones, and we the oddest  couple<c> only humans, cept you, you a goddess<c> only lying to you when i lie you down, just bein honest<c> when you start as friends, its hard to say youre never going back<c> if im not the one, then im the best mistake you ever had<c> break up, make up<c> total waste of time<c> can we please make up our minds and stop acting like were blind?<c> cause if the water dries up and the moon stops shining<c> stars fall, and the world goes blind<c> boy, you know ill be savin my love for you, for you<c> cause youre the best mistake ive ever made<c> but we hold on, mm, hold on<c> theres no pot of gold in the rainbows we chase<c> but we hold on, mm, hold on, ayy<c> you , you , you , you<c> mm, ill be savin my love for you, for you<c> you , you , you , you<c> mm, ill be savin my love for you, for you
"
Ariana Grande,fake smile,"after laughter comes tears<c> after laughter comes tears<c> another night, another party, sayin hi to everybody<c> im sorry, its time to leave, i gotta leave now<c> got somewhere i gotta be now, im starving<c> can somebody walk me to my car?<c> if i go alone, im not gon make it very far<c> im happy for the love and all of the above<c> if im being honest, i done been through way too much<c> i cant fake another smile<c> i cant fake like im alright<c> woo, ah<c> and i wont say im feeling fine<c> after what i been through, i cant lie<c> woo, ah<c> fuck a fake smile, smile<c> fuck a fake smile, fake smile<c> i read the things they write about me<c> hear what theyre sayin on the tv, its crazy<c> its gettin hard for them to shock me<c> but every now and then, its shocking, dont blame me<c> i know its the life that i chose<c> but baby, im grateful, i want you to know<c> im happy for the love and all of the above<c> if im being honest, i done been through way too much<c> i cant fake another smile<c> i cant fake like im alright<c> woo, ah<c> and i wont say im feeling fine<c> after what i been through, i cant lie<c> woo, ah<c> fuck a fake smile, smile<c> fuck a fake smile, fake smile<c> if im hurt, i aint gon lie about it<c> arms crossed with the attitude, lips pouted<c> if im mad, i aint gon lie about it<c> neck roll with the attitude, yuh<c> if im hurt, i aint gon lie about it<c> arms crossed with the attitude, lips pouted<c> if im mad, i aint gon lie about it<c> neck roll with the attitude, yuh<c> i cant fake another smile<c> i cant fake like im alright<c> woo, ah<c> and i wont say im feeling fine<c> after what i been through, i cant lie<c> woo, ah<c> fuck a fake smile, smile<c> fuck a fake smile, fake smile "
Ariana Grande,ghostin,"i know you hear me when i cry<c> i try to hold it in at night<c> while youre sleeping next to me<c> but its your arms that i need this time<c> look at the cards that weve been dealt<c> if you were anybody else<c> probably wouldnt last a day<c> every tears a rain parade from hell<c> baby, you do it so well<c> youve been so understanding, youve been so good<c> and im puttin you through more than one ever should<c> and im hating myself cause you dont want to<c> admit that it hurts you<c> i know that it breaks your heart when i cry again<c> over him, mmh<c> i know that it breaks your heart when i cry again<c> stead of ghostin him<c> well get through this, well get past this, im a girl with<c> a whole lot of baggage<c> but i love you, well get past this, im a girl with<c> a whole lot of baggage, oh yeah<c> though i wish he were here instead<c> dont want that living in your head<c> he just comes to visit me<c> when im dreaming every now and then<c> and after all that we been through<c> theres so much to look forward to<c> what was done and what was said<c> leave it all here in this bed with you<c> baby, you do it so well<c> youve been so understanding, youve been so good<c> and im puttin you through more than one ever should<c> and im hating myself cause you dont want to<c> admit that it hurts you, baby<c> i know that it breaks your heart when i cry again<c> over him, mmh<c> i know that it breaks your heart when i cry again<c> stead of ghostin him<c> well get through this, well get past this, im a girl with<c> a whole lot of baggage<c> but i love you , well get past this<c> im a girl with a whole lot of baggage, yeah yeah"
