Artist,title,lyrics
Beyoncé,mood 4 eva,"i know my enemy prey on me, so pray for me<c> tick, tick, wait on it<c> im keepin down my body count<c> im finessin like a trap bounce, a trap bounce, yeah<c> cause every day above ground is a blessing<c> i done leveled up, now my view panoramic<c> none of my fears can go where im headed<c> had to cut em loose, now im loose, break the levee, yeah<c> im bout to flood on em, flood on a sinner<c> the rain and thunder gon pour<c> go mutumbo, no, no sinner<c> you cant dim my light<c> cause when we walk up in the club<c> i need them sirens goin off<c> then we can look up in the sky<c> the tears we cry let us know that we alive, yeah, yeah<c> it give me goosebumps every time<c> i threw up my diamond<c> together, we big timin<c> dont make me have to remind you<c> i got my cup up to the heavens<c> another night i wont remember<c> promise this my mood forever<c> i promise this my mood forever and ever<c> treasures dancin on the bezel<c> this kinda feelin unforgettable<c> promise this my mood forever<c> promise this my mood forever<c> forever and ever<c> you heard that?<c> forever and ever<c> thats the sound of the price goin up<c> forever, and everever, and everever<c> at the saxon madiba suite  like mandela<c> bumpin fela on the puma jet, like we from lagos<c> mansa musa reincarnated, we on our levels<c> thats a billi, a thousand milli<c> first one to see a b out these housing buildings<c> i be feelin like prince in 84<c> mike in 79, biggie in 97, 94 nas<c> ali bomaye, no kumbaya<c> just give me the sommelier , im on la tâche<c> helmet on the jet ski, you know the vibes<c> hit my head, figured out me<c> oh my god, without the god in the xy<c> im afraid the whole game will be colonized<c> the marathon will be televised for n.i.p.<c> cause true kings dont die, we multiply, peace<c> im so unbothered, im so unbothered<c> yall be so pressed while im raisin daughters<c> sons of empires, yall make me chuckle<c> stay in your struggle, crystal blue water<c> pia coladain, you stay ramada inn<c> my baby father, bloodline rwanda<c> why would you try me? why would you bother?<c> i am beyoncé giselle knowlescarter<c> i am the nala, sister of naruba<c> oshun, queen sheba, i am the mother<c> ankh on my gold chain, ice on my whole chain<c> i be like soul food, i am a whole mood<c> when we walk up in the club<c> i need the sirens goin off<c> and when you look up to the sky<c> the tears we cry let us know that we alive, yeah, yeah<c> i give em goosebumps every time<c> i throw up my diamond<c> together, we big timin<c> the children are our reminder<c> i got my cup up to the heavens<c> another night i wont remember<c> promise this my mood forever<c> promise this my mood forever and ever<c> treasures dancin on the bezel<c> this kinda feelin unforgettable<c> promise this my mood forever<c> promise this my mood forever<c> forever and ever<c> ever, forever<c> forever and ever<c> ever and ever and ever<c> time to break it down now<c> all praise due<c> my enemies still pressed<c> cannot lose<c> cause i bet on myself<c> im dancin<c> ancestors in my step<c> now, i move better, ooh<c> energy pourin out<c> i feel a change comin now<c> royalty in my blood from the kingdom<c> the more money, more problems season<c> but dont you let that get you out your way<c> rise up higher<c> jump, jump and dont look down<c> youre so far from the ground<c> yeah, yeaheheheh<c> i got my cup up to the heavens<c> another night i wont remember<c> promise this my mood forever<c> promise this my mood forever and ever<c> treasures dancin on the bezel<c> this kinda feelin unforgettable<c> promise this my mood forever<c> promise this my mood forever<c> forever and ever"
Beyoncé,partition,"let me hear you say, hey, ms. carter<c> say, hey, ms. carter<c> give me somethin<c> see me up in the club with fiftyleven girls<c> posted in the back, diamond fangs in my grill<c> brooklyn brim with my eyes sittin low<c> every boy in here with me got that smoke<c> and every girl in here got to look me up and down<c> all on instagram, cake by the pound<c> circulate the image every time i come around<c> gs up, tell me how im lookin, babe<c> boy, this all for you, just walk my way<c> just tell me how its lookin, babe<c> just tell me how its lookin, babe<c> i do this all for you, baby, just take aim<c> and tell me how its lookin, babe<c> tell me how its lookin, babe, lookin, babe<c> drop the bass, mane, the bass get lower<c> radio say, speed it up, i just go slower<c> high like treble, pumpin on the mids<c> the man aint ever seen a booty like this<c> and why you think you keep my name rollin off the tongue?<c> cause when he wanna smash, ill just write another one<c> i sneezed on the beat and the beat got sicker<c> yoncé all on his mouth like liquor<c> yoncé all on his mouth like liquor<c> yoncé all on his mouth like liquor<c> yoncé all on his mouth like liquor<c> like, like liquor, like, like, like liquor<c> yoncé all on his mouth like liquor<c> yoncé all on his mouth like liquor<c> yoncé all on his mouth like liquor<c> like, like liquor, like, like, like liquor<c> beyoncé, beyoncé?<c> are you happy to be in paris? are you happy to be in paris?<c> beyoncé, beyoncé? beyoncé<c> part ii: partition<c> driver, roll up the partition, please<c> driver, roll up the partition, please<c> i dont need you seein yoncé on her knees<c> took fortyfive minutes to get all dressed up<c> we aint even gonna make it to this club<c> now my mascara runnin, red lipstick smudged<c> oh, he so horny, yeah, he want to fuck<c> he popped all my buttons and he ripped my blouse<c> he monica lewinskyd all on my gown<c> oh, there, daddy, daddy didnt bring the towel<c> oh, baby, baby, we better slow it down<c> took fortyfive minutes to get all dressed up<c> and we aint even gon make it to this club<c> take all of me<c> i just wanna be the girl you like<c> the kind of girl you like<c> take all of me<c> i just wanna be the girl you like<c> the kind of girl you like is right here with me<c> driver, roll up the partition fast<c> driver, roll up the partition fast<c> over there, i swear i saw them cameras flash<c> handprints and footprints on my glass<c> handprints and good grips all on my ass<c> private show with the music blastin<c> he like to call me peaches when we get this nasty<c> red wine drip, well talk that trash<c> chauffeur eavesdroppin, tryin not to crash<c> oh, there, daddy, daddy, now you rip my fur<c> oh, baby, baby be sweatin off my hair<c> took fortyfive minutes to get all dressed up<c> and we aint even gonna make it to this club<c> take all of me<c> i just wanna be the girl you like<c> the kind of girl you like<c> take all of me<c> i just wanna be the girl you like<c> the kind of girl you like is right here with me<c> estce que tu aimes le sexe?<c> le sexe, je veux dire: lactivité physique, le coït. tu aimes a ?<c> tu ne tintéresses pas au sexe ?<c> les hommes pensent que les féministes détestent le sexe, mais cest une activité trs stimulante et naturelle que les femmes adorent<c> take all of me<c> i just wanna be the girl you like<c> the kind of girl you like<c> take all of me<c> i just wanna be the girl you like<c> the kind of girl you like is right here with me<c> bzzbzzbzzbzzbzzbzzwop"
Beyoncé,mine,"ive been watchin for the signs<c> took a trip to clear my mind, oh<c> now im even more lost<c> and youre still so fine, oh, my, oh, my<c> been havin conversations about breakups and separations<c> im not feelin like myself since the baby<c> are we gonna even make it? oh<c> cause if we are, were takin this a little too far<c> if we are, were takin this a little too far<c> baby, if we are, were takin this a little too far<c> with me bein wherever im at<c> worried bout wherever you are<c> were takin this a little too far<c> were takin this a little too far<c> were takin this a little too far<c> know you wanna roll with a good girl<c> do it big, do it all for a good girl<c> one time, this is a song for the good girl<c> dont sleep when you know you got it good, girl<c> one time, this is a song for the good girl<c> wanna roll, wanna roll with a good girl<c> one time, this is a song for the good girl<c> and i still keep it hood, still treat you like i should, whats up?<c> on my mind, up past my bedtime, no rest at the kingdom<c> alone in my place, my heart is away, all that i can think of is<c> we should get married, we should get married<c> lets stop holdin back on this and lets get carried away<c> stop makin a big deal out of the little things<c> cause i got big deals and i got little things<c> got everything im asking for but you<c> stop makin a big deal out of the little things<c> lets get carried away<c> come right now, you know where i stay<c> i just wanna say, youre mine, youre mine<c> i just wanna say, youre mine, youre mine<c> fuck what you heard, youre mine, youre mine<c> all im really askin for is you<c> youre mine, youre mine<c> i just wanna say, youre mine, youre mine<c> fuck what you heard, youre mine, youre mine<c> long as you know who you belong to<c> know you wanna roll with a good girl<c> do it big, do it all for a good girl<c> one time, this is a song for the good girl<c> dont sleep when you know you got it good, girl<c> one time, this is a song for the good girl<c> wanna roll, wanna roll with a good girl<c> one time, this is a song for the good girl<c> and i still keep it hood, still treat you like i should, whats up?<c> from eight until late, i think bout you<c> you own my nights, i dont know what to do, do<c> i cant get no rest, cant get no sleep, yeah<c> this whole thing got way too deep and we should<c> stop makin a big deal out of the little things<c> cause i got big deals and i got little things<c> i got everything im askin for but you<c> stop makin a big deal out of the little things<c> lets get carried away<c> come right now, you know where i stay<c> i just wanna say, youre mine, youre mine<c> i just wanna say, youre mine, youre mine<c> fuck what you heard, youre mine, youre mine<c> all im really askin for is you<c> youre mine, youre mine<c> i just wanna say, youre mine, youre mine<c> fuck what you heard, youre mine, youre mine<c> long as you know who you belong to<c> know you wanna roll with a good girl<c> do it big, do it all for a good girl<c> one time, this is a song for the good girl<c> dont sleep when you know you got it good, girl<c> one time, this is a song for the good girl<c> wanna roll, wanna roll with a good girl<c> one time, this is a song for the good girl<c> and i still keep it hood, still treat you like i should, whats up?<c> yeah, yeah, yeah
 i gotta pull up on you<c> you gon make me have to pull up on you<c> dont go ghost on me, ima go thriller on you<c> ima just<c> ima let my hands do the talkin when i see you, baby girl<c> i miss feelin on you<c> i miss everything thats real about you<c> and thats everything about you, thats just how i feel about you<c> been about you and im still about you, but<c> we aint finished talkin<c> i told you you dont need to worry bout them bitches<c> all them fives need to listen when a ten is talkin<c> cause they dont wanna see you happier than them<c> and, girl, you swear they all your friends and thats been a problem<c> you the one they hate, this come with that<c> i know you think its funny that your ex is not a runnin back<c> but that nigga came runnin back<c> and you tell me you done with that<c> and i believe its true<c> long as you know who you belong to<c> all im really askin for is you<c> yeah"
Beyoncé,run the world girls,"girls<c> we run this mutha , yeah<c> girls<c> we run this mutha , yeah<c> girls<c> we run this mutha , yeah<c> girls<c> we run this mutha
<c> who run the world? girls<c> who run the world? girls<c> who run the world? girls<c> who run the world? girls<c> who run this mutha?<c> who run this mutha?<c> who run this mutha?<c> who run this mutha?<c> who run the world? girls<c> who run the world? girls<c> who run the world? girls<c> who run the world? gggirls
<c> some of them men think they freak this<c> like we do, but no, they dont<c> make your check, come at they neck<c> disrespect us, no, they wont<c> boy, dont even try to touch this<c> boy, this beat is crazy<c> this is how they made me<c> houston, texas, baby<c> this goes out to all my girls<c> thats in the club rockin the latest<c> who will buy it for themselves<c> and get more money later<c> i think i need a barber<c> none of these  can fade me<c> im so good with this<c> i remind you, im so hood with this<c> boy, im just playin<c> come here, baby<c> hope you still like me<c> fu, pay me<c> my persuasion can build a nation<c> endless power, with our love, we can devour<c> youll do anythin for me<c> who run the world? girls
<c> who run the world? girls<c> who run the world? girls<c> who run the world? girls<c> who run the world? girls<c> who run this mutha?<c> who run this mutha?<c> who run this mutha?<c> who run this mutha?<c> who run the world? girls<c> who run the world? girls<c> who run the world? girls<c> who run the world? gggirls
<c> its hot up in here<c> dj, dont be scared to run this, run this back<c> im reppin for the girls who takin over the world<c> help me raise a glass for the college grads<c> 41 rollie to let you know what time it is, check<c> you cant hold me<c> i work my nine to five, better cut my check<c> this goes out to all the women gettin it in<c> you on your grind<c> to other men that respect what i do<c> please accept my shine<c> boy, you know you love it<c> how we smart enough to make these millions<c> strong enough to bear the children<c> then get back to business
<c> see, you better not play me<c> oh, come here, baby<c> hope you still like me<c> fu, pay me<c> my persuasion can build a nation<c> endless power, with our love, we can devour<c> youll do anythin for me<c> who run the world? girls
<c> who run the world? girls<c> who run the world? girls<c> who run the world? girls<c> who run the world? girls<c> who run this mutha?<c> who run this mutha?<c> who run this mutha?<c> who run this mutha?<c> who run the world? girls<c> who run the world? girls<c> who run the world? girls<c> who run the world? gggirls
<c> who are we? what we run? the world<c> who are we? what we run? the world<c> who are we? what do we run? we run the world<c> who are we? what we run? we run the world<c> who run the world? girls "
Beyoncé,711,"shoulders sideways, smack it, smack it in the air<c> legs movin side to side, smack it in the air<c> legs movin side to side, smack you in the air<c> shoulders sideways, smack it, smack it in the air<c> smack it, smack it in the air , legs movin side to side<c> smack it, smack it in the air, smack it, smack it in the air
<c> wave your hands side to side, put it in the air<c> wave your hands side to side, put it in the air<c> clap, clap, clap, like you dont care<c> smack that, clap, clap, clap, like you dont care
<c> clap, clap, clap, clap, clap it<c> foot up, my foot up , hold up now my foot up<c> im spinnin my foot up, foot up, yeah, my foot up<c> im spinnin my foot up, put my foot down, yeah, my hands up<c> my hands up, my hands up , flexin while my hands up<c> my hands up, my hands up, i stand up with my hands up<c> then i put up, my hands up , i put up, my hands up<c> i put up, my hands up then im spinnin all my hands up<c> spinnin while my hands up , spinnin while my hands up<c> spinnin while my hands up then im tippin all my hands up<c> im spinnin, im spinnin, im spinnin while my hands up<c> im spinnin, im spinnin, im spinnin while my hands up<c> hold that cup like alcohol, hold that cup like alcohol<c> hold that cup like alcohol, dont you drop that alcohol<c> never drop that alcohol, never drop that alcohol<c> i know you thinkin about alcohol, i know im thinkin bout that alcohol
<c> man, this here like rollin dice, man, this here like rollin dice<c> seven eleven, seven eleven, seven twice, man, seven twice<c> man, it feel like rollin dice , man, this feel like rollin dice<c> man, it feel like rollin dice , seven twice, seven twice<c> girl, im tryna kick it with ya , girl, im tryna kick it with ya<c> man, im tryna kick it with ya, my feet up, i kick it with ya<c> man, i swear i kick it with ya , girl, i wanna kick it with ya<c> man, i know i kick it with ya, yeah, i spin around and i kick it with ya<c> shoulders sideways, smack it, smack it in the air<c> legs movin side to side, smack it in the air<c> legs movin side to side, smack it in the air<c> shoulders movin side to side, smack it in the air<c> smack it in the air , smack it, smack it in the air<c> smack it in the air, smack it, smack it in the air
<c> wave your hands side to side, put it in the air<c> wave your hands side to side, put it in the air<c> clap, clap, clap, like you dont care<c> smack that, clap, clap, clap, like you dont care<c> ooh, you care<c> i know you care, care<c> wave ya hands side to side<c> wave ya hands side to side<c> wave ya hands from side to side<c> wave ya hands side to side<c> ooh, wee bb freaky deaky, think me see she pink bikini<c> rock that kufi, dye dashiki, nefertiti, edges kinky<c> sweatin out my blow out, sweatin out my presses<c> this trick about to go off, mad cause im so fresh<c> fresher than you, im fresher than you<c> fresher than you, oh"
Beyoncé,countdown,"boy<c> oh, killin me softly<c> and im still fallin<c> still the one i need<c> i will always be with you<c> oh, you got me all gone<c> dont ever let me go<c> say it real loud if you fly<c> if you leave me, you out of your mind<c> my baby is a ten<c> we dressin to the nine<c> he pick me up, we eight<c> make me feel so lucky, seven<c> he kiss me in his six<c> we be makin love in five<c> still the one i do this four<c> im tryin to make us three<c> from that two<c> he still the one<c> theres ups and downs in this love<c> got a lot to learn in this love<c> through the good and the bad, still got love<c> dedicated to the one i love, hey<c> still love the way he talk, still love the way i sing<c> still love the way he rock them black diamonds in that chain<c> still all up on each other, aint a damn thing change<c> my girls cant tell me nothin, im gone in the brain<c> im all up under him like its cold, winter time<c> all up in the kitchen in my heels, dinner time<c> do whatever that it takes, he got a winners mind<c> give it all to him, meet him at the finish line<c> me and my boo, and my boo, boo ridin<c> all up in that black with his chick right beside him<c> ladies, if you love your man, show him you the fliest<c> grind up on it, girl, show him how you ride it<c> me and my boo, and my boo, boo ridin<c> all up in that black with his chick right beside him<c> ladies, if you love your man, show him you the fliest<c> grind up on it, girl, show him how you ride it<c> oh , killin me softly<c> and im still fallin<c> still the one i need<c> i will always be with you<c> oh, you got me all gone<c> dont ever let me go<c> say it real loud if you fly<c> if you leave me, you out of your mind<c> my baby is a ten<c> we dressin to the nine<c> he pick me up, we eight<c> make me feel so lucky, seven<c> he kiss me in his six<c> we be makin love in five<c> still the one i do this four<c> im tryin to make us three<c> from that two<c> he still the one<c> yup, i put it on him, it aint nothin that i cant do<c> yup, i buy my own, if he deserve it, buy his shit too<c> all up in the store, shorty, trickin if i want to<c> all up in the store, shorty, fly as we want to<c> ooh, ooh, ooh, ooh<c> damn, i think i love that boy, do anything for that boy, boy<c> ooh, ooh, ooh, ooh<c> now ill never be the same, its you and me until the end<c> me and my boo, and my boo, boo ridin<c> all up in that black with his chick right beside him<c> ladies, if you love your man, show him you the flyest<c> grind up on it, girl, show him how you ride it<c> me and my boo, and my boo, lip lockin<c> all up in the back because the chicks keep flockin<c> all that gossip in ten years, stop it<c> london, speed it up, houston, rock it<c> oh , killin me softly<c> and im still fallin<c> still the one i need<c> i will always be with you<c> oh, you got me all gone<c> dont ever let me go<c> say it real loud if you fly<c> if you leave me, you out of your mind<c> my baby is a ten<c> we dressin to the nine<c> he pick me up, we eight<c> make me feel so lucky, seven<c> he kiss me in his six<c> we be makin love in five<c> still the one i do this four<c> im tryin to make us three<c> from that two<c> he still the one"
Beyoncé,party,"you a bad girl and your friends bad too, ooh<c> we got the swag sauce, she drippin swagu<c> you a bad girl and your friends bad too, ooh<c> you got the swag sauce, she drippin swagu, ooh<c> i may be young, but im ready<c> to give you all my love<c> i told my girls you can get it<c> dont slow it down, just let it go<c> so in love, ill give it all away<c> just dont tell nobody tomorrow<c> so tonight, ill do it every way<c> speakers knockin til the morning light<c> cause we like to party<c> ayy, ayy, ayy<c> ayy, ayy, ayy<c> cause we like to party, ayy, ayy, ayy<c> ayy, ayy, ayy<c> cause we like to party<c> your touch is drivin me crazy<c> i cant explain the way i feel<c> top down, with the radio on and the night belongs to us<c> just hold me close, dont let me go<c> so in love, i dont care what they say<c> i dont care if they talkin tomorrow<c> cause tonights the night, ohohohoh<c> that i give you everything<c> music knockin til the morning light<c> cause we like to party<c> set the scene, three thousand degrees<c> i aint worried about them,   over there, but they worry about me<c> i got a homeboy named butter and another homeboy there,  named cheese
 with me, baby, ill make it milk til it drip down your knees<c> spit this  for realo, brain brillo<c> kiddo say he looks up to me, this just makes me feel old<c> never thought that we could become someone elses hero<c> man, we were just in the food court eating our gyros<c> yesterday, thats the way, every single morning i try to pray<c> grandmom and them, they never forgot and nothin else really mean nothin to me<c> i aint studyin the beat, talkin to me?<c> girl, why you  with me? move on, aint nothin to see<c> sh, always somethin to saw, im the raw, off the rip<c> cause of him, all of them, will remember the minute<c> they fell in love with rap, black like havin your cousin back<c> blue like when that rent is due, cream like when im lovin you, yeah<c> so in love, ill give it all away<c> just dont tell nobody tomorrow<c> cause tonights the night, ohohohoh<c> that i give you everything<c> music knockin til the morning light<c> cause we like to party<c> ayy, ayy, ayy<c> ayy, ayy, ayy, ayy<c> cause we like to party, ayy, ayy, ayy<c> ayy, ayy, ayy<c> cause we like to party<c> you a bad girl, and your friends bad too, ooh<c> we got the swag sauce, she drippin swagu<c> you a bad girl and your friends bad too, ooh<c> you got the swag sauce, she drippin swagu, ooh"
Beyoncé,jealous,"im in my penthouse halfnaked<c> i cooked this meal for you naked<c> so where the hell you at?<c> just one shot left of this drink in this glass<c> dont make me break it<c> i wish that you were me<c> so you could feel this feeling<c> i never broke one promise<c> and i know when you not honest<c> now you got me yellin, thats because im jealous<c> if youre keepin your promise, im keepin mine<c> oh, im jealous<c> if youre keepin your promise, im keepin mine
<c> sometimes, i wanna walk in your shoes<c> do the type of things that ill never, ever do<c> so i take one look in the mirror and i say to myself<c> baby girl, you cant survive like this
<c> take it one step further<c> freakum dress out my closet<c> yoncé fillin out this skirt<c> i look damn good, i aint lost it<c> and i aint missed a beat<c> boy, you been hangin out at night, tonight, im stayin out til tomorrow<c> dancin on them tables, aint got no cares, no sorrows<c> i ran into my ex, said, what up, to his besties<c> now we reminiscin how we used to flex in texas, dont be jealous<c> if youre keepin your promise, im keepin mine<c> oh, im jealous<c> if youre keepin your promise, im keepin mine
<c> sometimes, i wanna walk in your shoes<c> do the type of things that ill never, ever do<c> i take one look in the mirror and i say to myself<c> baby girl, you cant survive like this, no, no, no
<c> and i hate you for your lies and your covers<c> and i hate us for makin good love to each other<c> and i love makin you jealous, but dont judge me<c> and i know that im bein hateful, but that aint nothing<c> that aint nothing<c> im just jealous, im just human<c> dont judge me<c> if youre keepin your promise, im keepin mine<c> oh, im jealous<c> if youre keepin your promise, im keepin mine"
Beyoncé,blue,"sometimes, these walls seem to cave in on me<c> when i look in your eyes, i feel alive<c> some days, we say words that dont mean a thing<c> but when youre holdin me tight, i feel alive<c> make it last forever<c> come on, baby, wont you hold on to me, hold on to me?<c> you and i together<c> come on, baby, wont you hold on to me, hold on to me?<c> blue<c> each day, i feel so blessed to be lookin at you<c> cause when you open your eyes, i feel alive<c> my heart beats so damn quick when you say my name<c> when im holdin you tight, im so alive<c> now lets, lets live it up<c> make it last forever<c> come on, baby, wont you hold on to me, hold on to me?<c> you and i together<c> come on, baby, wont you hold on to me, hold on to me?<c> blue<c> make it last forever<c> come on, baby, wont you hold on to me, hold on to me?<c> you and i together<c> come on, baby, wont you hold on to me, hold on to me?<c> we gotta hold on<c> i gotta hold on<c> youve got to hold on<c> youve got a hold on, a hold on to me<c> we gotta hold on<c> i gotta hold on<c> youve got to hold on<c> youve got a hold on, a hold on me<c> make it last forever<c> come on, baby, wont you hold on to me, hold on to me?<c> you and i together<c> come on, baby, wont you hold on to me, hold on to me?<c> blue<c> hold on to me, hold on<c> beesyay, beesyay<c> blue<c> mommy, mommy, mommy<c> can we see daddy?<c> can we see daddy?<c> missus carter, missus carter"
Beyoncé,sorry,"sorry, i aint sorry<c> sorry, i aint sorry<c> i aint sorry, nigga, nah<c> sorry, i aint sorry<c> sorry, i aint sorry<c> i aint sorry<c> he trying to roll me up<c> i aint picking up<c> headed to the club<c> i aint thinking bout you<c> me and my ladies sip my dussé cups<c> i dont give a fuck, chucking my deuces up<c> suck on my balls, pause, i had enough<c> i aint thinking bout you<c> i aint thinking bout<c> middle fingers up, put them hands high<c> wave it in his face, tell him, boy, bye<c> tell him, boy, bye, boy, bye, middle fingers up<c> i aint thinking bout you<c> sorry, i aint sorry<c> sorry, i aint sorry<c> i aint sorry, nigga, nah<c> i aint thinking bout you<c> sorry, i aint sorry<c> sorry, i aint sorry, i aint sorry<c> no, no, hell nah<c> now you wanna say youre sorry<c> now you wanna call me crying<c> now you gotta see me wilding<c> now im the one thats lying<c> and i dont feel bad about it<c> its exactly what you get<c> stop interrupting my grinding<c> i aint thinking bout you<c> sorry, i aint sorry<c> i aint thinking bout you<c> i aint thinking bout you<c> sorry, i aint sorry<c> i aint thinking bout you<c> i aint thinking bout you<c> middle fingers up, put them hands high<c> wave it in his face, tell him, boy, bye <c> tell him, boy, bye , boy, bye<c> middle fingers up, i aint thinking bout you<c> sorry, i aint sorry<c> sorry, i aint sorry<c> i aint sorry, nigga, nah<c> sorry, i aint sorry<c> sorry, i aint sorry<c> i aint sorry<c> no, no, hell nah<c> looking at my watch, he shoulda been home<c> today, i regret the night i put that ring on<c> he always got them fucking excuses<c> i pray to the lord you reveal what his truth is<c> i left a note in the hallway<c> by the time you read it, ill be far away<c> im far away<c> but i aint fucking with nobody<c> lets have a toast to the good life<c> suicide before you see this tear fall down my eyes<c> me and my baby, we gon be alright<c> we gon live a good life<c> big homie better grow up<c> me and my whoadies bout to stroll up<c> i see them boppers in the corner<c> they sneaking out the back door<c> he only want me when im not there<c> he better call becky with the good hair<c> he better call becky with the good hair"
