Artist,title,lyrics
Billie Eilish,when the partys over,"dont you know im no good for you?<c> ive learned to lose you, cant afford to<c> tore my shirt to stop you bleedin<c> but nothin ever stops you leavin<c> quiet when im coming home and im on my own<c> i could lie, say i like it like that, like it like that<c> i could lie, say i like it like that, like it like that<c> dont you know too much already?<c> ill only hurt you if you let me<c> call me friend, but keep me closer call me back<c> and ill call you when the partys over<c> quiet when im coming home and im on my own<c> and i could lie, say i like it like that, like it like that<c> yeah, i could lie, say i like it like that, like it like that<c> but nothin is better sometimes<c> once weve both said our goodbyes<c> lets just let it go<c> let me let you go<c> quiet when im coming home and im on my own<c> i could lie, say i like it like that, like it like that<c> i could lie, say i like it like that, like it like that"
Billie Eilish,bad guy,"white shirt now red, my bloody nose<c> sleepin, youre on your tippy toes<c> creepin around like no one knows<c> think youre so criminal<c> bruises on both my knees for you<c> dont say thank you or please<c> i do what i want when im wanting to<c> my soul? so cynical<c> so youre a tough guy<c> like it really rough guy<c> just cant get enough guy<c> chest always so puffed guy<c> im that bad type<c> make your mama sad type<c> make your girlfriend mad tight<c> might seduce your dad type<c> im the bad guy<c> duh<c> im the bad guy<c> i like it when you take control<c> even if you know that you dont<c> own me, ill let you play the role<c> ill be your animal<c> my mommy likes to sing along with me<c> but she wont sing this song<c> if she reads all the lyrics<c> shell pity the men i know<c> so youre a tough guy<c> like it really rough guy<c> just cant get enough guy<c> chest always so puffed guy<c> im that bad type<c> make your mama sad type<c> make your girlfriend mad tight<c> might seduce your dad type<c> im the bad guy<c> duh<c> im the bad guy, duh<c> im only good at bein bad, bad<c> i like when you get mad<c> i guess im pretty glad that youre alone<c> you said shes scared of me?<c> i mean, i dont see what she sees<c> but maybe its cause im wearing your cologne<c> im a bad guy<c> im, im a bad guy<c> bad guy, bad guy<c> im a bad"
Billie Eilish,everything i wanted,"i had a dream<c> i got everything i wanted<c> not what youd think<c> and if im bein honest<c> itmightvebeen a nightmare<c> toanyone who might care<c> thought i couldfly fly<c> so i stepped off the golden, mm<c> nobody cried cried, cried, cried, cried<c> nobody even noticed<c> i saw them standing right there<c> kinda thought they might care might care, might care<c> i had a dream<c> i got everything i wanted<c> but when i wake up, i see<c> you with me<c> and you say, as long as im here, no one can hurt you<c> dont wanna lie here, but you can learn to<c> if i could change the way that you see yourself<c> you wouldnt wonder why you hear<c> they dont deserve you<c> i tried to scream<c> but my head was underwater<c> they called me weak<c> like im not just somebodys daughter<c> coulda been a nightmare<c> but it felt like they were right there<c> and it feels like yesterday was a year ago<c> but i dont wanna let anybody know<c> cause everybody wants something from me now<c> and i dont wanna let em down<c> i had a dream<c> i got everything i wanted<c> but when i wake up, i see<c> you with me<c> and you say, as long as im here, no one can hurt you<c> dont wanna lie here, but you can learn to<c> if i could change the way that you see yourself<c> you wouldnt wonder why you hear<c> they dont deserve you<c> if i knew it all then, would i do it again?<c> would i do it again?<c> if they knew what they said would go straight to my head<c> what would they say instead?<c> if i knew it all then, would i do it again?<c> would i do it again?<c> if they knew what they said would go straight to my head<c> what would they say instead?"
Billie Eilish,idontwannabeyouanymore,"dont be that way<c> fall apart twice a day<c> i just wish you could feel what you say<c> show, never tell<c> but i know you too well<c> kind of mood that you wish you could sell<c> if teardrops could be bottled<c> thered be swimming pools filled by models<c> told, a tight dress is what makes you a whore<c> if i love you was a promise<c> would you break it, if youre honest?<c> tell the mirror what you know shes heard before<c> i dont wanna be you<c> anymore<c> hands, hands getting cold<c> losing feeling is getting old<c> was i made from a broken mold?<c> hurt, i cant shake<c> weve made every mistake<c> only you know the way that i break<c> if teardrops could be bottled<c> thered be swimming pools filled by models<c> told, a tight dress is what makes you a whore<c> if i love you was a promise<c> would you break it, if youre honest?<c> tell the mirror what you know shes heard before<c> i dont wanna be you<c> i dont wanna be you<c> i dont wanna be you<c> anymore"
Billie Eilish,bury a friend,"billie<c> what do you want from me? why dont you run from me?<c> what are you wondering? what do you know?<c> why arent you scared of me? why do you care for me?<c> when we all fall asleep, where do we go?<c> come here<c> say it, spit it out, what is it exactly<c> youre payin? is the amount cleanin you out? am i satisfactory?<c> today, im thinkin about the things that are deadly<c> the way im drinkin you down<c> like i wanna drown, like i wanna end me<c> step on the glass, staple your tongue ahh<c> bury a friend, try to wake up ahahh<c> cannibal class, killing the son ahh<c> bury a friend, i wanna end me<c> i wanna end me<c> i wanna, i wanna, i wanna end me<c> i wanna, i wanna, i wanna<c> what do you want from me? why dont you run from me?<c> what are you wondering? what do you know?<c> why arent you scared of me? why do you care for me?<c> when we all fall asleep, where do we go?<c> listen<c> keep you in the dark, what had you expected?<c> me to make you my art and make you a star<c> and get you connected?<c> ill meet you in the park, ill be calm and collected<c> but we knew right from the start that youd fall apart<c> cause im too expensive<c> its probably somethin that shouldnt be said out loud<c> honestly, i thought that i would be dead by now wow<c> calling security, keepin my head held down<c> bury the hatchet or bury a friend right now<c> the debt i owe, gotta sell my soul<c> cause i cant say no, no, i cant say no<c> then my limbs all froze and my eyes wont close<c> and i cant say no, i cant say no<c> careful<c> step on the glass, staple your tongue ahh<c> bury a friend, try to wake up ahahh<c> cannibal class, killing the son ahh<c> bury a friend, i wanna end me<c> i wanna end me<c> i wanna, i wanna, i wanna end me<c> i wanna, i wanna, i wanna<c> what do you want from me? why dont you run from me?<c> what are you wondering? what do you know?<c> why arent you scared of me? why do you care for me?<c> when we all fall asleep, where do we go?"
Billie Eilish,i love you,"its not true<c> tell me ive been lied to<c> crying isnt like you, ooh<c> what the hell did i do?<c> never been the type to<c> let someone see right through, ooh<c> maybe wont you take it back?<c> say you were tryna make me laugh<c> and nothing has to change today<c> you didnt mean to say i love you<c> i love you and i dont want to, ooh<c> up all night on another redeye<c> i wish we never learned to fly<c> maybe we should just try<c> to tell ourselves a good lie<c> didnt mean to make you cry<c> maybe wont you take it back?<c> say you were tryna make me laugh<c> and nothing has to change today<c> you didnt mean to say i love you<c> i love you and i dont want to, ooh<c> the smile that you gave me<c> even when you felt like dying<c> we fall apart as it gets dark<c> im in your arms in central park<c> theres nothing you could do or say<c> i cant escape the way i love you<c> i dont want to, but i love you, ooh<c> ooh, ooh<c> ooh, ooh"
Billie Eilish,your power,"try not to abuse your power<c> i know we didnt choose to change<c> you might not wanna lose your power<c> but havin its so strange<c> she said you were a hero<c> you played the part<c> but you ruined her in a year<c> dont act like it was hard<c> and you swear you didnt know didnt know<c> no wonder why you didnt ask<c> she was sleepin in your clothes in your clothes<c> but now shes got to get to class<c> how dare you?<c> and how could you?<c> will you only feel bad when they find out?<c> if you could take it all back<c> would you?<c> try not to abuse your power<c> i know we didnt choose to change<c> you might not wanna lose your power<c> but havin its so strange<c> i thought that i was special<c> you made me feel<c> like it was my fault, you were the devil<c> lost your appeal<c> does it keep you in control? in control<c> for you to keep her in a cage?<c> and you swear you didnt know didnt know<c> you said you thought she was your age<c> how dare you?<c> and how could you?<c> will you only feel bad if it turns out<c> that they kill your contract?<c> would you?<c> try not to abuse your power<c> i know we didnt choose to change<c> you might not wanna lose your power<c> but power isnt pain<c> mmm<c> ooh<c> lalalalala, hmm<c> lalalalalala, lala"
Billie Eilish,wish you were gay,"baby, i dont feel so good, six words you never understood<c> ill never let you go, five words youll never say aww<c> i laugh along like nothings wrong, four days has never felt so long<c> if threes a crowd and two was us, one slipped away hahahahahahahaha<c> i just wanna make you feel okay<c> but all you do is look the other way<c> i cant tell you how much i wish i didnt wanna stay<c> i just kinda wish you were gay<c> is there a reason were not through?<c> is there a 12 step just for you?<c> our conversations all in blue<c> 11 heys hey, hey, hey, hey<c> ten fingers tearin out my hair<c> nine times you never made it there<c> i ate alone at 7, you were six minutes away<c> yay
how am i supposed to make you feel okay<c> when all you do is walk the other way?<c> i cant tell you how much i wish i didnt wanna stay<c> i just kinda wish you were gay<c> to spare my pride<c> to give your lack of interest an explanation<c> dont say im not your type<c> just say that im not your preferred sexual orientation<c> im so selfish<c> but you make me feel helpless, yeah<c> and i cant stand another day<c> stand another day<c> i just wanna make you feel okay<c> but all you do is look the other way, hmm<c> i cant tell you how much i wish i didnt wanna stay<c> i just kinda wish you were gay<c> i just kinda wish you were gay<c> i just kinda wish you were gay"
Billie Eilish,no time to die,"i should have known<c> id leave alone<c> just goes to show<c> that the blood you bleed is justtheblood you owe<c> wewere a pair<c> but i saw youthere<c> too much to bear<c> you were my life, but life is far away from fair<c> was i stupid to love you?<c> was i reckless to help?<c> was it obvious to everybody else?<c> that id fallen for a lie<c> you were never on my side<c> fool me once, fool me twice<c> are you death or paradise?<c> now youll never see me cry<c> theres just no time to die<c> i let it burn<c> youre no longer my concern, mmm<c> faces from my past return<c> another lesson yet to learn<c> that id fallen for a lie<c> you were never on my side<c> fool me once, fool me twice<c> are you death or paradise?<c> now youll never see me cry<c> theres just no time to die<c> no time to die, mmm<c> no time to die, ooh<c> fool me once, fool me twice<c> are you death or paradise?<c> now youll never see me cry<c> theres just no time to die"
Billie Eilish,therefore i am,"im not your friend<c> or anything, damn<c> you think that youre the man<c> i think, therefore, i am<c> im not your friend<c> or anything, damn<c> you think that youre the man<c> i think, therefore, i am<c> stop, what the hell are you talking about? ha<c> get my pretty name out of your mouth<c> we are not the same with or without<c> dont talk bout me like how you might know how i feel<c> top of the world, but your world isnt real<c> your worlds an ideal<c> so go have fun<c> i really couldnt care less<c> and you can give em my best, but just know<c> im not your friend<c> or anything, damn<c> you think that youre the man<c> i think, therefore, i am<c> im not your friend<c> or anything, damn<c> you think that youre the man<c> i think, therefore, i am<c> i dont want press to put your name next to mine<c> were on different lines, so i<c> wanna be nice enough, they dont call my bluff<c> cause i hate to find<c> articles, articles, articles<c> rather you remain unremarkable got a lotta<c> interviews, interviews, interviews<c> when they say your name, i just act confused<c> did you have fun?<c> i really couldnt care less<c> and you can give em my best, but just know<c> im not your friend<c> or anything, damn<c> you think that youre the man<c> i think, therefore, i am<c> im not your friend<c> or anything, damn<c> you think that youre the man<c> i think, therefore, i am<c> im sorry<c> i dont think i caught your name<c> im sorry<c> i dont think i caught your name<c> im not your friend im not your friend<c> or anything, damn<c> you think that youre the man they wanna, they can try<c> i think, therefore, i am i am<c> im not your friend friend<c> or anything, damn they wanna<c> you think that youre the man youre the man<c> i think, therefore, i am therefore, i am"
Billie Eilish,ocean eyes,"ive been watchin you for some time<c> cant stop starin at those ocean eyes<c> burning cities and napalm skies<c> fifteen flares inside those ocean eyes<c> your ocean eyes<c> no fair<c> you really know how to make me cry<c> when you give me those ocean eyes<c> im scared<c> ive never fallen from quite this high<c> fallin into your ocean eyes<c> those ocean eyes<c> ive been walkin through a world gone blind<c> cant stop thinkin of your diamond mind<c> careful creature made friends with time<c> he left her lonely with a diamond mind<c> and those ocean eyes<c> no fair no fair<c> you really know how to make me cry<c> when you give me those ocean eyes those ocean eyes<c> im scared im scared<c> ive never fallen from quite this high<c> fallin into your ocean eyes<c> those ocean eyes<c> seye naeco esoht<c> seye naeco ruoy otni nillaf<c> dadadadada, dadadadada hgih siht etiuq morf nellaf reven evi<c> deracs mi dadadadadada<c> dadada seye naeco esoht em evig uoy nehw<c> mmm yrc em ekam ot woh wonk yllaer uoy<c> mmm riaf on<c> no fair<c> you really know how to make me cry<c> when you give me those ocean eyes<c> im scared<c> ive never fallen from quite this high<c> fallin into your ocean eyes<c> those ocean eyes"
