Artist,title,lyrics
Billy Joel,we didnt start the fire,"harry truman, doris day<c> red china, johnnie ray<c> south pacific<c> walter winchell, joe dimaggio<c> joe mccarthy, richard nixon<c> studebaker, television<c> north korea, south korea<c> marilyn monroe<c> rosenbergs, hbomb<c> sugar ray, panmunjom<c> brando, the king and i,<c> and the catcher in the rye<c> eisenhower, vaccine<c> englands got a new queen<c> marciano, liberace<c> santayana goodbye<c> we didnt start the fire<c> it was always burning<c> since the worlds been turning<c> we didnt start the fire<c> no, we didnt light it<c> but we tried to fight it<c> joseph stalin, malenkov<c> nasser and prokofiev<c> rockefeller, campanella<c> communist bloc<c> roy cohn, juan peron<c> toscanini, dacron<c> dien bien phu falls, rock around the clock<c> einstein, james dean<c> brooklyns got a winning team<c> davy crockett, peter pan<c> elvis presley, disneyland<c> bardot, budapest, alabama, khrushchev<c> princess grace, peyton place<c> trouble in the suez<c> we didnt start the fire<c> it was always burning<c> since the worlds been turning<c> we didnt start the fire<c> no, we didnt light it<c> but we tried to fight it<c> little rock, pasternak<c> mickey mantle, kerouac<c> sputnik, zhou enlai<c> bridge on the river kwai<c> lebanon, charles de gaulle<c> california baseball<c> starkweather homicide<c> children of thalidomide<c> buddy holly, benhur<c> space monkey, mafia<c> hula hoops, castro<c> edsel is a nogo<c> u2, syngman rhee<c> payola and kennedy<c> chubby checker, psycho<c> belgians in the congo<c> we didnt start the fire<c> it was always burning<c> since the worlds been turning<c> we didnt start the fire<c> no, we didnt light it<c> but we tried to fight it<c> hemingway, eichmann<c> stranger in a strange land<c> dylan, berlin, bay of pigs invasion<c> lawrence of arabia, british beatlemania<c> ole miss, john glenn<c> liston beats patterson<c> pope paul, malcolm x, british politician sex<c> j.f.k. blown away<c> what else do i have to say?<c> we didnt start the fire<c> it was always burning<c> since the worlds been turning<c> we didnt start the fire<c> no, we didnt light it<c> but we tried to fight it<c> birth control, ho chi minh<c> richard nixon back again<c> moonshot, woodstock<c> watergate, punk rock<c> begin, reagan, palestine<c> terror on the airline<c> ayatollahs in iran<c> russians in afghanistan<c> wheel of fortune, sally ride<c> heavy metal suicide<c> foreign debts, homeless vets<c> aids, crack, bernie goetz<c> hypodermics on the shores<c> chinas under martial law<c> rock and roller cola wars<c> i cant take it anymore<c> we didnt start the fire<c> it was always burning<c> since the worlds been turning<c> we didnt start the fire<c> but when we are gone<c> it will still burn on, and on<c> and on, and on<c> we didnt start the fire<c> it was always burning<c> since the worlds been turning<c> we didnt start the fire<c> no, we didnt light it<c> but we tried to fight it<c> we didnt start the fire<c> it was always burning<c> since the worlds been turning<c> we didnt start the fire<c> no, we didnt light it<c> but we tried to fight it<c> we didnt start the fire<c> it was always burning<c> since the worlds been turning<c> we didnt start the fire<c> no, we didnt light it<c> but we tried to fight it<c> we didnt start the fire<c> it was always burning<c> since the worlds been turning188embedshare urlcopyembedcopy"
Billy Joel,piano man,"its nine oclock on a saturday<c> the regular crowd shuffles in<c> theres an old man sittin next to me<c> makin love to his tonic and gin<c> he says, son, can you play me a memory?<c> im not really sure how it goes<c> but its sad, and its sweet, and i knew it complete<c> when i wore a younger mans clothes<c> la, lala, dideeda<c> lala, dideeda, dadum<c> sing us a song, youre the piano man<c> sing us a song tonight<c> well, were all in the mood for a melody<c> and youve got us feeling alright<c> now john at the bar is a friend of mine<c> he gets me my drinks for free<c> and hes quick with a joke, or to light up your smoke<c> but theres someplace that hed rather be<c> he says, bill, i believe this is killing me<c> as the smile ran away from his face<c> well im sure that i could be a movie star<c> if i could get out of this place<c> oh, la, lala, dideeda<c> lala, dideeda, dadum<c> now paul is a real estate novelist<c> who never had time for a wife<c> and hes talkin with davy, whos still in the navy<c> and probably will be for life<c> and the waitress is practicing politics<c> as the businessmen slowly get stoned<c> yes, theyre sharing a drink they call loneliness<c> but its better than drinkin alone<c> sing us a song, youre the piano man<c> sing us a song tonight<c> well, were all in the mood for a melody<c> and youve got us feeling alright<c> its a pretty good crowd for a saturday<c> and the manager gives me a smile<c> cause he knows that its me theyve been comin to see<c> to forget about life for a while<c> and the piano, it sounds like a carnival<c> and the microphone smells like a beer<c> and they sit at the bar and put bread in my jar<c> and say, man, what are you doin here?<c> oh, la, lala, dideeda<c> lala, dideeda, dadum<c> sing us a song, youre the piano man<c> sing us a song tonight<c> well, were all in the mood for a melody<c> and youve got us feeling alright<c> 88embedshare urlcopyembedcopy"
Billy Joel,vienna,"slow down, you crazy child<c> youre so ambitious for a juvenile<c> but then if youre so smart<c> tell me why are you still so afraid, hmm?<c> wheres the fire, whats the hurry about?<c> youd better cool it off before you burn it out<c> youve got so much to do<c> and only so many hours in a day, ayy<c> but you know that when the truth is told<c> that you can get what you want<c> or you can just get old<c> youre gonna<c> kick off before you even get halfway through, ooh<c> when will you realize<c> vienna waits for you?<c> slow down, youre doin fine<c> you cant be everything you wanna be<c> before your time<c> although its so romantic<c> on the borderline tonight, tonight<c> too bad but its the life you lead<c> youre so ahead of yourself<c> that you forgot what you need<c> though you can see when youre wrong<c> you know you cant always see when youre right<c> youre right<c> youve got your passion<c> youve got your pride<c> but dont you know<c> that only fools are satisfied?<c> dream on<c> but dont imagine theyll all come true, ooh<c> when will you realize<c> vienna waits for you?<c> slow down, you crazy child<c> and take the phone off the hook<c> and disappear for a while<c> its all right, you can afford<c> to lose a day or two, ooh<c> when will you realize<c> vienna waits for you?<c> and you know that when the truth is told<c> that you can get what you want<c> or you could just get old<c> youre gonna<c> kick off before you even get halfway through, ooh<c> why dont you realize<c> vienna waits for you?<c> when will you realize<c> vienna waits for you?32embedshare urlcopyembedcopy"
Billy Joel,uptown girl,"uptown girl<c> shes been living in her uptown world<c> i bet shes never had a backstreet guy<c> i bet her momma never told her why<c> im gonna try for an<c> uptown girl<c> shes been living in her white bread world<c> as long as anyone with hot blood can<c> and now shes looking for a downtown man<c> thats what i am<c> and when she knows what she wants from her time<c> and when she wakes up and makes up her mind<c> shell see im not so tough<c> just because im in love with an<c> uptown girl<c> you know ive seen her in her uptown world<c> shes getting tired of her high class toys<c> and all the presents from her uptown boys<c> shes got a choice<c> uptown girl<c> you know i cant afford to buy her pearls<c> but maybe someday when my ship comes in<c> shell understand what kind of guy ive been<c> and then ill win<c> and when shes walking, shes looking so fine<c> and when shes talking, shell say that shes mine<c> shell say im not so tough<c> just because im in love with an<c> uptown girl<c> shes been living in her white bread world<c> as long as anyone with hot blood can<c> and now shes looking for a downtown man<c> thats what i am<c> uptown girl, shes my uptown girl<c> you know im in love with an uptown girl, my uptown girl<c> you know im in love with an uptown girl, my uptown girl<c> you know im in love with an uptown girl, my uptown girl<c> you know im in love with an uptown girl24embedshare urlcopyembedcopy"
Billy Joel,the longest time,"dum dum dum<c> whoa, oh, oh, oh for the longest<c> for the longest time<c> whoa, oh, oh for the longest<c> for the longest time<c> if you said goodbye to me tonight<c> there would still be music left to write<c> what else could i do?<c> im so inspired by you<c> that hasnt happened for the longest time<c> once i thought my innocence was gone<c> now i know that happiness goes on<c> thats where you found me<c> when you put your arms around me<c> i havent been there for the longest time<c> whoa, oh, oh, oh for the longest<c> for the longest time<c> whoa, oh, oh for the longest<c> for the longest<c> im that voice youre hearing in the hall<c> and the greatest miracle of all<c> is how i need you<c> and how you needed me too<c> that hasnt happened for the longest time<c> maybe this wont last very long<c> but you feel so right and i could be wrong<c> maybe ive been hoping too hard<c> but ive gone this far and its more than i hoped for<c> who knows how much further well go on?<c> maybe ill be sorry when youre gone<c> ill take my chances<c> i forgot how nice romance is<c> i havent been there for the longest time<c> i had second thoughts at the start<c> i said to myself, hold on to your heart<c> now i know the woman that you are<c> youre wonderful so far, and its more than i hoped for<c> i dont care what consequence it brings<c> i have been a fool for lesser things<c> i want you so bad<c> i think you ought to know that<c> i intend to hold you for the longest time<c> whoa, oh, oh, oh for the longest<c> for the longest time<c> whoa, oh, oh for the longest<c> for the longest time<c> whoa, oh, oh for the longest<c> for the longest time<c> whoa, oh, oh for the longest<c> for the longest time<c> whoa, oh, oh for the longest<c> for the longest time...18embedshare urlcopyembedcopy"
Billy Joel,shes always a woman,"she can kill with a smile<c> she can wound with her eyes<c> and she can ruin your faith with her casual lies<c> and she only reveals<c> what she wants you to see<c> she hides like a child<c> but shes always a woman to me<c> she can lead you to love<c> she can take you or leave you<c> she can ask for the truth<c> but shell never believe you<c> and shell take what you give her<c> as long as its free<c> yeah, she steals like a thief<c> but shes always a woman to me<c> oh, she takes care of herself<c> she can wait if she wants<c> shes ahead of her time<c> oh, and she never gives out<c> and she never gives in<c> she just changes her mind<c> and shell promise you more<c> than the garden of eden<c> then shell carelessly cut you<c> and laugh while youre bleedin<c> but shell bring out the best<c> and the worst you can be<c> blame it all on yourself<c> cause shes always a woman to me<c> mmm mmm<c> mmm mmm mmm mmm mm<c> oh, she takes care of herself<c> she can wait if she wants<c> shes ahead of her time<c> oh, and she never gives out<c> and she never gives in<c> she just changes her mind<c> she is frequently kind<c> and shes suddenly cruel<c> she can do as she pleases<c> shes nobodys fool<c> but she cant be convicted<c> shes earned her degree<c> and the most she will do<c> is throw shadows at you<c> but shes always a woman to me<c> mmm mm, mmm mm<c> mmm mmm mmm mmm mmm8embedshare urlcopyembedcopy"
Billy Joel,movin out anthonys song,"hoo ooh<c> ohh ohh<c> mmm mmm<c> anthony works in the grocery store<c> savin his pennies for someday<c> mama leone left a note on the door<c> she said, sonny, move out to the country<c> ah but workin too hard can give you a heart attack<c> ackackackackack<c> you oughta know by now<c> you oughta know by now<c> who needs a house out in hackensack<c> is that all you get for your money?<c> and it seems such a waste of time<c> if thats what its all about<c> mama, if thats movin up then im<c> movin out<c> im movin out, mmm mm<c> oohooh, uhhuh, mmm<c> sergeant oleary is walkin the beat<c> at night he becomes a bartender<c> he works at mr. cacciatores<c> down on sullivan street<c> across from the medical center<c> yeah, and hes tradin in his chevy<c> for a cadillacacacacacac<c> you oughta know by now<c> you oughta know by now<c> and if he cant drive with a broken back<c> at least he can polish the fenders<c> and it seems such a waste of time<c> if thats what its all about<c> mama, if thats movin up then im movin out<c> mmm, im movin out<c> ohohh, ooh ooh, uhhuh, mmm<c> you should never argue<c> with a crazy mindmindmindmind<c> you oughta know by now<c> you oughta know by now<c> you can pay uncle sam with the overtime<c> is that all you get for your money?<c> and if thats what you have in mind<c> yeah, if thats what youre all about<c> good luck movin up, cause im movin out<c> im movin out<c> engine revs<c> tires screech<c> engine continues to rev<c> tires continue to screech<c> im movin out19embedshare urlcopyembedcopy"
Billy Joel,just the way you are,"dont go changin<c> to try and please me<c> you never let me down before, mmm<c> dont imagine<c> youre too familiar<c> and i dont see you anymore<c> i would not leave you<c> in times of trouble<c> we never could have come this far, mmm<c> i took the good times<c> ill take the bad times<c> ill take you just the way you are<c> dont go tryin<c> some new fashion<c> dont change the color of your hair, mmm mmm<c> you always have my<c> unspoken passion<c> although i might not seem to care<c> i dont want clever<c> conversation<c> i never want to work that hard<c> i just want someone<c> that i can talk to<c> i want you just the way you are<c> i need to know that you will always be<c> the same old someone that i knew<c> ahh, what will it take til you believe in me<c> the way that i believe in you<c> i said i love you<c> and thats forever<c> and this i promise from the heart, mmm mmm<c> i couldnt love you<c> any better<c> i love you just the way you are<c> right<c> 3:04  3:29<c> i dont want clever<c> conversation<c> i never want to work that hard, mmmmm<c> i just want someone<c> that i can talk to<c> i want you just the way you are, ohh10embedshare urlcopyembedcopy"
Billy Joel,only the good die young,"come out virginia, dont let me wait<c> you catholic girls start much too late<c> aw, but sooner or later<c> it comes down to fate<c> i might as well be the one<c> well, they showed you a statue<c> told you to pray<c> they built you a temple<c> and locked you away<c> aw, but they never told you<c> the price that you pay<c> for things that you might have done<c> well, only the good die young<c> thats what i said<c> only the good die young<c> only the good die young<c> you mighta heard<c> i run with a dangerous crowd<c> we aint too pretty, we aint too proud<c> we might be laughing a bit too loud<c> aw, but that never hurt no one<c> so come on virginia, show me a sign<c> send up a signal, ill throw you the line<c> the stainedglass curtain<c> youre hiding behind<c> never lets in the sun<c> darling only the good die young<c> oh oh oh oh ohh<c> i tell ya only the good die young<c> only the good die young<c> you got a nice white dress<c> and a party on your confirmation<c> you got a brand new soul<c> mmm, and a cross of gold<c> but virginia<c> they didnt give you quite enough information<c> you didnt count on me<c> when you were counting on your rosary<c> they say theres a heaven<c> for those who will wait<c> some say its better, but i say it aint<c> id rather laugh with the sinners<c> than cry with the saints<c> the sinners are much more fun<c> you know that only the good die young<c> oh oh ohh baby<c> i tell ya only the good die young<c> only the good die young<c> 2:26  2:39<c> you said your mother told you<c> all that i could give you was a reputation<c> aw, she never cared for me<c> but did she ever say a prayer for me?<c> oh oh oh<c> come out, come out, come out<c> virginia, dont let me wait<c> you catholic girls start much too late<c> but sooner or later<c> it comes down to fate<c> i might as well be the one<c> you know that only the good die young<c> tell you baby<c> you know that only the good die young<c> only the good die young<c> only the good<c> only the good die young<c> ooh ooh oooh ooh<c> ooh ooh ooh oooh ooh<c> ooh ooh oooh ooh<c> ooh ooh ooh oooh ooh<c> ooh ooh oooh ooh<c> ooh ooh ooh oooh ooh<c> only the good die young<c> only the good die young<c> ooh ooh oooh ooh<c> ooh ooh ooh oooh ooh11embedshare urlcopyembedcopy"
Billy Joel,scenes from an italian restaurant,"a bottle of white, a bottle of red<c> perhaps a bottle of rosé instead<c> well get a table near the street<c> in our old familiar place<c> you and i, face to face, mmm<c> a bottle of red, a bottle of white<c> it all depends upon your appetite<c> ill meet you any time you want<c> in our italian restaurant<c> things are okay with me these days<c> got a good job, got a good office<c> got a new wife, got a new life<c> and the family is fine<c> oh, lost touch long ago<c> you lost weight, i did not know<c> you could ever look so nice<c> after so much time<c> you remember those days<c> hanging out at the village green?<c> engineer boots, leather jackets<c> and tight blue jeans<c> oh, you drop a dime in the box<c> play the song about new orleans<c> cold beer, hot lights<c> my sweet romantic teenage nights<c> brenda and eddie were the popular steadies<c> and the king and the queen of the prom<c> riding around with the car top down<c> and the radio on<c> nobody looked any finer<c> or was more of a hit at the parkway diner<c> we never knew we could want<c> more than that out of life<c> surely brenda and eddie<c> would always know how to survive<c> brenda and eddie were still going steady<c> in the summer of 75<c> when they decided their marriage<c> should be at the end of july<c> everyone said they were crazy<c> brenda you know that youre much too lazy<c> and eddie could never afford<c> to live that kind of life.<c> oh but there we were waving<c> brenda and eddie goodbye<c> well, they got an apartment<c> with deep pile carpets<c> and a couple of paintings from sears<c> a big waterbed that they<c> bought with the bread<c> they had saved for a couple of years<c> they started to fight<c> when the money got tight<c> and they just didnt count on the tears<c> yeah, rock and roll<c> well, they lived for a while in a very nice style<c> but its always the same in the end<c> they got a divorce as a matter of course<c> and they parted the closest of friends<c> then the king and the queen<c> went back to the green<c> but you can never go back there again<c> brenda and eddie had had it already<c> by the summer of 75<c> from the high to the low<c> to the end of the show<c> for the rest of their lives<c> they couldnt go back to the greasers<c> the best they could do<c> was pick up their pieces<c> we always knew they would<c> both find a way to get by<c> and thats all i heard about brenda and eddie<c> cant tell you more cause i told you already<c> and here we are waving<c> brenda and eddie goodbye<c> bottle of red, bottle of white<c> whatever kind of mood youre in tonight<c> ill meet you anytime you want<c> in our italian restaurant17embedshare urlcopyembedcopy"
