Artist,title,lyrics
David Bowie,space oddity,"ground control to major tom<c> ground control to major tom<c> take your protein pills and put your helmet on<c> ten ground control nine to major tom eight, seven<c> six commencing five countdown, engines on<c> four, three, two<c> check ignition one and may gods love lift off be with you<c> this is ground control to major tom<c> youve really made the grade<c> and the papers want to know whose shirts you wear<c> now its time to leave the capsule if you dare<c> this is major tom to ground control<c> im stepping through the door<c> and im floating in a most peculiar way<c> and the stars look very different today<c> for here am i sitting in my tin can<c> far above the world<c> planet earth is blue<c> and theres nothing i can do<c> though im past one hundred thousand miles<c> im feeling very still<c> and i think my spaceship knows which way to go<c> tell my wife i love her very much<c> she knows<c> ground control to major tom<c> your circuits dead, theres something wrong<c> can you hear me, major tom?<c> can you hear me, major tom?<c> can you hear me, major tom?<c> can you<c> here am i floating round my tin can<c> far above the moon<c> planet earth is blue<c> and theres nothing i can do<c> 86embedshare urlcopyembedcopy"
David Bowie,★ blackstar,"in the villa of ormen, in the villa of ormen<c> stands a solitary candle, ahah, ahah<c> in the centre of it all, in the centre of it all<c> your eyes<c> on the day of execution, on the day of execution<c> only women kneel and smile, ahah, ahah<c> at the centre of it all, at the centre of it all<c> your eyes, your eyes<c> ahahah<c> ahahah<c> in the villa of ormen, in the villa of ormen<c> stands a solitary candle, ahah, ahah<c> at the centre of it all, at the centre of it all<c> your eyes, your eyes<c> ahahah<c> something happened on the day he died<c> spirit rose a metre and stepped aside<c> somebody else took his place, and bravely cried<c> im a blackstar, im a blackstar<c> how many times does an angel fall?<c> how many people lie instead of talking tall?<c> he trod on sacred ground, he cried loud into the crowd<c> im a blackstar, im a blackstar, im not a gangstar<c> i cant answer why im a blackstar<c> just go with me im not a filmstar<c> ima take you home im a blackstar<c> take your passport and shoes im not a popstar<c> and your sedatives, boo im a blackstar<c> youre a flash in the pan im not a marvel star<c> im the great i am im a blackstar<c> im a blackstar, way up, on money, ive got game<c> i see right, so wide, so openhearted pain<c> i want eagles in my daydreams, diamonds in my eyes<c> im a blackstar, im a blackstar<c> something happened on the day he died<c> spirit rose a metre then stepped aside<c> somebody else took his place, and bravely cried<c> im a blackstar, im a stars star, im a blackstar<c> i cant answer why im not a gangstar<c> but i can tell you how im not a flam star<c> we were born upsidedown im a stars star<c> born the wrong way round im not a white star<c> im a blackstar, im not a gangstar<c> im a blackstar, im a blackstar<c> im not a pornstar, im not a wandering star<c> im a blackstar, im a blackstar<c> in the villa of ormen stands a solitary candle<c> ahah, ahah<c> at the centre of it all, your eyes<c> on the day of execution, only women kneel and smile<c> ahah, ahah<c> at the centre of it all, your eyes, your eyes<c> ahahah<c> 80embedshare urlcopyembedcopy"
David Bowie,heroes,"i, i will be king<c> and you, you will be queen<c> though nothing will drive them away<c> we can beat them just for one day<c> we can be heroes just for one day<c> and you, you can be mean<c> and i, ill drink all the time<c> cause were lovers, and that is a fact<c> yes, were lovers, and that is that<c> though nothing will keep us together<c> we could steal time just for one day<c> we can be heroes forever and ever<c> what dyou say?<c> i, i wish you could swim<c> like the dolphins, like dolphins can swim<c> though nothing, nothing will keep us together<c> we can beat them forever and ever<c> oh, we can be heroes just for one day<c> i, i will be king<c> and you, you will be queen<c> though nothing will drive them away<c> we can be heroes, just for one day<c> we can be us just for one day<c> i, i can remember i remember<c> standing by the wall by the wall<c> and the guns shot above our heads over our heads<c> and we kissed as though nothing could fall nothing could fall<c> and the shame was on the other side<c> oh, we can beat them forever and ever<c> then we could be heroes just for one day<c> we can be heroes<c> we can be heroes<c> we can be heroes just for one day<c> we can be heroes<c> were nothing, and nothing will help us<c> maybe were lying, then you better not stay<c> but we could be safer just for one day<c> ohohohoh, ohohohoh, just for one day78embedshare urlcopyembedcopy"
David Bowie,life on mars?,"its a godawful small affair<c> to the girl with the mousy hair<c> but her mummy is yelling, no<c> and her daddy has told her to go<c> but her friend is nowhere to be seen<c> now she walks through her sunken dream<c> to the seat with the clearest view<c> and shes hooked to the silver screen<c> but the film is a saddening bore<c> for shes lived it ten times or more<c> she could spit in the eyes of fools<c> as they ask her to focus on<c> sailors fighting in the dance hall<c> oh, man, look at those cavemen go<c> its the freakiest show<c> take a look at the lawman<c> beating up the wrong guy<c> oh, man, wonder if hell ever know<c> hes in the best selling show<c> is there life on mars?<c> its on americas tortured brow<c> that mickey mouse has grown up a cow<c> now the workers have struck for fame<c> cause lennons on sale again<c> see the mice in their million hordes<c> from ibiza to the norfolk broads<c> rule britannia is out of bounds<c> to my mother, my dog, and clowns<c> but the film is a saddening bore<c> because i wrote it ten times or more<c> its about to be writ again<c> as i ask you to focus on<c> sailors fighting in the dance hall<c> oh, man, look at those cavemen go<c> its the freakiest show<c> take a look at the lawman<c> beating up the wrong guy<c> oh, man, wonder if hell ever know<c> hes in the best selling show<c> is there life on mars?101embedshare urlcopyembedcopy"
David Bowie,starman,"hey now, now<c> oh, oh, oh<c> didnt know what time it was, the lights were low<c> i leaned back on my radio<c> some cat was layin down some rock n roll<c> lotta soul, he said<c> then the loud sound did seem to fade<c> came back like a slow voice on a wave of phase<c> that werent no dj, that was hazy cosmic jive<c> theres a starman waiting in the sky<c> hed like to come and meet us<c> but he thinks hed blow our minds<c> theres a starman waiting in the sky<c> hes told us not to blow it<c> cause he knows its all worthwhile<c> he told me<c> let the children lose it<c> let the children use it<c> let all the children boogie<c> i had to phone someone so i picked on you<c> hey, thats far out, so you heard him too<c> switch on the tv, we may pick him up on channel two<c> look out your window, i can see his light<c> if we can sparkle he may land tonight<c> dont tell your poppa or hell get us locked up in fright<c> theres a starman waiting in the sky<c> hed like to come and meet us<c> but he thinks hed blow our minds<c> theres a starman waiting in the sky<c> hes told us not to blow it<c> cause he knows its all worthwhile<c> he told me<c> let the children lose it<c> let the children use it<c> let all the children boogie<c> starman waiting in the sky<c> hed like to come and meet us<c> but he thinks hed blow our minds<c> theres a starman waiting in the sky<c> hes told us not to blow it<c> cause he knows its all worthwhile<c> he told me<c> let the children lose it<c> let the children use it<c> let all the children boogie<c> la, la, la, lala, la, la, la<c> la, la, la, lala, la, la, la<c> la, la, la, lala, la, la, la<c> la, la, la, lala, la, la, la<c> la, la, la, lala, la, la, la<c> la, la, la, lala, la, la, la<c> la, la, la, lala, la, la, la<c> la, la, la, lala, la, la, la48embedshare urlcopyembedcopy"
David Bowie,lazarus,"look up here, im in heaven<c> ive got scars that cant be seen<c> ive got drama, cant be stolen<c> everybody knows me now<c> look up here, man, im in danger<c> ive got nothing left to lose<c> im so high, it makes my brain whirl<c> dropped my cell phone down below<c> aint that just like me?<c> by the time i got to new york<c> i was living like a king<c> there i used up all my money<c> i was looking for your ass<c> this way or no way<c> you know ill be free<c> just like that bluebird<c> now, aint that just like me?<c> oh, ill be free<c> just like that bluebird<c> oh, ill be free<c> aint that just like me?<c> 52embedshare urlcopyembedcopy"
David Bowie,changes,"oh yeah<c> mmm<c> still dont know what i was waiting for<c> and my time was running wild, a million deadend streets and<c> every time i thought id got it made<c> it seemed the taste was not so sweet<c> so i turned myself to face me<c> but ive never caught a glimpse<c> of how the others must see the faker<c> im much too fast to take that test<c> chchchchchanges turn and face the strange<c> chchchanges, dont want to be a richer man<c> chchchchchanges turn and face the strange<c> chchchanges, just gonna have to be a different man<c> time may change me<c> but i cant trace time<c> oh yeah<c> i watch the ripples change their size<c> but never leave the stream of warm impermanence and<c> so the days float through my eyes<c> but still the days seem the same<c> and these children that you spit on<c> as they try to change their worlds<c> are immune to your consultations<c> theyre quite aware of what theyre going through<c> chchchchchanges turn and face the strange<c> chchchanges, dont tell them to grow up and out of it<c> chchchchchanges turn and face the strange<c> chchchanges, wheres your shame?<c> youve left us up to our necks in it<c> time may change me<c> but you cant trace time<c> strange fascination, fascinating me<c> ah, changes are taking the pace im going through<c> chchchchchanges turn and face the strange<c> chchchanges, oh, look out you rock n rollers<c> chchchchchanges turn and face the strange<c> chchchanges, pretty soon now youre gonna get older<c> time may change me<c> but i cant trace time<c> i said that time may change me<c> but i cant trace time25embedshare urlcopyembedcopy"
David Bowie,the man who sold the world,"we passed upon the stair<c> we spoke of was and when<c> although i wasnt there<c> he said i was his friend<c> which came as some surprise<c> i spoke into his eyes, i thought you died alone<c> a long long time ago<c> oh no, not me<c> i never lost control<c> youre face to face<c> with the man who sold the world<c> i laughed and shook his hand<c> and made my way back home<c> i searched for form and land<c> for years and years i roamed<c> i gazed a gazely stare<c> at all the millions here<c> we must have died alone<c> a long long time ago<c> who knows? not me<c> we never lost control<c> youre face to face<c> with the man who sold the world<c> who knows? not me<c> we never lost control<c> youre face to face<c> with the man who sold the world29embedshare urlcopyembedcopy"
David Bowie,girl loves me,"cheena so sound, so titi up this malchick, say<c> party up moodge, nanti vellocet round on tuesday<c> real bad dizzy snatch making all the omies mad  thursday<c> popo blind to the polly in the hole by friday<c> where the fuck did monday go?<c> im cold to this pig and pug show<c> im sittin in the chestnut tree<c> who the fucks gonna mess with me?<c> girl loves me hey, cheena<c> girl loves me<c> girl loves me hey, cheena<c> girl loves me<c> where the fuck did monday go?<c> go, go, go, go, go, go, go<c> im cold to this pig and pug show<c> go, go, go, go, go, go, go, go<c> where the fuck did monday go?<c> go, go, go, go, go, go, go, go, go<c> you viddy at the cheena<c> choodesny with the red rot<c> libbilubbing litsofitso<c> devotchka watch her garbles<c> spatchko at the rozzshop<c> split a ded from his deng deng<c> viddy viddy at the cheena<c> girl loves me hey, cheena<c> girl loves me<c> girl loves me hey, cheena<c> girl loves me<c> girl loves me hey, cheena<c> girl loves me<c> where the fuck did monday go?<c> where the fuck did monday go?<c> where the fuck did monday go?<c> girl loves me hey, cheena<c> girl loves me<c> girl loves me hey, cheena<c> girl loves me<c> where the fuck did monday go?<c> where the fuck did monday go?18embedshare urlcopyembedcopy"
David Bowie,ashes to ashes,"do you remember a guy thats been<c> in such an early song?<c> ive heard a rumour from ground control<c> oh no, dont say its true<c> they got a message from the action man<c> im happy, hope youre happy too<c> ive loved all ive needed to love<c> sordid details following<c> the shrieking of nothing is killing<c> just pictures of jap girls in synthesis<c> and i aint got no money and i aint got no hair<c> but im hoping to kick but the planet is glowing<c> ashes to ashes, funk to funky<c> we know major toms a junkie<c> strung out in heavens high<c> hitting an alltime low<c> time and again i tell myself<c> ill stay clean tonight<c> but the little green wheels are following me<c> oh no, not again<c> im stuck with a valuable friend<c> im happy, hope youre happy too<c> one flash of light, but no smoking pistol<c> ive never done good things<c> ive never done bad things<c> i never did anything out of the blue, whoa whoa<c> want an axe to break the ice<c> wanna come down right now<c> ashes to ashes, funk to funky<c> we know major toms a junkie<c> strung out in heavens high<c> hitting an alltime low<c> my mama said to get things done<c> youd better not mess with major tom<c> my mama said to get things done<c> youd better not mess with major tom<c> my mama said to get things done<c> youd better not mess with major tom<c> my mama said to get things done<c> youd better not mess with major tom21embedshare urlcopyembedcopy"
