Artist,title,lyrics
Ed Sheeran,overpass graffiti,"this is a dark parade<c> another rough patch to rain on<c> to rain on<c> i know your friends may say<c> this is a cause for celebration<c> hip, hip, hooray, love<c> photographs in sepia tones<c> so still, the fires barely fighting the cold<c> alone
there are times when i can feel your ghost<c> just when im almost letting you go<c> the cards were stacked against us both<c> i will always love you for what its worth<c> well never fade like graffiti on the overpass<c> and i know time may change the way you think of us<c> but ill remember the way we were<c> you were the first fullstop love that will never leave<c> baby, you will never be lost on me<c> this is a goddamn shame<c> i never wanted to break it<c> leave us tainted<c> know i should walk away<c> but i just cant replace us<c> or even erase us<c> the car was stuck, the engine stalled<c> and both of us got caught out in the snow<c> alone
there were times when i forget the lows<c> and think the highs were all that wed ever known<c> the cards were stacked against us both<c> i will always love you for what its worth<c> well never fade like graffiti on the overpass<c> and i know time may change the way you think of us<c> but ill remember the way we were<c> you were the first fullstop love that will never leave<c> baby, you will never be lost on me<c> lost on me<c> baby, you will never be lost on me<c> lost on me<c> well, i will always love you for what its worth<c> well never fade like graffiti on the overpass, yeah<c> and i know time may change the way you think of us<c> but ill remember the way we were<c> you were the first fullstop love that will never leave<c> baby, you will never be lost on me<c> yeah, yeah, yeah<c> yeah, yeah, yeah, yeah<c> lost on me<c> ooh, graffiti on the overpass"
Ed Sheeran,bibia be ye ye,"bibia be ye ye<c> i lost my shoes last night, i dont know where i put my keys<c> i was tired and fell asleep beneath an oak tree<c> i bet my mothers proud of me<c> from each scar upon my knuckle and each graze upon my knee<c> and all i know<c> is i got a cab and then threw up upon his car seat<c> he kicked me out and then i walked in the rain<c> i tell myself in every way i wont be doing this again<c> and tomorrows a brand new day<c> someone told me, always say whats on your mind<c> and i am only being honest with you, i<c> i get lonely and make mistakes from time to time<c> se enioma enko ye, bibia be ye ye<c> bibia be ye ye, ye ye, ye ye<c> bibia be ye ye<c> i remember less and less and mostly things that i regret<c> in my phone are several texts from girls ive never met<c> and in the pocket of my jeans are only coins and broken dreams<c> my heart is breaking at the seams and im coming apart now<c> now things are looking up, ill find my shoes right next to the oak tree<c> and ill get a bus straight into town and spend the afternoon<c> looking around for the things that i left on the ground<c> and say youre with me, tomorrows a brand new day<c> someone told me, always say whats on your mind<c> and i am only being honest with you, i<c> i get lonely and make mistakes from time to time<c> se enioma enko ye, bibia be ye ye<c> wo nooma<c> wo nooma maaaa ye<c> wo nooma<c> wo nooma maaaa ye<c> wo nooma<c> wo nooma maaaa ye<c> wo nooma<c> wo nooma maaaa ye
<c> someone told me, always say whats on your mind<c> and i am only being honest with you, i<c> i get lonely and make mistakes from time to time<c> se enioma enko ye, bibia be ye ye<c> bibia be ye ye, ye ye, ye ye<c> bibia be ye ye<c> wo nooma<c> wo nooma maaaa ye<c> wo nooma<c> bibia be ye ye<c> wo nooma<c> wo nooma maaaa ye<c> wo nooma<c> wo nooma maaaa ye"
Ed Sheeran,save myself,"i gave all my oxygen to people that could breathe<c> i gave away my money and now we dont even speak<c> i drove miles and miles, but would you do the same for me?<c> oh, honestly?<c> offered off my shoulder just for you to cry upon<c> gave you constant shelter and a bed to keep you warm<c> they gave me the heartache and, in return, i gave a song<c> it goes on and on<c> life can get you down so i just numb the way it feels<c> i drown it with a drink and outofdate prescription pills<c> and all the ones that love me, they just left me on the shelf<c> no farewell<c> so before i save someone else, ive got to save myself<c> i gave you all my energy and i took away your pain
cause human beings are destined to radiate or drain<c> what line do we stand upon? cause from here, it looks the same<c> and only scars remain<c> life can get you down so i just numb the way it feels<c> i drown it with a drink and outofdate prescription pills<c> and all the ones that love me, they just left me on the shelf<c> no farewell<c> so before i save someone else, ive got to save myself<c> but if i dont, then ill go back<c> to where im rescuing a stranger just because they needed saving just like that<c> oh, im here again<c> between the devil and the danger, but i guess its just my nature<c> my dad was wrong cause im not like my mum
cause shed just smile and im complaining in a song<c> but it helps<c> so before i save someone else, ive got to save myself<c> life can get you down so i just numb the way it feels<c> i drown it with a drink and outofdate prescription pills<c> and all the ones that love me, they just left me on the shelf<c> no farewell<c> so before i save someone else, ive got to save myself<c> and before i blame someone else, ive got to save myself<c> and before i love someone else, ive got to love myself"
Ed Sheeran,visiting hours,"i wish that heaven had visiting hours<c> so i could just show up and bring the news<c> that shes gettin older and i wish that youd met her<c> the things that shell learn from me, i got them all from you<c> can i just stay a while and well put all the world to rights?<c> the little ones will grow and ill still drink your favourite wine<c> and soon, theyre going to close, but ill see you another day<c> so much has changed since youve been away<c> i wish that heaven had visiting hours<c> so i could just swing by and ask your advice<c> what would you do in my situation?<c> i havent a clue how id even raise them<c> what would you do? cause you always do whats right<c> can we just talk a while until my worries disappear?<c> id tell you that im scared of turnin out a failure<c> youd say, remember that the answers in the love that we create<c> so much has changed since youve been away<c> i wish that heaven had visiting hours<c> and i would ask them if i could take you home<c> but i know what theyd say, that its for the best<c> so i will live life the way you taught me<c> and make it on my own<c> and i will close the door, but i will open up my heart<c> and everyone i love will know exactly who you are
cause this is not goodbye, it is just til we meet again<c> so much has changed since youve been away"
Ed Sheeran,barcelona,"well, get up, up on the dancefloor tonight<c> ive got two left feet and a bottle of red wine<c> making me feel like the beat and the bassline<c> are in my blood, both hands up on her waistline<c> get on up, baby, dance to the rhythm of the music<c> dont care what the dj chooses<c> get lost in the rhythm of me<c> place dont close until we wanna leave it<c> and you and i, were flying on an aeroplane tonight<c> were going somewhere where the sun is shining bright<c> just close your eyes<c> and lets pretend were dancing in the street<c> in barcelona<c> barcelona
barcelona<c> barcelona
well, get up, up on the dancefloor, move, its a saturday night<c> i fell in love with the sparkle in the moonlight<c> reflected in your beautiful eyes<c> i guess that is destiny doing it right<c> and dance like they do in the mediterranean<c> spin you around me again and again, and<c> youre like something that god has sent me<c> i want you, baby, solamente<c> and you and i, were flying on an aeroplane tonight<c> were going somewhere where the sun is shining bright<c> just close your eyes<c> and lets pretend were dancing in the street<c> in barcelona<c> barcelona
barcelona<c> barcelona
barcelona<c> barcelona
oh, barcelona<c> so lets pretend were dancing in the street<c> in barcelona<c> las ramblas, ill meet you<c> well dance around la sagrada familia<c> drinking sangra<c> mi nia, te amo, mi cario<c> mamacita, rica<c> s, tú, te adoro, seorita<c> nosotros, vivir la vida<c> come on, lets be free in barcelona<c> las ramblas, ill meet you<c> come on and dance with me in barcelona<c> drinking sangra<c> i just want to be in barcelona<c> mamacita, rica<c> feel that summer breeze in barcelona<c> nosotros, viva la vida<c> siempre vida, barcelona"
Ed Sheeran,tenerife sea,"you look so wonderful in your dress<c> i love your hair like that<c> the way it falls on the side of your neck<c> down your shoulders and back<c> we are surrounded by all of these lies<c> and people who talk too much<c> you got the kind of look in your eyes<c> as if no one knows anything but us<c> should this be the last thing i see?<c> i want you to know its enough for me
cause all that you are is all that ill ever need<c> im so in love<c> so in love<c> so in love<c> im so in love<c> you look so beautiful in this light<c> your silhouette over me<c> the way it brings out the blue in your eyes<c> is the tenerife sea<c> and all of the voices surrounding us here<c> they just fade out when you take a breath<c> just say the word and i will disappear<c> into the wilderness<c> should this be the last thing i see?<c> i want you to know its enough for me
cause all that you are is all that ill ever need<c> im so in love<c> so in love<c> so in love<c> so in love<c> lumiere, darling<c> lumiere over me<c> lumiere, darling<c> lumiere over me<c> lumiere, darling<c> lumiere over me<c> should this be the last thing i see?<c> i want you to know its enough for me
cause all that you are is all that ill ever need<c> im so in love<c> so in love<c> so in love, love, love, love<c> so in love<c> you look so wonderful in your dress<c> i love your hair like that<c> and in a moment, i knew you best"
Ed Sheeran,supermarket flowers,"i took the supermarket flowers from the windowsill<c> i threw the day old tea from the cup<c> packed up the photo album matthew had made<c> memories of a life thats been loved<c> took the get well soon cards and stuffed animals<c> poured the old ginger beer down the sink<c> dad always told me, dont you cry when youre down<c> but mum, theres a tear every time that i blink<c> oh, im in pieces, its tearing me up, but i know<c> a heart thats broke is a heart thats been loved<c> so ill sing hallelujah<c> you were an angel in the shape of my mum<c> when i fell down, youd be there holding me up<c> spread your wings as you go<c> when god takes you back<c> hell say, hallelujah, youre home
<c> i fluffed the pillows, made the beds, stacked the chairs up<c> folded your nightgowns neatly in a case<c> john says hed drive then put his hand on my cheek<c> and wiped a tear from the side of my face<c> and i hope that i see the world as you did cause i know<c> a life with love is a life thats been lived<c> so ill sing hallelujah<c> you were an angel in the shape of my mum<c> when i fell down, youd be there holding me up<c> spread your wings as you go<c> when god takes you back<c> hell say, hallelujah, youre home

<c> hallelujah<c> you were an angel in the shape of my mum<c> you got to see the person i have become<c> spread your wings and i know<c> that when god took you back<c> he said, hallelujah, youre home"
Ed Sheeran,hearts dont break around here,"she is the sweetest thing that i know<c> should see the way she holds me when the lights go low<c> shakes my soul like a pothole every time<c> took my heart upon a oneway trip<c> guess she went wanderin off with it<c> and unlike most women i know<c> this one will bring it back whole<c> daisies, daisies perched upon your forehead<c> oh, my baby, lately, i know<c> that every night, ill kiss you, youll say in my ear
oh, were in love, arent we?<c> hands in your hair, fingers and thumbs, baby<c> i feel safe when youre holdin me near<c> love the way that you conquer your fear<c> you know hearts dont break around here<c> oh yeah, yeah, yeah<c> yeahyeah, yeahyeah<c> she is the river flow in orwell<c> and tin wind chimes used for doorbells, ah<c> fields and trees and her smell fill my lungs<c> spend my summertime beside her<c> and the rest of the year, the same<c> she is the flint that sparks the lighter<c> and the fuel that will hold the flame, oh<c> roses, roses laid upon your bedspread, oh my<c> oh, this, oh, this, i know<c> but every night, ill kiss you, youll say in my ear
oh, were in love, arent we?<c> hands in your hair, fingers and thumbs, baby<c> i feel safe when youre holdin me near<c> love the way that you conquer your fear<c> you know hearts dont break around here<c> oh, yeah, yeah, yeah<c> well, i found love hidden inside<c> the arms of a woman i know<c> she is the lighthouse in the night<c> that will safely guide me home<c> and im not scared of passin over<c> or the thought of growin old
cause from now until i go<c> every night, ill kiss you, youll say in my ear
oh, were in love, arent we?<c> hands in your hair, fingers and thumbs, baby<c> i feel safe when youre holdin me near<c> love the way that you conquer your fear<c> you know hearts dont break around here<c> oh, yeah, yeah<c> every night, ill kiss you, youll say in my ear
oh, were in love, arent we?<c> hands in your hair, fingers and thumbs, baby<c> i feel safe when youre holdin me near<c> love the way that you conquer your fear<c> you know hearts dont break around here<c> yeah, yeah, yeah<c> you know hearts dont break around here<c> oh, yeah, yeah, yeah"
Ed Sheeran,eraser,"i was born inside a small town, i lost that state of mind<c> learned to sing inside the lords house, but stopped the age of nine<c> i forget when i get awards now the wave i had to ride<c> the paving stones i played upon that kept me on the grind<c> so blame it on the pain that blessed me with the life<c> friends and family filled with envy when they should be filled with pride<c> and when the worlds against me is when i really come alive<c> and every day that satan tempts me, i try to take it in my stride<c> you know that ive got whisky with white lies and smoke in my lungs<c> i think life has got to the point i know without its no fun<c> i need to get in the right mind and clear myself up<c> instead, i look in the mirror questionin what ive become<c> guess its a stereotypical day for someone like me<c> without a ninetofive job or a uni degree<c> to be caught up in the trappings of the industry<c> show me the locked doors, ill find another use for the key<c> and youll see<c> im well aware of certain things that can destroy a man like me<c> but with that said, give me one more, ahyeah<c> another one to take the sting away<c> i am happy on my own, so here, ill stay<c> save your lovin arms for a rainy day<c> and ill find comfort in my pain eraser<c> i used to think that nothin could be better than touring the world with my songs<c> i chased the pictured perfect life, i think they painted it wrong<c> i think that money is the root of all evil and fame is hell<c> relationships and hearts you fixed, they break as well<c> and aint nobody wanna see you down in the dumps<c> because youre livin your dream, man, this  should be fun<c> please, know that im not tryna preach like im reverend run<c> i beg you, dont be disappointed with the man ive become<c> have conversations with my father on the a14<c> age twelve, tellin me ive gotta chase those dreams<c> now im playing for the people, dad, and they know me<c> with my beaten small guitar, wearing the same old jeans<c> wembley stadium crowds two hundred and forty thou<c> i may have grown up, but i hope that damians proud<c> and to the next generation, inspirations allowed<c> the world may be filled with hate, but keep erasin it now<c> somehow
im well aware of certain things that will befall a man like me<c> but with that said, give me one more, ahyeah<c> another one to take the sting away<c> oh, i am happy on my own, so here, ill stay<c> save your lovin arms for a rainy day<c> and ill find comfort in my pain eraser<c> and ill find comfort in my pain eraser<c> and ill find comfort in my pain eraser<c> welcome to the new show<c> i guess you know ive been away<c> but where im heading, who knows?<c> but my heart will stay the same<c> welcome to the new show<c> i guess you know ive been away<c> but where im heading, who knows?<c> my pain eraser<c> and ill find comfort in my pain eraser<c> and ill find comfort in my pain eraser<c> and ill find comfort in my pain eraser<c> and ill find comfort in my pain eraser"
Ed Sheeran,afire love,"things were all good yesterday<c> and then the devil took your memory<c> and if you fell to your death today<c> i hope that heaven is your restin place<c> i heard the doctors put your chest in pain<c> but then that couldve been the medicine<c> and now youre lyin in the bed again<c> either way, ill cry with the rest of them<c> and my father told me, son<c> its not his fault he doesnt know your face<c> and youre not the only one<c> although my grandma used to say<c> that he used to sing<c> darlin, hold me in your arms the way you did last night<c> and well lie inside for a little while here, oh<c> i could look into your eyes until the sun comes up<c> and were wrapped in light, in life and love<c> put your open lips on mine and slowly let them shut<c> for theyre designed to be together, oh<c> with your body next to mine, our hearts will beat as one<c> and were set alight, were afire love<c> love, love<c> and things were all good yesterday<c> but then the devil took your breath away<c> and now, were left here in the pain<c> black suit, black tie, standin in the rain<c> and now, my family is one again<c> stapled together with the strangers and a friend<c> came to my mind, i should paint it with a pen<c> six years old, i remember when<c> my father told me, son<c> its not his fault he doesnt know your face<c> and youre not the only one<c> although my grandma used to say<c> that he used to sing<c> darlin, hold me in your arms the way you did last night<c> and well lie inside for a little while here, oh<c> i could look into your eyes until the sun comes up<c> and were wrapped in light, in life and love<c> put your open lips on mine and slowly let them shut<c> for theyre designed to be together, oh<c> with your body next to mine, our hearts will beat as one<c> and were set alight, were afire love
 love, love
 see the love, the love, the love, the love
 see the love, the love, the love, the love
 see the love, the love, the love, the love<c> and my father and all of my family<c> rise from their seats to sing hallelujah<c> and my brother and all of my family<c> rise from their seats to sing hallelujah<c> and my brother and all of my family<c> rise from their seats to sing hallelujah<c> and my father and all of my family<c> rise from their seats to sing hallelujah

 see the love, the love, the love, the love
 see the love, the love, the love, the love
 see the love, the love, the love, the love
"
