Artist,title,lyrics
Eric Clapton,tears in heaven,"would you know my name if i saw you in heaven?<c> would it be the same if i saw you in heaven?<c> i must be strong and carry on<c> cause i know i dont belong<c> here in heaven<c> would you hold my hand if i saw you in heaven?<c> would you help me stand if i saw you in heaven?<c> ill find my way through night and day<c> cause i know i just cant stay<c> here in heaven<c> time can bring you down, time can bend your knees<c> time can break your heart, have you begging please<c> begging please<c> beyond the door, theres peace, im sure<c> and i know therell be no more<c> tears in heaven<c> would you know my name if i saw you in heaven?<c> would you feel the same if i saw you in heaven?<c> i must be strong and carry on<c> because i know i dont belong<c> here in heaven30embedshare urlcopyembedcopy"
Eric Clapton,cocaine,if you want to hang out<c> youve got to take her out<c> cocaine<c> if you want to get down<c> down on the ground<c> cocaine<c> she dont lie<c> she dont lie<c> she dont lie<c> cocaine<c> if you got bad news<c> you want to kick the blues<c> cocaine<c> when your day is done<c> and you wanna ride on<c> cocaine<c> she dont lie<c> she dont lie<c> she dont lie<c> cocaine<c> if your day is gone<c> and you want to ride on<c> cocaine<c> dont forget this fact<c> you cant get it back<c> cocaine<c> she dont lie<c> she dont lie<c> she dont lie<c> cocaine<c> she dont lie<c> she dont lie<c> she dont lie<c> cocaine7embedshare urlcopyembedcopy
Eric Clapton,wonderful tonight,"its late in the evening, shes wondering what clothes to wear<c> she puts on her makeup and brushes her long blonde hair<c> and then she asks me, do i look all right?<c> and i say, yes, you look wonderful tonight<c> we go to a party and everyone turns to see<c> this beautiful lady thats walking around with me<c> and then she asks me do you feel all right?<c> and i say, yes, i feel wonderful tonight<c> i feel wonderful because i see<c> the love light in your eyes<c> and the wonder of it all<c> is that you just dont realize how much i love you<c> its time to go home now and ive got an aching head<c> so i give her the car keys and she helps me to bed<c> and then i tell her, as i turn out the light<c> i say, my darling, you were wonderful tonight<c> oh my darling, you were wonderful tonight8embedshare urlcopyembedcopy"
Eric Clapton,change the world,if i could reach the stars<c> pull one down for you<c> shine it on my heart<c> so you could see the truth<c> that this love i have inside<c> is everything it seems<c> but for now i find<c> its only in my dreams<c> and i can change the world<c> i will be the sunlight in your universe<c> you would think my love was really something good<c> baby if i could change the world<c> if i could be king<c> even for a day<c> id take you as my queen<c> id have it no other way<c> and our love would rule<c> in this kingdom we have made<c> til then id be a fool<c> wishing for the day<c> and i can change the world<c> i would be the sunlight in your universe<c> you would think my love was really something good<c> baby if i could change the world<c> baby if i could change the world<c> i could change the world<c> i would be the sunlight in your universe<c> you would think my love was really something good<c> baby if i could change the world<c> baby if i could change the world<c> baby if i could change the world3embedshare urlcopyembedcopy
Eric Clapton,i shot the sheriff,"i shot the sheriff, but i did not shoot the deputy<c> i shot the sheriff, but i did not shoot the deputy<c> all around in my home town<c> theyre trying to track me down<c> they say they want to bring me in guilty<c> for the killing of a deputy<c> for the life of a deputy<c> but i say<c> i shot the sheriff, but i swear it was in selfdefense<c> i shot the sheriff, and they say it is a capital offense<c> sheriff john brown always hated me<c> for what i dont know<c> every time that i plant a seed<c> he said, kill it before it grows<c> he said, kill it before it grows<c> i say<c> freedom came my way one day<c> and i started out of town<c> all of a sudden i see sheriff john brown<c> aiming to shoot me down<c> so i shot, i shot him down<c> i say<c> reflexes got the better of me<c> and what is to be must be<c> every day the bucket goes to the well<c> but one day the bottom will drop out<c> yes, one day the bottom will drop out<c> but i say<c> 4embedshare urlcopyembedcopy"
Eric Clapton,my fathers eyes,"sailing down behind the sun<c> waiting for my prince to come<c> praying for the healing rain<c> to restore my soul again<c> just a toerag on the run<c> how did i get here?<c> what have i done?<c> when will all my hopes arise?<c> how will i know him?<c> when i look in my fathers eyes<c> look into my fathers eyes<c> my fathers eyes<c> when i look in my fathers eyes<c> look into my fathers eyes<c> my fathers eyes<c> then the light begins to shine<c> and i hear those ancient lullabies<c> and as i watch this seedling grow<c> feel my heart start to overflow<c> where do i find the words to say?<c> how do i teach him?<c> what do we play?<c> bit by bit, ive realized<c> thats when i need them<c> thats when i need my fathers eyes<c> then the jagged edge appears<c> through the distant clouds of tears<c> im like a bridge that was washed away<c> my foundations were made of clay<c> as my soul slides down to die<c> how could i lose him?<c> what did i try?<c> bit by bit, ive realized<c> that he was here with me<c> i look into my fathers eyes<c> 2embedshare urlcopyembedcopy"
Eric Clapton,let it rain,"the rain is falling through the mist<c> of sorrow that surrounded me<c> the sun could never thaw away<c> the bliss that lays around me<c> let it rain, let it rain<c> let your love rain down on me<c> let it rain, let it rain<c> let it rain, rain, rain<c> her life was like a desert flower<c> burning in the sun<c> until i found the way to love<c> its harder said than done<c> let it rain, let it rain<c> let your love rain down on me<c> let it rain, let it rain<c> let it rain, rain, rain<c> now i know the secret<c> there is nothing that i lack<c> if i give my love to you<c> youll surely give it back<c> let it rain, let it rain<c> let your love rain down on me<c> let it rain, let it rain<c> let it rain, rain, rain<c> let it rain, let it rain<c> let your love rain down on me<c> let it rain, let it rain<c> let it rain, rain, rain<c> rain, rain, rain, rain<c> rain, rain, rain, rainembedshare urlcopyembedcopy"
Eric Clapton,lay down sally,"there is nothing that is wrong<c> in wanting you to stay here with me<c> i know youve got somewhere to go<c> but wont you make yourself at home and stay with me?<c> and dont you ever leave<c> lay down, sally, and rest here in my arms<c> dont you think you want someone to talk to?<c> lay down, sally, no need to leave so soon<c> ive been trying all night long just to talk to you<c> sun aint nearly on the rise<c> we still got the moon and stars above<c> underneath the velvet skies love is all that matters<c> wont you stay with me?<c> dont you ever leave<c> lay down, sally, and rest here in my arms<c> dont you think you want someone to talk to?<c> lay down, sally, no need to leave so soon<c> ive been trying all night long just to talk to you<c> i long to see the morning light<c> coloring your face so dreamily<c> so dont you go and say goodbye<c> you can lay your worries down and stay with me<c> dont you ever leave<c> lay down, sally, and rest here in my arms<c> dont you think you want someone to talk to?<c> lay down, sally, theres no need to leave so soon<c> ive been trying all night long just to talk to you<c> lay down, sally, and rest here in my arms<c> dont you think you want someone to talk to?<c> lay down, sally, theres no need to leave so soon<c> ive been trying all night long just to talk to you7embedshare urlcopyembedcopy"
Eric Clapton,let it grow,"standing at the crossroads, trying to read the signs<c> to tell me which way i should go to find the answer<c> and all the time i know<c> plant your love and let it grow<c> let it grow, let it grow<c> let it blossom, let it flow<c> in the sun, the rain, the snow<c> love is lovely, let it grow<c> looking for a reason to check out of my mind<c> trying hard to get a friend that i can count on<c> but theres nothing left to show<c> plant your love and let it grow<c> time is getting shorter and theres much for you to do<c> only ask and you will get what you are needing<c> the rest is up to you<c> plant your love and let it grow<c> embedshare urlcopyembedcopy"
Eric Clapton,layla unplugged,"what will you do when you get lonely<c> and nobodys waiting by your side?<c> youve been running and hiding much too long<c> you know, its just your foolish pride<c> layla, you got me on my knees<c> layla, im begging darling, please<c> layla, darling, wont you ease my worried mind?<c> i tried to give you consolation<c> when your old man had let you down<c> like a fool, i fell in love with you<c> you turned my whole world upside down<c> layla, you got me on my knees<c> layla, im begging darling, please<c> layla, darling, wont you ease my worried mind?<c> lets make the best of the situation<c> before i finally go insane<c> please dont say well never find a way<c> and tell me all my loves in vain<c> layla, you got me on my knees<c> layla, im begging darling, please<c> layla, darling, wont you ease my worried mind?<c> layla, you got me on my knees<c> layla, im begging darling, please<c> layla, darling, wont you ease my worried mind?1embedshare urlcopyembedcopy"
Eric Clapton,old love,"i can feel your body<c> when im lying in bed<c> too much confusion<c> going around through my head<c> and it makes me so angry<c> to know that the flame still burns<c> why cant i get over?<c> when will i ever learn?<c> old love, leave me alone<c> old love, go on home<c> i can see your face<c> but i know that its not real<c> just an illusion<c> caused by how i used to feel<c> and it makes me so angry<c> to know that the flame will alway burn<c> ill never get over<c> i know now that ill never learn<c> old love, leave me alone<c> old love, go on home1embedshare urlcopyembedcopy"
Eric Clapton,promises,"i dont care if you never come home<c> i dont mind if you just keep on<c> rowing away on a distant sea<c> because i dont love you and you dont love me<c> you cause a commotion when you come to town<c> you give them a smile and they melt<c> having lovers and friends is all good and fine<c> but i dont like yours and you dont like mine<c> la la, la la la la la<c> la la, la la la la la<c> i dont care what you do at night<c> oh, and i dont care how you get your delights<c> i will leave you alone, i will just let it be<c> i dont love you and you dont love me<c> i got a problem. can you relate?<c> i got a woman calling love hate<c> we made a vow wed always be friends<c> how could we know that promises end?<c> la la, la la la la la<c> la la, la la la la la<c> i tried to love you for years upon years<c> you refuse to take me for real<c> its time you saw what i want you to see<c> and i would still love you, if youd just love me<c> i got a problem. can you relate?<c> i got a woman calling love hate<c> we made a vow wed always be friends<c> how could we know that promises end?<c> la la, la la la la la<c> la la, la la la la la1embedshare urlcopyembedcopy"
Eric Clapton,before you accuse me,"before you accuse me, take a look at yourself<c> before you accuse me, take a look at yourself<c> you say ive been spending my money on other women<c> taking money from someone else<c> i called your mama about three or four nights ago<c> i called your mama about three or four nights ago<c> well your mama said, son, dont call my daughter no more<c> before you accuse me, take a look at yourself<c> before you accuse me, take a look at yourself<c> you say ive been spending my money on other women<c> youve been taking money from someone else<c> come back home, baby, try my love one more time<c> come back home, baby, try my love one more time<c> you know i dont know how to quit you, im gonna lose my mind<c> before you accuse me, take a look at yourself<c> before you accuse me, take a look at yourself<c> you say ive been spending my money on other women<c> youre taking money from someone else1embedshare urlcopyembedcopy"
Eric Clapton,little wing,"well shes walking through the clouds<c> with a circus mind thats running round<c> butterflies and zebras, fairy tales<c> thats all she ever thinks about<c> when im sad she comes to me<c> with a thousand smiles she gives to me free<c> said, its all right<c> take anything you want<c> anything you want, anything.<c> well shes walking through the clouds<c> with a circus mind thats running round<c> butterflies and zebras, fairy tales<c> thats all she ever thinks about<c> when im sad she comes to me<c> with a thousand smiles she gives to me free<c> said, its all right<c> take anything you want<c> anything you want, anything.<c> fly on, little wingembedshare urlcopyembedcopy"
