Artist,title,lyrics
Lana Del Rey,fingertips,"when i look back, tracing fingertips over plastic bags<c> thinking, i wish i could extrapolate somesmallintention<c> or maybe justget your attention for a minuteor two
<c> will i die? or will i get to that tenyear mark?<c> where i beat the extinction of telomeres?<c> and if i do, will you be there with me, father, sister, brother?
<c> charlie, stop smoking<c> caroline, will you be with me?<c> will the baby be alright?<c> will i have one of mine?<c> can i handle it even if i do?<c> its said that my mind<c> is not fit, or so they said, to carry a child<c> i guess ill be fine<c> it wasnt my idea, the cocktail of things that twists neurons inside<c> but without them, id die<c> they say theres irony in the music, its a tragedy, i<c> see nothing greek in it<c> give me a mausoleum in rhode island with dad, grandma, grandpa, and dave<c> who hung himself real high<c> in the national park sky, its a shame and im crying right now<c> to get to you, save you, if i take my life<c> find your astral body, put it into my arms<c> give you two seconds to cry<c> take you home, i, ill give you a blanket<c> your spirit can sit and watch tv by my side
cause, baby, i<c> ran through a time when i felt you were doing it<c> i couldnt handle it, i was in monaco<c> i couldnt hear what they said on the telephone<c> i had to sing for the prince in two hours<c> sat in the shower<c> gave myself two seconds to cry<c> its a shame that we die<c> when i was fifteen, naked, nextdoor neighbors did a driveby<c> pulled me up by my waist, long hair to the beach side<c> i wanted to go out like you, swim with the fishes<c> that he caught on rhode island beaches<c> but, sometimes, its just not your time<c> caroline, what kind of mother was she to say id end up in institutions?<c> all i wanted to do was kiss aaron greene and sit by<c> the lake, twisting lime into the drinks that they made<c> have a babe at sixteen in the town i was born in, and die<c> aaron ended up dead and not me<c> what the fucks wrong in your head to send me away, never to come back?<c> exotic places and people dont take the place of being your child<c> i give myself two seconds to cry<c> let it crash over me<c> like the waves in the sea<c> call me aphrodite, as they bow down to me<c> sunbather, moon chaser, queen of empathy<c> i give myself two seconds to breathe<c> and go back to being a serene queen<c> i just needed two seconds to be me"
Lana Del Rey,brooklyn baby,"dadadadadadada<c> dadadadadadada<c> dadadadadadada<c> they say im too young to love you<c> i dont know what i need<c> they think i dont understand<c> the freedom land of the seventies<c> i think im too cool to know ya<c> you say im like the ice, i freeze<c> im churning out novels like<c> beat poetry on amphetamines<c> i say<c> i say<c> well, my boyfriends in a band<c> he plays guitar while i sing lou reed<c> ive got feathers in my hair<c> i get down to beat poetry<c> and my jazz collections rare<c> i can play most anything<c> im a brooklyn baby<c> im a brooklyn baby<c> dadadadadada<c> dadadadadayada<c> padadadadadada<c> they say im too young to love you<c> they say im too dumb to see<c> they judge me like a picture book<c> by the colors, like they forgot to read<c> i think were like fire and water<c> i think were like the wind and sea<c> youre burning up, im cooling down<c> youre up, im down<c> youre blind, i see<c> but im free, ooh<c> im free<c> well, my boyfriends in a band<c> he plays guitar while i sing lou reed<c> ive got feathers in my hair<c> i get down to beat poetry<c> and my jazz collections rare<c> i can play most anything<c> im a brooklyn baby<c> im a brooklyn baby<c> im talking bout my generation<c> im talking bout my newer nation<c> and if you dont like it, you can beat it<c> beat it, baby<c> you never liked the way i said it<c> if you dont get it, then forget
cause i dont have to fucking explain it<c> and my boyfriends in a band<c> he plays guitar while i sing lou reed<c> ive got feathers in my hair<c> i get high on hydroponic weed<c> and my jazz collections rare<c> i get down to beat poetry<c> im a brooklyn baby<c> im a brooklyn baby<c> padapapa, padeda<c> tedede, dadaah<c> ooh, oh, woahah<c> yeah, my boyfriends pretty cool<c> but hes not as cool as me
cause im a brooklyn baby<c> im a brooklyn baby<c> padadadadadada<c> dadadadada, baby<c> ahtadadadada<c> dadadada, baby<c> padadadadada<c> papadapada, yeah<c> yeah, yeah"
Lana Del Rey,diet mountain dew,"youre no good for me<c> baby, youre no good for me<c> youre no good for me<c> but, baby, i want you, i want<c> diet mountain dew, baby, new york city<c> never was there ever a girl so pretty<c> do you think well be in love forever?<c> do you think well be in love?<c> diet mountain dew, baby, new york city<c> can we hit it now, lowdown and gritty?<c> do you think well be in love forever?<c> do you think well be in love?
<c> baby, put on heartshaped sunglasses
cause we gonna take a ride<c> im not gonna listen to what the past says<c> i been waitin up all night<c> take another drag, turn me to ashes<c> ready for another lie?<c> says hes gonna teach me just what fast is<c> say its gonna be alright<c> diet mountain dew, baby, new york city<c> never was there ever a girl so pretty<c> do you think well be in love forever?<c> do you think well be in love?<c> diet mountain dew, baby, new york city<c> can we hit it now, lowdown and gritty?<c> do you think well be in love forever?<c> do you think well be in love?
<c> lets take jesus off the dashboard<c> got enough on his mind<c> we both know just what were here for<c> saved too many times<c> maybe i like this roller coaster<c> maybe it keeps me high<c> maybe the speed, it brings me closer<c> i could sparkle up your eye<c> diet mountain dew, baby, new york city<c> never was there ever a girl so pretty<c> do you think well be in love forever?<c> do you think well be in love?<c> diet mountain dew, baby, new york city<c> can we hit it now, lowdown and gritty?<c> do you think well be in love forever?<c> do you think well be in love?<c> youre no good for me<c> baby, youre no good for me<c> youre no good for me<c> but, baby, i want you, i want you<c> youre no good for me<c> baby, youre no good for me<c> youre no good for me<c> but, baby, i want you, i want you, i want you<c> diet mountain dew, baby, new york city<c> never was there ever a girl so pretty<c> do you think well be in love forever?<c> do you think well be in love?<c> baby stoppin at 7eleven<c> there in his white pontiac heaven<c> do you think well be in love forever?<c> do you think well be in love?<c> diet mountain dew, baby, new york city<c> never was there ever a girl so pretty<c> do you think well be in love forever?<c> do you think well be in love?<c> diet mountain dew, baby, new york city<c> can we hit it now, lowdown and gritty?<c> do you think well be in love forever?<c> do you think well be in love?
<c> youre no good for me<c> baby, youre no good for me<c> youre no good for me<c> but, baby, i want you, i want<c> youre no good for me<c> baby, youre no good for me<c> youre no good for me<c> but, baby, i want you, i want<c> youre no good for me<c> baby, youre no good for me<c> youre no good for me<c> but, baby, i want you, i want"
Lana Del Rey,happiness is a butterfly,"do you want me or do you not?<c> i heard one thing, now im hearing another<c> dropped a pin to my parking spot<c> the bar was hot, its 2 am, it feels like summer<c> happiness is a butterfly<c> try to catch it, like, every night<c> it escapes from my hands into moonlight<c> every day is a lullaby<c> hum it on the phone, like, every night<c> sing it for my babies on the tour life, ah<c> if hes a serial killer, then whats the worst<c> that can happen to a girl whos already hurt?<c> im already hurt<c> if hes as bad as they say, then i guess im cursed<c> looking into his eyes, i think hes already hurt<c> hes already hurt<c> i said, dont be a jerk, dont call me a taxi<c> sitting in your sweatshirt, crying in the backseat, ooh<c> i just wanna dance with you<c> hollywood and vine, black rabbit in the alley<c> i just wanna hold you tight down the avenue<c> i just wanna dance with you<c> i just wanna dance with you<c> baby, i just wanna dance<c> with you<c> baby, i just wanna dance<c> with you<c> left the canyon, drove to the club<c> i was one thing, now im being another<c> laurel down to sunset in the truck<c> ill pick you up if youre in town on the corner, ah<c> happiness is a butterfly<c> we should catch it while dancing<c> i lose myself in the music, baby<c> every day is a lullaby<c> try to catch it like lightning<c> i sing it into my music, im crazy<c> if hes a serial killer, then whats the worst<c> that can happen to a girl whos already hurt?<c> im already hurt<c> if hes as bad as they say, then i guess im cursed<c> looking into his eyes, i think hes already hurt<c> hes already hurt<c> i said, dont be a jerk, dont call me a taxi<c> sitting in your sweatshirt, crying in the backseat, ooh<c> i just wanna dance with you<c> hollywood and vine, black rabbit in the alley<c> i just wanna hold you tight down the avenue<c> i just wanna dance with you<c> i just wanna dance with you<c> baby, i just wanna dance<c> with you<c> baby, i just wanna dance<c> with you"
Lana Del Rey,love song,"in the car, in the car, in the backseat, im your baby<c> we go fast, we go so fast, we dont move<c> i believe in a place you take me<c> make you real proud of your baby<c> in your car, im a star and im burnin through you<c> in your car, im a star and im burnin through you<c> oh, be my once in a lifetime<c> lyin on your chest in my party dress<c> im a fuckin mess, but i<c> oh, thanks for the high life<c> baby, its the best, passed the test and yes<c> now im here with you, and i<c> would like to think that you would stick around<c> you know that id just die to make you proud<c> the taste, the touch, the way we love<c> it all comes down to make the sound of our love song<c> dream a dream, heres a scene<c> touch me anywhere cause im your baby<c> grab my waist, dont waste any part<c> i believe that you see me for who i am<c> so spill my clothes on the floor of your new car<c> is it safe, is it safe to just be who we are?<c> is it safe, is it safe to just be who we are?<c> oh, be my once in a lifetime<c> lyin on your chest in my party dress<c> im a fuckin mess, but i<c> oh, thanks for the high life<c> baby, its the best, passed the test and yes<c> now im here with you, and i<c> would like to think that you would stick around<c> you know that id just die to make you proud<c> the taste, the touch, the way we love<c> it all comes down to make the sound of our love song<c> the taste, the touch, the way we love<c> it all comes down to make the sound of our love song"
Lana Del Rey,blue jeans,"blue jeans, white shirt<c> walked into the room, you know you made my eyes burn<c> it was like james dean for sure<c> youre so fresh to death and sick as cacancer<c> you were sorta punk rock, i grew up on hiphop<c> but you fit me better than my favorite sweater<c> and i know that love is mean  and love hurts<c> but i still remember that day we met in december, oh, baby<c> i will love you til the end of time<c> i would wait a million years<c> promise youll remember that youre mine<c> baby, can you see through the tears?<c> love you more than those bitches before<c> say youll remember<c> say youll remember<c> ooh, i will love you til the end of time<c> big dreams, gangsta<c> said you had to leave to start your life over<c> i was like, no, please, stay here<c> we dont need no money, we could make it all work<c> but he headed out on sunday, said hed come home monday<c> i stayed up waiting, anticipatin and pacing<c> but he was chasin  paper<c> caught up in the game, that was the last i heard<c> i will love you til the end of time<c> i would wait a million years<c> promise youll remember that youre mine<c> baby, can you see through the tears?<c> love you more than those bitches before<c> say youll remember<c> say youll remember<c> ooh, i will love you til the end of time<c> you went out every night and, baby, thats alright<c> i told you that, no matter what you did, id be by your side
cause im a ride or die whether you fail or fly<c> well, shit, at least you tried<c> but when you walked out that door, a piece of me died<c> told you i wanted more, thats not what i had in mind<c> i just want it like before, we were dancin all night<c> then they took you away, stole you out of my life<c> you just need to remember<c> i will love you til the end of time<c> i would wait a million years<c> promise youll remember that youre mine<c> baby, can you see through the tears?<c> love you more than those bitches before<c> say youll remember<c> say youll remember<c> ooh, i will love you til the end of time"
Lana Del Rey,dark paradise,"all my friends tell me  i should move on<c> im lyin in the ocean, singin your song
ah, thats how you sang it<c> lovin you forever cant be wrong<c> even though youre not here, wont move on
ah, thats how we played it<c> and theres no remedy for memory<c> your face is like a melody<c> it wont leave my head<c> your soul is hauntin me<c> and tellin me that everything is fine<c> but i wish i was dead
<c> every time i close my eyes<c> its like a dark paradise<c> no one compares to you<c> im scared that you wont be waiting on the other side<c> every time i close my eyes<c> its like a dark paradise<c> no one compares to you<c> im scared that you wont be waiting on the other side<c> all my friends ask me why i stay strong<c> tell em, when you find true love, it lives on<c> ah, thats why i stay here<c> and theres no remedy for memory<c> your face is like a melody<c> it wont leave my head<c> your soul is hauntin me<c> and tellin me that everything is fine<c> but i wish i was dead
<c> every time i close my eyes<c> its like a dark paradise<c> no one compares to you<c> im scared that you wont be waiting on the other side<c> every time i close my eyes<c> its like a dark paradise<c> no one compares to you<c> but theres no you, except in my dreams tonight<c> ohohohoh, hahahaha<c> i dont wanna wake up from this tonight<c> ohohohoh, hahahaha<c> i dont wanna wake up from this tonight<c> theres no relief, i see you in my sleep<c> and everybodys rushin me<c> but i can feel you touchin me<c> theres no release, i feel you in my dreams<c> tellin me im fine<c> every time i close my eyes<c> its like a dark paradise<c> no one compares to you<c> im scared that you wont be waiting on the other side<c> every time i close my eyes<c> its like a dark paradise<c> no one compares to you<c> but theres no you, except in my dreams tonight<c> ohohohoh, hahahaha<c> i dont wanna wake up from this tonight<c> ohohohoh, hahahaha<c> i dont wanna wake up from this tonight"
Lana Del Rey,hope is a dangerous thing for a woman like me but i have it,"i was reading slim aarons and i got to thinking that i thought<c> maybe id get less stressed if i was tested less like<c> all of these debutantes<c> smiling for miles in pink dresses and high heels on white yachts<c> but im not, baby, im not<c> no, im not, that, im not<c> ive been tearing around in my fucking nightgown<c> 247 sylvia plath<c> writing in blood on my walls
cause the ink in my pen dont work in my notepad<c> dont ask if im happy, you know that im not<c> but at best, i can say im not sad
cause hope is a dangerous thing for a woman like me to have<c> hope is a dangerous thing for a woman like me to have<c> i had 15year dances<c> church basement romances, yeah, ive cried<c> spilling my guts with the bowery bums<c> is the only love ive ever known<c> except for the stage, which i also call home, when im not<c> servin up god in a burnt coffee pot for the triad<c> hello, its the most famous woman you know on the ipad<c> calling from beyond the grave, i just wanna say, hi, dad<c> ive been tearing up town in my fucking white gown<c> like a goddamn near sociopath<c> shaking my ass is the only thing thats<c> got this black narcissist off my back<c> she couldnt care less, and i never cared more<c> so theres no more to say about that<c> except hope is a dangerous thing for a woman like me to have<c> hope is a dangerous thing for a woman with my past<c> theres a new revolution, a loud evolution that i saw<c> born of confusion and quiet collusion of which mostly ive known<c> a modern day woman with a weak constitution, cause ive got<c> monsters still under my bed that i could never fight off<c> a gatekeeper carelessly dropping the keys on my nights off<c> ive been tearing around in my fucking nightgown<c> 247 sylvia plath<c> writing in blood on your walls
cause the ink in my pen dont look good in my pad<c> they write that im happy, they know that im not<c> but at best, you can see im not sad<c> but hope is a dangerous thing for a woman like me to have<c> hope is a dangerous thing for a woman like me to have<c> hope is a dangerous thing for a woman like me to have<c> but i have it<c> yeah, i have it<c> yeah, i have it<c> i have"
Lana Del Rey,national anthem,"money is the anthem of success<c> so before we go out, whats your address?
<c> im your national anthem<c> god, youre so handsome<c> take me to the hamptons, bugatti veyron<c> he loves to romance em<c> reckless abandon<c> holdin me for ransom, upper echelon<c> he says to be cool, but i dont know how yet<c> wind in my hair, hand on the back of my neck<c> i said, can we party later on? he said, yes
<c> tell me im your national anthem<c> tell me im your national anthem<c> red, white, blue is in the sky<c> summers in the air and, baby, heavens in your eyes<c> im your national anthem<c> money is the reason we exist<c> everybody knows it, its a fact
<c> i sing the national anthem<c> while i am standin over your body<c> hold you like a python<c> and you cant keep your hands off me or your pants on<c> see what youve done to me, king of chevron?<c> he said to be cool, but im already coolest<c> i said to get real, dont you know who youre dealin with?<c> um, do you think youll buy me lots of diamonds?
<c> tell me im your national anthem<c> tell me im your national anthem<c> red, white, blue is in the sky<c> summers in the air and, baby, heavens in your eyes<c> im your national anthem<c> its a love story for the new age<c> for the sixth page<c> were on a quick, sick rampage<c> winin and dinin, drinkin and drivin<c> excessive buyin, overdose and dyin<c> on our drugs and our love and our dreams and our rage<c> blurring the lines between real and the fake<c> dark and lonely, i need somebody to hold me<c> he will do very well, i can tell, i can tell<c> keep me safe in his belltower hotel<c> money is the anthem of success<c> so put on mascara and your party dress<c> im your national anthem<c> boy, put your hands up<c> give me a standin ovation<c> boy, you have landed<c> babe, in the land of<c> sweetness and danger, queen of saigon<c> tell me im your national anthem<c> tell me im your national anthem<c> red, white, blue is in the sky<c> summers in the air and, baby, heavens in your eyes<c> im your national anthem<c> money is the anthem<c> god, youre so handsome<c> money is the anthem of success<c> money is the anthem<c> god, youre so handsome<c> money is the anthem of success<c> money is the anthem<c> god, youre so handsome<c> money is the anthem of success<c> money is the anthem<c> god, youre so handsome<c> money is the anthem of success"
Lana Del Rey,ultraviolence,"he used to call me dn<c> that stood for deadly nightshade
cause i was filled with poison<c> but blessed with beauty and rage<c> jim told me that, he hit me and it felt like a kiss<c> jim brought me back, reminded me of when we were kids<c> with his ultraviolence<c> ultraviolence
ultraviolence<c> ultraviolence
i can hear sirens, sirens<c> he hit me and it felt like a kiss<c> i can hear violins, violins<c> give me all of that ultraviolence<c> he used to call me poison<c> like i was poison ivy<c> i could have died right there
cause he was right beside me<c> jim raised me up, he hurt me but it felt like true love<c> jim taught me that, loving him was never enough<c> with his ultraviolence<c> ultraviolence
ultraviolence<c> ultraviolence
i can hear sirens, sirens<c> he hit me and it felt like a kiss<c> i can hear violins, violins<c> give me all of that ultraviolence<c> we could go back to new york<c> loving you was really hard<c> we could go back to woodstock<c> where they dont know who we are<c> heaven is on earth<c> i would do anything for you, baby<c> blessed is this union<c> crying tears of gold like lemonade<c> i love you the first time, i love you the last time<c> yo soy la princesa, comprende mis white lines
cause im your jazz singer and youre my cult leader<c> i love you forever, i love you forever<c> with his ultraviolence<c> ultraviolence
ultraviolence<c> ultraviolence
i can hear sirens, sirens<c> he hit me and it felt like a kiss<c> i can hear violins, violins<c> give me all of that ultraviolence"
