Artist,title,lyrics
Leonard Cohen,hallelujah,"now ive heard there was a secret chord<c> that david played, and it pleased the lord<c> but you dont really care for music, do ya?<c> it goes like this, the fourth, the fifth<c> the minor fall, the major lift<c> the baffled king composing hallelujah<c> hallelujah, hallelujah<c> hallelujah, hallelujah<c> your faith was strong but you needed proof<c> you saw her bathing on the roof<c> her beauty in the moonlight overthrew ya<c> she tied you to a kitchen chair<c> she broke your throne, and she cut your hair<c> and from your lips she drew the hallelujah<c> hallelujah, hallelujah<c> hallelujah, hallelujah<c> you say i took the name in vain<c> i dont even know the name<c> but if i did, well really, whats it to ya?<c> theres a blaze of light in every word<c> it doesnt matter which you heard<c> the holy or the broken hallelujah<c> hallelujah, hallelujah<c> hallelujah, hallelujah<c> i did my best, it wasnt much<c> i couldnt feel, so i tried to touch<c> ive told the truth, i didnt come to fool ya<c> and even though it all went wrong<c> ill stand before the lord of song<c> with nothing on my tongue but hallelujah<c> hallelujah, hallelujah<c> hallelujah, hallelujah<c> hallelujah, hallelujah<c> hallelujah, hallelujah<c> hallelujah, hallelujah<c> hallelujah, hallelujah<c> hallelujah, hallelujah<c> hallelujah, hallelujah<c> hallelujah, hallelujah<c> hallelujah, hallelujah<c> baby, ive been here before<c> i know this room, ive walked this floor<c> i used to live alone before i knew you<c> and ive seen your flag on the marble arch<c> love is not a victory march<c> its a cold and its a broken hallelujah<c> there was a time you let me know<c> whats really going on below<c> but now you never show it to me, do you?<c> and remember when i moved in you<c> the holy dove was moving too<c> and every breath we drew was hallelujah<c> maybe theres a god above<c> but all ive ever learned from love<c> was how to shoot at someone who outdrew you<c> and its not a cry that you hear at night<c> its not somebody whos seen the light<c> its a cold and its a broken hallelujah76embedshare urlcopyembedcopy"
Leonard Cohen,you want it darker,"if you are the dealer<c> im out of the game<c> if you are the healer<c> it means im broken and lame<c> if thine is the glory then<c> mine must be the shame<c> you want it darker<c> we kill the flame<c> magnified, sanctified<c> be thy holy name<c> vilified, crucified<c> in the human frame<c> a million candles burning<c> for the help that never came<c> you want it darker<c> hineni, hineni<c> im ready, my lord<c> theres a lover in the story<c> but the storys still the same<c> theres a lullaby for suffering<c> and a paradox to blame<c> but its written in the scriptures<c> and its not some idle claim<c> you want it darker<c> we kill the flame<c> theyre lining up the prisoners<c> and the guards are taking aim<c> i struggled with some demons<c> they were middleclass and tame<c> i didnt know i had permission<c> to murder and to maim<c> you want it darker<c> hineni, hineni<c> im ready, my lord<c> magnified, sanctified<c> be thy holy name<c> vilified, crucified<c> in the human frame<c> a million candles burning<c> for the love that never came<c> you want it darker<c> we kill the flame<c> if you are the dealer<c> let me out of the game<c> if you are the healer<c> im broken and lame<c> if thine is the glory<c> mine must be the shame<c> you want it darker<c> hineni, hineni<c> hineni, hineni<c> im ready, my lord<c> hineni<c> hineni, hineni<c> hineni18embedshare urlcopyembedcopy"
Leonard Cohen,suzanne,"suzanne takes you down to her place near the river<c> you can hear the boats go by<c> you can spend the night beside her<c> and you know that shes half crazy<c> but thats why you want to be there<c> and she feeds you tea and oranges<c> that come all the way from china<c> and just when you mean to tell her<c> that you have no love to give her<c> then she gets you on her wavelength<c> and she lets the river answer<c> that youve always been her lover<c> and you want to travel with her<c> and you want to travel blind<c> and you know that she will trust you<c> for youve touched her perfect body with your mind<c> and jesus was a sailor<c> when he walked upon the water<c> and he spent a long time watching<c> from his lonely wooden tower<c> and when he knew for certain<c> only drowning men could see him<c> he said all men will be sailors then<c> until the sea shall free them<c> but he himself was broken<c> long before the sky would open<c> forsaken, almost human<c> he sank beneath your wisdom like a stone<c> and you want to travel with him<c> and you want to travel blind<c> and you think maybe youll trust him<c> for hes touched your perfect body with his mind<c> now suzanne takes your hand<c> and she leads you to the river<c> she is wearing rags and feathers<c> from salvation army counters<c> and the sun pours down like honey<c> on our lady of the harbour<c> and she shows you where to look<c> among the garbage and the flowers<c> there are heroes in the seaweed<c> there are children in the morning<c> they are leaning out for love<c> and they will lean that way forever<c> while suzanne holds the mirror<c> and you want to travel with her<c> and you want to travel blind<c> and you know you can trust her<c> for shes touched your perfect body with her mind18embedshare urlcopyembedcopy"
Leonard Cohen,chelsea hotel no. 2,"i remember you well in the chelsea hotel<c> you were talking so brave and so sweet<c> givin me head on the unmade bed<c> while the limousines wait in the street<c> those were the reasons, that was new york<c> we were runnin for the money and the flesh<c> and that was called love for the workers in song<c> probably still is for those of them left<c> yeah, but you got away, didnt you babe?<c> you just turned your back on the crowd<c> when you got away, i never once heard you say<c> i need you<c> i dont need you<c> i need you<c> i dont need you<c> and all of that jivin around<c> i remember you well in the chelsea hotel<c> you were famous, your heart was a legend<c> you told me again, you preferred handsome men<c> but for me you would make an exception<c> and clenching your fist for the ones like us<c> who are oppressed by the figures of beauty<c> you fixed yourself, you said well nevermind<c> we are ugly but we have the music<c> and then you got away didnt you babe?<c> you just turned your back on the crowd<c> when you got away i never once heard you say<c> i need you<c> i dont need you<c> i need you<c> i dont need you<c> and all of that jivin around<c> i dont mean to suggest<c> that i loved you the best<c> i cant keep track of each fallen robin<c> i remember you well in the chelsea hotel<c> thats all, i dont think of you that often8embedshare urlcopyembedcopy"
Leonard Cohen,famous blue raincoat,"its four in the morning, the end of december<c> im writing you now just to see if youre better<c> new york is cold, but i like where im living<c> theres music on clinton street all through the evening<c> i hear that youre building<c> your little house deep in the desert<c> youre living for nothing now<c> i hope youre keeping some kind of record<c> yes, and jane came by with a lock of your hair<c> she said that you gave it to her<c> that night that you planned to go clear<c> did you ever go clear?<c> oh, the last time we saw you you looked so much older<c> your famous blue raincoat was torn at the shoulder<c> youd been to the station to meet every train<c> but then you came home without lili marlene<c> and you treated my woman<c> to a flake of your life<c> and when she came back<c> she was nobodys wife<c> well, i see you there with the rose in your teeth<c> one more thin gypsy thief<c> well i see janes awake<c> she sends her regard<c> and what can i tell you my brother, my killer?<c> what can i possibly say?<c> i guess that i miss you. i guess i forgive you<c> im glad you stood in my way<c> if you ever come by here<c> for jane or for me<c> well, your enemy is sleeping<c> and his woman is free<c> yes, and thanks for the trouble<c> you took from her eyes<c> i thought it was there for good<c> so i never tried<c> and jane came by with a lock of your hair<c> she said that you gave it to her<c> that night that you planned to go clear<c> sincerely, l. cohen17embedshare urlcopyembedcopy"
Leonard Cohen,dance me to the end of love,"dance me to your beauty with a burning violin<c> dance me through the panic til im gathered safely in<c> lift me like an olive branch and be my homeward dove<c> dance me to the end of love<c> dance me to the end of love<c> oh, let me see your beauty when the witnesses are gone<c> let me feel you moving like they do in babylon<c> show me slowly what i only know the limits of<c> oh, dance me to the end of love<c> dance me to the end of love<c> dance me to the wedding now, oh, dance me on and on<c> dance me very tenderly and dance me very long<c> were both of us beneath our love, were both of us above<c> dance me to the end of love<c> dance me to the end of love<c> dance me to the children who are asking to be born<c> dance me through the curtains that our kisses have outworn<c> raise a tent of shelter now, though every thread is torn<c> dance me to the end of love<c> dance me to your beauty with a burning violin<c> dance me through the panic til im gathered safely in<c> touch me with your naked hand, touch me with your glove<c> dance me to the end of love<c> dance me to the end of love<c> dance me to the end of love11embedshare urlcopyembedcopy"
Leonard Cohen,everybody knows,"everybody knows that the dice are loaded<c> everybody rolls with their fingers crossed<c> everybody knows the war is over<c> everybody knows the good guys lost<c> everybody knows the fight was fixed<c> the poor stay poor, the rich get rich<c> thats how it goes<c> everybody knows<c> everybody knows that the boat is leaking<c> everybody knows the captain lied<c> everybody got this broken feeling<c> like their father or their dog just died<c> everybody talking to their pockets<c> everybody wants a box of chocolates<c> and a longstem rose<c> everybody knows<c> and everybody knows that you love me baby<c> everybody knows that you really do<c> everybody knows that youve been faithful<c> ah, give or take a night or two<c> everybody knows youve been discreet<c> but there were so many people you just had to meet<c> without your clothes<c> and everybody knows<c> everybody knows, everybody knows<c> thats how it goes<c> everybody knows<c> everybody knows, everybody knows<c> thats how it goes<c> everybody knows<c> and everybody knows that its now or never<c> everybody knows that its me or you<c> and everybody knows that you live forever<c> ah when youve done a line or two<c> everybody knows the deal is rotten<c> old black joes still pickin cotton<c> for your ribbons and bows<c> and everybody knows<c> and everybody knows that the plague is coming<c> everybody knows that its moving fast<c> everybody knows that the naked man and woman<c> are just a shining artifact of the past<c> everybody knows the scene is dead<c> but theres gonna be a meter on your bed<c> that will disclose<c> what everybody knows<c> and everybody knows that youre in trouble<c> everybody knows what youve been through<c> from the bloody cross on top of calvary<c> to the beach of malibu<c> everybody knows its coming apart<c> take one last look at this sacred heart<c> before it blows<c> and everybody knows<c> everybody knows, everybody knows<c> thats how it goes<c> everybody knows<c> everybody knows, everybody knows<c> thats how it goes<c> everybody knows<c> everybody knows5embedshare urlcopyembedcopy"
Leonard Cohen,anthem,"the birds they sang<c> at the break of day<c> start again<c> i heard them say<c> dont dwell on what<c> has passed away<c> or what is yet to be<c> yeah the wars they will<c> be fought again<c> the holy dove<c> she will be caught again<c> bought and sold<c> and bought again<c> the dove is never free<c> ring the bells that still can ring<c> forget your perfect offering<c> there is a crack, a crack in everything<c> thats how the light gets in<c> we asked for signs<c> the signs were sent:<c> the birth betrayed<c> the marriage spent<c> yeah the widowhood<c> of every government<c> signs for all to see<c> i cant run no more<c> with that lawless crowd<c> while the killers in high places<c> say their prayers out loud<c> but theyve summoned, theyve summoned up<c> a thundercloud<c> and theyre going to hear from me<c> ring the bells that still ring<c> forget your perfect offering<c> there is a crack, a crack in everything<c> thats how the light gets in<c> you can add up the parts<c> you wont have the sum<c> you can strike up the march<c> there is no drum<c> every heart, every heart<c> to love will come<c> but like a refugee<c> ring the bells that still can ring<c> forget your perfect offering<c> there is a crack, a crack in everything<c> thats how the light gets in<c> ring the bells that still can ring<c> forget your perfect offering<c> there is a crack, a crack in everything<c> thats how the light gets in<c> thats how the light gets in<c> thats how the light gets in4embedshare urlcopyembedcopy"
Leonard Cohen,"so long, marianne","come over to the window, my little darling<c> id like to try to read your palm<c> i used to think i was some kind of gypsy boy<c> before i let you take me home<c> now so long, marianne, its time that we began<c> to laugh and cry and cry and laugh about it all again<c> well you know that i love to live with you<c> but you make me forget so very much<c> i forget to pray for the angels<c> and then the angels forget to pray for us<c> now so long, marianne, its time that we began<c> to laugh and cry and cry and laugh about it all again<c> we met when we were almost young<c> deep in the green lilac park<c> you held on to me like i was a crucifix<c> as we went kneeling through the dark<c> oh so long, marianne, its time that we began<c> to laugh and cry and cry and laugh about it all again<c> your letters they all say that youre beside me now<c> then why do i feel alone?<c> im standing on a ledge and your fine spider web<c> is fastening my ankle to a stone<c> now so long, marianne, its time that we began<c> to laugh and cry and cry and laugh about it all again<c> for now i need your hidden love<c> im cold as a new razor blade<c> you left when i told you i was curious<c> i never said that i was brave<c> oh so long, marianne, its time that we began<c> to laugh and cry and cry and laugh about it all again<c> oh, you are really such a pretty one<c> i see youve gone and changed your name again<c> and just when i climbed this whole mountainside<c> to wash my eyelids in the rain<c> oh so long, marianne, its time that we began<c> to laugh and cry and cry and laugh about it all again4embedshare urlcopyembedcopy"
Leonard Cohen,the future,"give me back my broken night<c> my mirrored room, my secret life<c> its lonely here<c> theres no one left to torture<c> give me absolute control<c> over every living soul<c> and lie beside me, baby<c> thats an order<c> give me crack and anal sex<c> take the only tree thats left<c> and stuff it up the hole<c> in your culture<c> give me back the berlin wall<c> give me stalin and st. paul<c> ive seen the future, brother<c> it is murder<c> things are going to slide slide in all directions<c> wont be nothing wont be<c> nothing you can measure anymore<c> the blizzard, the blizzard of the world<c> has crossed the threshold<c> and its overturned<c> the order of the soul<c> when they said they said repent repent, repent repent<c> i wonder what they meant<c> when they said they said repent repent, repent repent<c> i wonder what they meant<c> when they said they said repent repent, repent repent<c> i wonder what they meant<c> you dont know me from the wind<c> you never will, you never did<c> im the little jew<c> who wrote the bible<c> ive seen the nations rise and fall<c> ive heard their stories, heard them all<c> but loves the only engine<c> of survival<c> your servant here, he has been told<c> to say it clear, to say it cold<c> its over, it aint going any further<c> and now the wheels of heaven stop<c> you feel the devils riding crop<c> get ready for the future: it is murder<c> things are going to slide slide in all directions<c> wont be nothing wont be<c> nothing you can measure anymore<c> the blizzard, the blizzard of the world<c> has crossed the threshold<c> and its overturned the order of the soul<c> when they said they said repent repent, repent repent<c> i wonder what they meant<c> when they said they said repent repent, repent repent<c> i wonder what they meant<c> when they said they said repent repent, repent repent<c> i wonder what they meant<c> therell be the breaking of the ancient western code<c> your private life will suddenly explode<c> therell be phantoms, therell be fires on the road<c> and the white man dancing<c> youll see your woman hanging upside down<c> her features covered by her fallen gown<c> and all the lousy little poets coming round<c> trying to sound like charlie manson<c> yeah the white man dancing<c> give me back the berlin wall<c> give me stalin and st. paul<c> give me christ<c> or give me hiroshima<c> destroy another fetus now<c> we dont like children anyhow<c> ive seen the future, baby: it is murder<c> things are going to slide slide in all directions<c> wont be nothing wont be, nothing you can measure anymore<c> the blizzard, the blizzard of the world<c> has crossed the threshold<c> and its overturned<c> the order of the soul<c> when they said they said repent repent<c> repent repent<c> i wonder what they meant<c> when they said they said repent repent, repent repent<c> i wonder what they meant<c> when they said they said repent repent<c> repent repent<c> i wonder what they meant<c> when they said they said repent repent<c> repent repent12embedshare urlcopyembedcopy"
