Artist,title,lyrics
Nicki Minaj,barbie dreams,"uh, mmm, kyuh<c> r.i.p. to b.i.g.<c> classic shit<c> im lookin for a nigga to give some babies<c> a handful of weezy, sprinkle of dave east<c> man, i aint got no type like jxmmi and swae lees<c> but if he cant fuck three times a night, peace<c> i tried to fuck 50 for a powerful hour<c> but all that nigga wanna do is talk power for hours<c> bbeat the pussy up, make sure its a ko<c> step your banks up like youre movin that yayo<c> somebody go and make sure karrueche okay, though<c> i heard she think im tryna give the coochie to quavo<c> they always wanna beat it up, goon up the pussy<c> man, maybe i should let him autotune up the pussy<c> all these bow wow challenge niggas lyin and shit<c> man, these fetty wap niggas stay eyein my shit<c> drake worth a hundred mill, he always buyin me shit<c> but i dont know if the pussy wet or if he cryin and shit<c> meek still be in my dms, i be havin to duck him
i used to pray for times like this faceass when i fuck him<c> man, uzi is my baby, he aint takin a l<c> but he took it literally when i said go to hell<c> used to fuck with young thug, i aint addressin this shit<c> ccaught him in my dressing room, stealin dresses and shit<c> i used to give this nigga with a lisp tests and shit<c> how you want the puthy? cant say your ss and shit, uh<c> dreams of fuckin one of these little rappers<c> im just playin, but im sayin<c> dreams of fuckin one of these little rappers<c> im just playin, but im sayin<c> dreams of fuckin one of these little rappers<c> im just playin, but im sayin<c> dreams of fuckin one of these little rappers<c> im just playin, but im sayin
<c> i remember when i used to have a crush on special ed<c> shoutout desiigner cause he made it out of special ed<c> you wanna fuck me, you gotta give some special head
cause this pussy have these niggas on some special meds<c> like mike tyson, he was bitin my shit<c> talkin bout, yo, why you got these niggas fightin and shit?<c> on the, on the real, i should make these niggas scrap for the pussy<c> young m.a and lady luck, get the strap for this pussy, uh<c> and i woulda had odell beckham bangin the cake
til i saw him hoppin out of cars dancin to drake<c> i been a fivestar bitch, man, word to gotti<c> ima do that nigga future dirty, word to scottie<c> had to cancel dj khaled, boy, we aint speakin<c> aint no fat nigga tellin me what he aint eatin<c> yg and the game with the hammer yellin, gang gang<c> this aint what i meant when i said a gang bang<c> tekashi want a ménage, i said treway<c> curved him and went the kim and kanye way<c> em, cop the barbie dreamhouse, then you can play the part<c> ii aint tryna bust it open in a trailer park<c> dreams of fuckin one of these little rappers<c> im just playin, but im sayin<c> dreams of fuckin one of these little rappers<c> im just playin, but im sayin<c> dreams of fuckin one of these little rappers<c> im just playin, but im sayin<c> dreams of fuckin one of these little rappers<c> im just playin, but im sayin
<c> im just playin, but im sayin
<c> you know im all bout them dollars<c> i be supportin them scholars<c> i let him give me some brain, but he wanted me to ride it<c> so i said, fuck it, im in<c> he wanna cut like a trim<c> and if he act like he know, i let him fuck it again<c> i got them bars, im indicted<c> im poppin, im uninvited<c> i said, just lick on the clitoris, nigga, dont fuckin bite it<c> i ride his  in a circle<c> i turn stefan into urkel<c> i go arounds and arounds and ima go down in slow motion<c> thethen i pick it up, look at it<c> i said, daddy, come get at it, uh<c> yellow brick road, he said that i am a wiz at it<c> yeah, they want it, want it<c> you know i flaunt it, flaunt it<c> im a trendsetter, everything i do, they do<c> yeah, i put em up on it, on it
¡dimelo, papi, papi<c> yo quiero sloppy, sloppy<c> ill give it to you if you beat it up like pacqui, pacqui<c> iiiima kill em with the shoe<c> no ceiling is in the roof<c> and im big, give me the loot<c> 12 cylinders in the coupe<c> i get dome with the chrome, no tellin when ima shoot<c> i just bang, bang, bang, real killas is in my group<c> gorillas is in my unit, vacationin where its humid<c> and i shine, shine, shine, got diamonds all in my cubans<c> im in la times more than when niggas lootin<c> and my flow spit crack, i think that nigga usin<c> he done bodied everybody, in closing, these bitches losin<c> usin, usin up, a bitch movin<c> no, i aint stuttered and no, i aint ruben<c> damn, a bitch snoozin<c> shoutout to my jews, lchaim, rick rubin<c> big fat titties, yes, they be protrudin<c> i be like, fuck em, fuck em, bring the lube in<c> i be like, fuck em, fuck em, bring the lube in"
Nicki Minaj,did it onem,"shitted on em<c> man, i just shitted on em<c> shitted on em<c> put your number twos in the air if you did it on em<c> shitted on em<c> man, i just shitted on em<c> shitted on em<c> put your number twos in the air if you did it on em<c> all these bitches is my sons<c> and ima go and get some bibs for em<c> a couple formulas, little pretty lids on em<c> if i had a dick, i would pull it out and piss on em<c> let me shake it off<c> i just signed a couple deals, i might break you off<c> and we aint making up, i dont need a mediator<c> just let them bums blow steam, radiator
, shitted on em
, man, i just shitted on em
, shitted on em<c> put your number twos in the air if you did it on em
, shitted on em
, man, i just shitted on em
, shitted on em<c> put your number twos in the air if you did it on em
<c> this stone is flawless, f1<c> i keep shooters up top in the f1<c> a lot of bad bitches beggin me to f one<c> but ima eat them rap bitches when the chef come<c> throw some fresh ones<c> more talent in my motherfuckin left thumb<c> she aint a nicki fan, then the bitch deaf, dumb<c> you aint my son, you my motherfuckin stepson
, shitted on em
, man, i just shitted on em
, shitted on em<c> put your number twos in the air if you did it on em
, shitted on em
, man, i just shitted on em
, shitted on em<c> put your number twos in the air if you did it on em
<c> all these bitches is my sons<c> and i aint talkin bout phoenix<c> bitch, i get money, so i dos what i pleases<c> i live where the motherfuckin pools and the trees is<c> broke bitches so crusty<c> gave the bitch a ride, got the continental dusty<c> trust me, i keep a couple hundred in the duffb<c> couple wet wipes case a bum try to touch me, ew<c> im the terminator<c> bitch talk slick, ima have to terminate her<c> these little nappyheaded hoes need a perminator<c> you my seed, ill spray you with the germinator<c> move back, bugs<c> matter fact, you know the queen could use a back rub<c> if you could turn back time, cher<c> you used to be here, now youre gone, nair
, shitted on em
, man, i just shitted on em
, shitted on em<c> put your number twos in the air if you did it on em
, shitted on em
, man, i just shitted on em
, shitted on em<c> put your number twos in the air if you did it on em "
Nicki Minaj,buy a heart,"you should say it right now<c> anybody wanna buy a heart?<c> anybody wanna buy a heart?<c> anybody wanna buy a heart?<c> cause i dont use the shit anyway<c> but okay, i guess its my fault<c> westside shorty, with an eastside nigga<c> they say its levels to this shit, im a g5 nigga<c> and every city i be in, you know she fly with us<c> its like hov got bey, its like bey got jigga<c> really though let me take yall back
09, double r drop top with the top down<c> pulled up, double parked, hopped out, tried to spit my game<c> it didnt work, got shot down<c> but i can tell by the bag, by the wrist and the ring on that<c> somebody had it on lockdown<c> the moral of the story not to speak on that<c> she on the team, shorty mine now<c> and we dont ever ever ever make love<c> and we dont ever ever ever say love<c> unless im all up in it, she tellin me she love that d on that, i dont ever say uh<c> bad bitch, aint nothin made up<c> anybody, anybody, anybody wanna buy<c> the heart from a real one from philly reppin that north side?<c> anybody? anybody?<c> anybody, anybody, anybody wanna buy a heart?<c> anybody, anybody, anybody wanna buy love?<c> anybody, anybody, anybody wanna buy a heart?<c> anybody, anybody, anybody wanna buy trust<c> anybody, anybody, anybody wanna buy a heart?<c> anybody, anybody, anybody wanna buy love?<c> anybody, anybody, anybody wanna buy?<c> anybody, anybody, anybody wanna buy love?
<c> rihmeek, ima have to tell the truth if i speak<c> unless you want to play, you aint say this the other day<c> you said you was in love, and i still didnt budge<c> cause i already seen how you be going in when you be in them clubs<c> i could tell you was analyzing me, i could tell you was criticizing me<c> i could tell you was fantasizing that you would come slide in me and confide in me<c> he could tell that i was wifey material<c> he was liking my style in my videos<c> i wasnt looking for love i was looking for a buzz<c> so at times i would lie and say im busy, yo<c> cause its too much, and its too clutch<c> who wants rumors of the two of us<c> but when youre away, i cant get you out of my mind<c> but what if im not the one and youre wasting your time?<c> but you waited<c> anybody? anybody?<c> anybody, anybody, anybody wanna buy a heart?<c> anybody, anybody, anybody wanna buy love?<c> anybody, anybody, anybody wanna buy a heart?<c> anybody, anybody, anybody wanna buy trust<c> anybody, anybody, anybody wanna buy a heart?<c> anybody, anybody, anybody wanna buy love?<c> anybody, anybody, anybody wanna buy?<c> anybody, anybody, anybody wanna buy love?
<c> its a heart for sale, whos buying?<c> i dont care whos crying<c> its trust for sale, whos buying?<c> i dont care whos lying"
Nicki Minaj,moment 4 life,"i fly with the stars in the skies<c> i am no longer trying to survive<c> i believe that life is a prize<c> but to live doesnt mean youre alive<c> dont worry bout me and who i fire<c> i get what i desire, its my empire<c> and yes, i call the shots, i am the umpire<c> i sprinkle holy water upon a vampire<c> in this very moment, im king<c> in this very moment, i slay goliath with a sling<c> this very moment, i bring<c> put it on everything that i will retire with the ring<c> and i will retire with the crown, yes<c> no, im not lucky, im blessed, yes<c> clap for the heavyweight champ, me<c> but i couldnt do it all alone, we<c> young money raised me, grew up out in baisley<c> southside jamaica, queens, and its crazy
cause im still hood, hollywood couldnt change me<c> shout out to my haters, sorry that you couldnt faze me<c> aint being cocky, we just vindicated<c> best believe that when we done, this moment will be syndicated<c> i dont know, this night just remind me of<c> everything they deprived me of<c> put your drinks up<c> its a celebration every time we link up<c> we done did everything they can think of<c> greatness is what we on the brink of<c> i wish that i could have this moment for life, for life, for life
cause in this moment, i just feel so alive, alive, alive<c> i wish that i could have this moment for life, for life, for life<c> this is my moment, i just feel so alive, alive, alive<c> what i tell them hoes? bow, bow, bow to me, drop down to your knees<c> young money the mafia, thats word to lil cease<c> im in the dominican, big papi ortiz<c> doing target practice, all these bitches just aiming to please<c> shout out to the ceo, 500 degreez<c> shout out to the ovo, red wings and fatigues, oh<c> niggas wanna be friends, how coincidental<c> this supposed to be yall year? we aint get the memo<c> a young king, pay me in gold<c> 40 got a bunch of weed he aint even roll<c> these niggas be droppin songs, they aint even cold<c> weezy on top, and that nigga aint even home yet<c> yeah, be very afraid<c> these other rappers gettin bodied and carried away<c> fuck it, me and nicki nick gettin married today<c> and all you bitches that be hatin can catch a bouquet, ooh<c> yeah, you a star in my eyes<c> you and all them white girls, party of five<c> are we drinking a lil more? i can hardly decide<c> i cant believe we really made it, im partly surprised, i swear<c> damn, this one for the books, man<c> i swear this shit is as fun as it looks, man<c> im really tryna make it more than what it is
cause everybody dies, but not everybody lives, ah<c> i wish that i could have this moment for life, for life, for life
cause in this moment, i just feel so alive, alive, alive<c> i wish that i could have this moment for life, for life, for life<c> this is my moment, i just feel so alive, alive, alive<c> this is my moment<c> i waited all my<c> life, i can tell its time<c> drifting away, im<c> one with the sunsets<c> i have become alive<c> i wish that i could have this moment for life, for life, for life
cause in this moment, i just feel so alive, alive, alive<c> i wish that i could have this moment for life, for life, for life
cause in this moment, i just feel so alive, alive, alive"
Nicki Minaj,chunli,"ayo, look like im goin for a swim<c> dunked on em, now im swingin off the rim<c> bitch aint comin off the bench<c> while im comin off the court fully drenched<c> here go some haterade, get ya thirst quenched<c> styled on em in this burberry trench<c> these birds copy every word, every inch<c> but gang gang got the hammer and the wrench<c> i pull up in that quarter milli off the lot<c> oh, now she tryna be friends like i forgot<c> show off my diamonds like im signed by the roc<c> aint pushin out his babies til he buy the rock<c> ayo, i been on, bitch, you been corn<c> bentley tints on, fendi prints on<c> i mean i been storm, xmen been formed<c> he keep on dialin nicki like the prince song<c> iii been on, bitch, you been corn<c> bentley tints on, fendi prints on<c> ayo, i been north, lara been croft<c> plates say chunli, drop the benz off<c> oh, i get it, huh, they paintin me out to be the bad guy<c> well its the last time you gonna see a bad guy do the rap game like me<c> i went and copped the chopsticks, put it in my bun just to pop shit<c> im always in the top shit, box seats, bitch, fuck the gossip<c> how many of them coulda did it with finesse?<c> now everybody like, she really is the best<c> you play checkers, couldnt beat me playin chess<c> now im about to turn around and beat my chest<c> bitch, its king kong, yes, its king kong<c> bitch, its king kong, this is king kong<c> chinese ink on, siamese links on<c> call me 2 chainz, name go ding dong<c> bitch, its king kong, yes, im king kong<c> this is king kong? yes, miss king kong<c> in my kingdom wit my timbs on<c> how many championships? what? six rings on<c> they need rappers like me<c> they need rappers like me<c> so they can get on their fucking keyboards<c> and make me the bad guy, chunli<c> ayo, i been on, bitch, you been corn<c> bentley tints on, fendi prints on<c> i mean i been storm, xmen been formed<c> he keep on dialin nicki like the prince song<c> iii been on, bitch, you been corn<c> bentley tints on, fendi prints on<c> ayo, i been north, lara been croft<c> plates say chunli, drop the benz off<c> i come alive, i, im always sky high<c> designer thigh highs, its my lifestyle<c> i come alive, i, im always sky high<c> designer thigh highs, its my lifestyle<c> i need a mai tai, so fuckin scifi<c> give me the password to the fuckin wifi"
Nicki Minaj,bust down barbiana,"bust down, barbiana, bust down, barbiana<c> bust down and pick that shit up<c> bust down and pick that shit up<c> bust it open and pick that shit up<c> bust it open and pick that shit up<c> uh, ayo, i been a bad bitch, cockiana<c> and im still winnin, pacquiana<c> percocets, popiana, killin everybody beat<c> thank you, next, ariana<c> you gon have to give me topiana<c> if you tryna get some sloppiana<c> i call my opps oppiana<c> then shut down yves saint, lauriana<c> i dont want you on my page, blockiana<c> flow tailor made, like teyana<c> they copyin my style, copiana<c> roger that, over, copiana<c> benihana to katana, bitch, i been a donna<c> he screamin my government: oonika tanya<c> you look like nicki now, still you tackyana<c> to keep it 100, bitch you wackyana<c> in the hood like kiana, or a tatiana<c> immigrant from trinidad, rep americana<c> im bout to shut it down at met galiana<c> you peanut head bitches is always jellyana<c> im bout to get a ring in my bellyana<c> tattoo my man name, then give him some beckiana<c> 85, comma, plus three zeros<c> plus another comma plus three zeros<c> then add a dot<c> bop a dot dot, bop a dot dot doh<c> been at the top<c> before this song came out, bitch you been a thot
<c> bust down, barbiana, bust down, barbiana<c> then back that shit up<c> on the gang, then back that shit up<c> on the mags, then back that shit up<c> bust down, barbiana, bust down<c> then pick that shit up<c> on the gang, barbiana<c> bust down, bust down, barbiana
<c> uh<c> bust down and pick that shit up<c> bust down and pick that shit up<c> bust it open and pick that shit up<c> bust it open and pick that shit up"
Nicki Minaj,want some more,"zaytoven<c> metro boomin want some more, nigga<c> want some more, want some more<c> even though a nigga been getting to it<c> wantwantwant some more
 want some more, want some more<c> everytime i end up getting it<c> wantwantwantwant some more<c> when they start talking crazy<c> thats when i know that they want some more<c> i know that im getting it, but fuck it
cause i want some more<c> whewhewhen they start talking crazy<c> thats when i know that they want some more<c> every time i end up getting it<c> wantwantwantwant some more<c> iiiim in this bitch, im getting money<c> one minute they hate me, then they love me<c> aint got nothing for me, these dudes is funny<c> thats why im throwing shade like its sunny<c> whowhowho had eminem on the first album?<c> who had kanye saying, she a problem?<c> who the fuck came in the game, made her own column?<c> whowho made lil wayne give em five million?<c> why the fuck i gotta say it, though? you niggas dont know it yet?<c> football touchdown on the boeing jet<c> you my son, but im just not showing yet<c> wrist icy, but it aint snowing yet<c> you can tell im the illest, cause my dividend is the biggest<c> bitches aint sitting with us, all my niggas in margielas, oh<c> is pigs flying? is these bitches trying me?<c> they think its sweet? ohohohoh, these bitches got diabetes<c> you seen that list? it was me, baby, jayz, and diddy<c> wantwantwant some more, want some more<c> even though a nigga been getting to it<c> wantwantwant some more
 want some more, want some more<c> every time i end up getting it<c> wantwantwantwant some more<c> when they start talking crazy<c> thats when i know that they want some more<c> i know that im getting it, but fuck it
cause i want some more<c> whewhewhen they start talking crazy<c> thats when i know that they want some more<c> every time i end up getting it<c> wantwantwantwant some more<c> yo, yo, im in this bitch, im highsaditty<c> i popped a perc and i said, thank you<c> im popping tags every day, it look like my bday<c> these bitches suck, so i nickname these bitches bj<c> they want that union, they want that dwade<c> i tell a ho just be happy they getting leeway<c> my name barbie, bitch<c> my name barbie, bitch<c> alexander made me queen, im pulling up with the king<c> im late to my own party, bitch<c> want it, i get it, i dont be wanting for nothing<c> i mean, i do what i do and it must be counting for something<c> i dont be jumping from topic to topic, stay in my pocket<c> i got your rent in my pocket, so can i pay you to pop it?<c> cash money, getting six albums, no bitch niggas on a bitch album<c> you niggas apologize when a nigga diss you? thats a big problem<c> wantwantwant some more, want some more<c> even though a nigga been getting to it<c> wantwantwant some more
 want some more, want some more<c> every time i end up getting it<c> wantwantwantwant some more<c> when they start talking crazy<c> thats when i know that they want some more<c> i know that im getting it, but fuck it
cause i want some more<c> whewhewhen they start talking crazy<c> thats when i know that they want some more<c> every time i end up getting it<c> wantwantwantwant some more"
Nicki Minaj,itty bitty piggy,"yo, yo, yo<c> whats up, whats the deal?<c> its your boy, seven up, man<c> you already know if its up, then its stuck, and all that<c> but you already know how it is, man<c> shout out to nicki minaj, man<c> i just wanted to share, man, you already know<c> free makeup, mixtapes, and all that, you know how we give it up<c> got me yellin on a plane, man, listen up, man
<c> uhhuh, uhhuh, yo, ayo<c> i was on the plane with dwayne<c> you can call me whitley, i go to hillman<c> listen, im the baddest in the school, the baddest in the game<c> excuse me, honey, but nobodys in my lane<c> when you was in new york, you was fuckin a yankee<c> i was fuckin with base, i was pitchin to franky<c> these bitches so cranky, get em a hanky<c> mmommy, im cold, gimme my bla
<c> woah, woah, woah, woah, woah, woah, woah<c> okay, okay, woah, woah, holiday<c> wait, hold on, hold on, holiday<c> you cant give it to em dry like that<c> you gotta get that shit wet first, nigga<c> like, come on now<c> you gotta prep them for shit like that<c> they cant just get that shit right off the top<c> like, you gotta bring that shit back<c> bring that shit the fuck back<c> i think we got yalls attention now, right?<c> nicki minaj, dj holiday,  mizay entertainment<c> shouts out trapaholics , we run this<c> lets go, nicki<c> uhhuh, uhhuh, yo, ayo<c> i was on the plane with dwayne<c> you can call me whitley, i go to hillman<c> listen, im the baddest in the school, the baddest in the game<c> excuse me, honey, but nobodys in my lane<c> when you was in new york, you was fuckin a yankee<c> i was fuckin with base, i was pitchin to franky<c> these bitches so cranky, get em a hanky<c> mmommy, im cold, gimme my blankie<c> flyer than a kite, i get higher than rapunzel<c> keep the snow white, i could buy it by the bundle<c> step your cookies up fore they crumble<c> dont be actin like the cardinals and gon fumble
cause im a steeler, fresh up out the dealer<c> all the dope boys gon feel her<c> flow so sick i need a healer<c> fuck is my mac concealer?<c> i be out in queens on the back of four<c> wheewheewheewheewheewheewheelers, im a big deal<c> thats why i get more head than a pigtail<c> put some ranch out, im gettin the munchies<c> i think ill have a rap bitch for my entrée
cause they be thinking they can spit, spitshine my shoes<c> you know i keep a bad bitch, let me sign your boobs<c> im the only thing hoppin, like a kangaroo<c> i mean the only thing poppin, like a can of brew<c> listen, you should buy a sixteen, cause i write it good<c> that 808 woofwoof, cause i ride it good<c> and bitches cant find they man, cause i ride it good<c> im the wolf, where is little reda riding hood?<c> now, if you see a itty bitty piggy in the market<c> give that bitch a quarter and a car, tell her, park it<c> ion fuck with pigs, like assalamu alaykum<c> i put em in a field, i let oscar mayer bake em<c> and if you see a itty bitty piggy in the market<c> give that bitch a quarter and a car, tell her, park it<c> ion fuck with pigs, like assalamu alaykum<c> i put em in a field and i let oscar mayer bake em, bitches, kyuh
<c> wow<c> its like i just singlehandedly annihilated, you know, every rap bitch in the building<c> its like, its like, im nicki minaj, nicki lewinsky, nicki the ninja, nicki the boss, nicki the harajuku barbie<c> like, i mean, i dont even know why you girls bother at this point<c> like, give it up its me<c> i win you lose hahahahahahaha<c> oh, shit hahaha, yo<c> im a bad bitch, im a, im a bad bitch<c> im a bad bitch, im a, im a bad bitch<c> now, im a bad bitch, im a, im a bad bitch<c> hehe, im a bad bitch, im a, im a bad bitch<c> hahahahahaha
i told you, i told you before<c> i told you yall was gonna have to pick my fruit out<c> now listen, in addition to pickin my fruit out<c> i want yall to start going to the boutiques<c> yknahmsayin, get some, get some, get some crazy shit for me<c> i want, i want, you know, leopardskin, and, you know?<c> i want, i want all that crazy lizardskin shit, like, you know?<c> make sure you...<c> you can be my personal shopper<c> hahahahahahahahahahahaha<c> ayo<c> woo<c> uhhuh, uhhuh, uhhuh, uh"
Nicki Minaj,big daddy,"you hear that right there?<c> that sound like, but that 300 thousand nigga<c> im triple og in my hood<c> these hoes call me big daddy<c> your bitch call me big daddy<c> tell that bitch that im big daddy<c> when i hit the lot i dont get the little bitch<c> nigga i go and get the big daddy<c> pick a bitch up in the big daddy<c> big face rollie thats a big daddy<c> got your bitch calling me big daddy<c> when i pull up all the hoes like big daddy<c> nigga im big daddy<c> standin on the corner in some shit that look like i payed like a million for<c> blowin the money i heard that they askin around town what he really worth<c> most of these niggas be really broke<c> i went the hardaway boy had a penny first<c> now these bitches gon get this work<c> i tell her keep on them heels and that mini skirt<c> she google my net worth, lookin like what is his neck worth?<c> my shooters,  they shoot at your head, like the rim just to see if the net work<c> i land in miami then fly out to cali with some of my best work<c> you niggas so lame that my bitches wont fuck unless you cut a check first<c> your bitch call me big daddy<c> tell that bitch that im big daddy<c> when i hit the lot i dont get the little bitch<c> nigga i go and get the big daddy<c> pick a bitch up in the big daddy<c> big face rollie thats a big daddy<c> got your bitch calling me big daddy<c> when i pull up all the hoes like big daddy<c> nigga im big daddy<c> pulled up in something that look like a million nigga put me up on<c> aint gotta sell it, but he say the pussy a drug that he reup on<c> spur of the moment, i ball like ginbili, you bitches get ded up on<c> you mad at me? go get mad at your nigga fore i put my sneakers on<c> he copped me this wrist game, now its just us at the knicks game<c> i might have to take him on tour just to fuck in australia, brisbane<c> your time is ticking, you bitches will be around shorter than vine vids<c> you watch your mouth or my niggas will shoot up the club like what shyne did<c> your bitch call me big daddy<c> tell that bitch that im big daddy<c> when i hit the lot i dont get the little bitch<c> nigga i go and get the big daddy<c> pick a bitch up in the big daddy<c> big face rollie thats a big daddy<c> got your bitch calling me big daddy<c> when i pull up all the hoes like big daddy<c> nigga im big daddy<c> bitches aint stupid, you bitches aint stupid<c> you bitches aint stupid, is you?<c> front like she tough but that bitch keep on crying<c> get this bitch a tissue<c> for what its worth when i took him i could tell he would never miss you<c> i aint even wanna diss you, but tell me what is this bitch issue?
<c> still on top, pretty bitch gang<c> pussy still tight, pistol still bang<c> yo nigga call me big mama<c> let him eat the pussy then i dip on him<c> your bitch call me big daddy<c> tell that bitch that im big daddy<c> when i hit the lot i dont get the little bitch<c> nigga i go and get the big daddy<c> pick a bitch up in the big daddy<c> big face rollie thats a big daddy<c> got your bitch calling me big daddy<c> when i pull up all the hoes like big daddy<c> nigga im big daddy"
Nicki Minaj,roman holiday,"take your medication, roman<c> take a short vacation, roman, youll be okay<c> you need to know your station, roman<c> some alterations on your clothes and your brain<c> take a little break, little break from your silencing<c> theres so much you can take, you can take<c> i know how bad you need a roman holiday<c> roman holiday, a roman holiday<c> you done, you tight? you suck at life?<c> you dont want a round three? you done suffered twice<c> worship the queen and you might could pass<c> keep it real, these bitches couldnt wipe my ass<c> anyway, stylist, go get bvlgari<c> i am the ultimate svengali<c> you, you bitches cant even spell that<c> you, you hoes bugging, repel that<c> let me tell you this, sister<c> i am, i am colder than a blister
cause my flows so sick, and im a lunatic<c> and this cant be cured with no elixir
cause yall know who the fuck, what the fuck i do<c> i done put the pressure to every thug i knew<c> quack, quack to a duck and a chicken too<c> put the hyena in a freakin zoo<c> take your medication, roman<c> take a short vacation, roman, youll be okay<c> you need to know your station, roman<c> some alterations on your clothes and your brain<c> take a little break, little break from your silencing<c> theres so much you can take, you can take<c> i know how bad you need a roman holiday<c> roman holiday, a roman holiday<c> bitch, twitch<c> bitch, motherfucking right, this is world war six<c> this right here might make a bitch die<c> and this right here is gonna make a bitch cry<c> and if we being honest, i am such a great guy<c> and this what i do when a bitch breaks flock<c> imma put her in a dungeon under, under<c> no them bitches aint eating, they dying of hunger<c> motherfucker, i me, who the fuck is this hoe?<c> and yes, maybe just a touch of tourettes<c> get my wigs, terrence, go and get my beret<c> take your medication, roman<c> take a short vacation, roman, youll be okay<c> you need to know your station, roman<c> some alterations on your clothes and your brain<c> take a little break, little break from your silencing<c> theres so much you can take, you can take<c> i know how bad you need a roman holiday<c> roman holiday, a roman holiday<c> come all ye faithful<c> joyful and triumphant<c> i am roman zolanski<c> come all ye faithful<c> joyful and triumphant<c> i am roman zolanski<c> come all ye faithful<c> joyful and triumphant<c> i am roman zolanski<c> talking bout me, you talking about me?<c> i dare a motherfucker to be talking about me<c> that bitch must be smokin a couple of ozs<c> they want the outline, i give them a goatee<c> goddamn, motherfucker, you talking about me?<c> i dare a motherfucker to be talking about me<c> that bitch must be smokin a couple of ozs<c> abuhbuhbuh now give then a goatee<c> take your medication, roman<c> take a short vacation, roman, youll be okay<c> you need to know your station, roman<c> some alterations on your clothes and your brain<c> take a little break, little break from your silencing<c> theres so much you can take, you can take<c> i know how bad you need a roman holiday<c> roman holiday, a roman holiday"
