Artist,Title,Lyrics
Ed Sheeran,Overpass Graffiti,"This is a dark parade
Another rough patch to rain on
To rain on
I know your friends may say
This is a cause for celebration
Hip, hip, hooray, love


Photographs in sepia tones
So still, the fire's barely fighting the cold
Alone
There are times when I can feel your ghost
Just when I'm almost letting you go
The cards were stacked against us both


I will always love you for what it's worth
We'll never fade like graffiti on the overpass
And I know time may change the way you think of us
But I'll remember the way we were
You were the first full-stop love that will never leave
Baby, you will never be lost on me


This is a goddamn shame
I never wanted to break it
Leave us tainted
Know I should walk away
But I just can't replace us
Or even erase us

The car was stuck, the engine stalled
And both of us got caught out in the snow
Alone
There were times when I forget the lows
And think the highs were all that we'd ever known
The cards were stacked against us both


I will always love you for what it's worth
We'll never fade like graffiti on the overpass
And I know time may change the way you think of us
But I'll remember the way we were
You were the first full-stop love that will never leave
Baby, you will never be lost on me


Lost on me
Baby, you will never be lost on me
Lost on me


Well, I will always love you for what it's worth
We'll never fade like graffiti on the overpass, yeah
And I know time may change the way you think of us
But I'll remember the way we were
You were the first full-stop love that will never leave
Baby, you will never be lost on me

Yeah, yeah, yeah
Yeah, yeah, yeah, yeah
Lost on me
Ooh, graffiti on the overpass"
Ed Sheeran,Bibia Be Ye Ye,"Bibia be ye ye


I lost my shoes last night, I don't know where I put my keys
I was tired and fell asleep beneath an oak tree
I bet my mother's proud of me
From each scar upon my knuckle and each graze upon my knee
And all I know
Is I got a cab and then threw up upon his car seat
He kicked me out and then I walked in the rain
I tell myself in every way I won't be doing this again
And tomorrow's a brand new day


Someone told me, ""Always say what's on your mind""
And I am only being honest with you, I
I get lonely and make mistakes from time to time
Se enioma enko ye, bibia be ye ye


Bibia be ye ye, ye ye, ye ye
Bibia be ye ye


I remember less and less and mostly things that I regret
In my phone are several texts from girls I've never met
And in the pocket of my jeans are only coins and broken dreams
My heart is breaking at the seams and I'm coming apart now
Now things are looking up, I'll find my shoes right next to the oak tree
And I'll get a bus straight into town and spend the afternoon
Looking around for the things that I left on the ground
And say you're with me, tomorrow's a brand new day

Someone told me, ""Always say what's on your mind""
And I am only being honest with you, I
I get lonely and make mistakes from time to time
Se enioma enko ye, bibia be ye ye


Wo nooma 
Wo nooma maaaa ye 
Wo nooma 
Wo nooma maaaa ye 
Wo nooma 
Wo nooma maaaa ye 
Wo nooma 
Wo nooma maaaa ye 


Someone told me, ""Always say what's on your mind""
And I am only being honest with you, I
I get lonely and make mistakes from time to time
Se enioma enko ye, bibia be ye ye


Bibia be ye ye, ye ye, ye ye
Bibia be ye ye
Wo nooma 
Wo nooma maaaa ye 
Wo nooma 
Bibia be ye ye

Wo nooma 
Wo nooma maaaa ye 
Wo nooma 
Wo nooma maaaa ye"
Ed Sheeran,Save Myself,"I gave all my oxygen to people that could breathe
I gave away my money and now we don't even speak
I drove miles and miles, but would you do the same for me?
Oh, honestly?
Offered off my shoulder just for you to cry upon
Gave you constant shelter and a bed to keep you warm
They gave me the heartache and, in return, I gave a song
It goes on and on


Life can get you down so I just numb the way it feels
I drown it with a drink and out-of-date prescription pills
And all the ones that love me, they just left me on the shelf
No farewell
So before I save someone else, I've got to save myself


I gave you all my energy and I took away your pain
'Cause human beings are destined to radiate or drain
What line do we stand upon? 'Cause from here, it looks the same
And only scars remain


Life can get you down so I just numb the way it feels
I drown it with a drink and out-of-date prescription pills
And all the ones that love me, they just left me on the shelf
No farewell
So before I save someone else, I've got to save myself

But if I don't, then I'll go back
To where I'm rescuing a stranger just because they needed saving just like that
Oh, I'm here again
Between the devil and the danger, but I guess it's just my nature
My dad was wrong 'cause I'm not like my mum
'Cause she'd just smile and I'm complaining in a song
But it helps
So before I save someone else, I've got to save myself


Life can get you down so I just numb the way it feels
I drown it with a drink and out-of-date prescription pills
And all the ones that love me, they just left me on the shelf
No farewell
So before I save someone else, I've got to save myself


And before I blame someone else, I've got to save myself
And before I love someone else, I've got to love myself"
Ed Sheeran,Visiting Hours,"I wish that Heaven had visiting hours
So I could just show up and bring the news
That she's gettin' older and I wish that you'd met her
The things that she'll learn from me, I got them all from you


Can I just stay a while and we'll put all the world to rights?
The little ones will grow and I'll still drink your favourite wine
And soon, they're going to close, but I'll see you another day
So much has changed since you've been away


I wish that Heaven had visiting hours
So I could just swing by and ask your advice
What would you do in my situation?
I haven't a clue how I'd even raise them
What would you do? 'Cause you always do what's right


Can we just talk a while until my worries disappear?
I'd tell you that I'm scared of turnin' out a failure
You'd say, ""Remember that the answer's in the love that we create""
So much has changed since you've been away


I wish that Heaven had visiting hours
And I would ask them if I could take you home
But I know what they'd say, that it's for the best
So I will live life the way you taught me
And make it on my own

And I will close the door, but I will open up my heart
And everyone I love will know exactly who you are
'Cause this is not goodbye, it is just 'til we meet again
So much has changed since you've been away"
Ed Sheeran,Barcelona,"Well, get up, up on the dancefloor tonight
I've got two left feet and a bottle of red wine
Making me feel like the beat and the bassline
Are in my blood, both hands up on her waistline
Get on up, baby, dance to the rhythm of the music
Don't care what the DJ chooses
Get lost in the rhythm of me
Place don't close until we wanna leave it


And you and I, we're flying on an aeroplane tonight
We're going somewhere where the sun is shining bright
Just close your eyes
And let's pretend we're dancing in the street


In Barcelona
Barcelona
Barcelona
Barcelona


Well, get up, up on the dancefloor, move, it's a Saturday night
I fell in love with the sparkle in the moonlight
Reflected in your beautiful eyes
I guess that is destiny doing it right
And dance like they do in the Mediterranean
Spin you around me again and again, and
You're like something that God has sent me
I want you, baby, solamente

And you and I, we're flying on an aeroplane tonight
We're going somewhere where the sun is shining bright
Just close your eyes
And let's pretend we're dancing in the street


In Barcelona
Barcelona
Barcelona
Barcelona
Barcelona
Barcelona
Oh, Barcelona
So let's pretend we're dancing in the street
In Barcelona


Las Ramblas, I'll meet you
We'll dance around La Sagrada Familia 
Drinking Sangría
Mi niña, te amo, mi cariño 
Mamacita, rica
Sí, tú, te adoro, señorita 
Nosotros, vivir la vida
Come on, let's be free in Barcelona
Las Ramblas, I'll meet you
Come on and dance with me in Barcelona
Drinking Sangría
I just want to be in Barcelona
Mamacita, rica
Feel that summer breeze in Barcelona
Nosotros, viva la vida
Siempre vida, Barcelona"
Ed Sheeran,Tenerife Sea,"You look so wonderful in your dress
I love your hair like that
The way it falls on the side of your neck
Down your shoulders and back
We are surrounded by all of these lies
And people who talk too much
You got the kind of look in your eyes
As if no one knows anything but us


Should this be the last thing I see?
I want you to know it's enough for me
'Cause all that you are is all that I'll ever need


I'm so in love
So in love
So in love
I'm so in love


You look so beautiful in this light
Your silhouette over me
The way it brings out the blue in your eyes
Is the Tenerife sea
And all of the voices surrounding us here
They just fade out when you take a breath
Just say the word and I will disappear
Into the wilderness

Should this be the last thing I see?
I want you to know it's enough for me
'Cause all that you are is all that I'll ever need


I'm so in love
So in love
So in love
So in love


Lumiere, darling
Lumiere over me
Lumiere, darling
Lumiere over me
Lumiere, darling
Lumiere over me


Should this be the last thing I see?
I want you to know it's enough for me
'Cause all that you are is all that I'll ever need


I'm so in love
So in love
So in love, love, love, love
So in love

You look so wonderful in your dress
I love your hair like that
And in a moment, I knew you best"
Ed Sheeran,Supermarket Flowers,"I took the supermarket flowers from the windowsill
I threw the day old tea from the cup
Packed up the photo album Matthew had made
Memories of a life that's been loved
Took the get well soon cards and stuffed animals
Poured the old ginger beer down the sink
Dad always told me, ""Don't you cry when you're down""
But mum, there's a tear every time that I blink


Oh, I'm in pieces, it's tearing me up, but I know
A heart that's broke is a heart that's been loved


So I'll sing Hallelujah
You were an angel in the shape of my mum
When I fell down, you'd be there holding me up
Spread your wings as you go
When God takes you back
He'll say, ""Hallelujah, you're home""


I fluffed the pillows, made the beds, stacked the chairs up
Folded your nightgowns neatly in a case
John says he'd drive then put his hand on my cheek
And wiped a tear from the side of my face

And I hope that I see the world as you did 'cause I know
A life with love is a life that's been lived


So I'll sing Hallelujah
You were an angel in the shape of my mum
When I fell down, you'd be there holding me up
Spread your wings as you go
When God takes you back
He'll say, ""Hallelujah, you're home""








Hallelujah
You were an angel in the shape of my mum
You got to see the person I have become
Spread your wings and I know
That when God took you back
He said, ""Hallelujah, you're home"""
Ed Sheeran,Hearts Don’t Break Around Here,"She is the sweetest thing that I know
Should see the way she holds me when the lights go low
Shakes my soul like a pothole every time
Took my heart upon a one-way trip
Guess she went wanderin' off with it
And unlike most women I know
This one will bring it back whole


Daisies, daisies perched upon your forehead
Oh, my baby, lately, I know


That every night, I'll kiss you, you'll say in my ear
""Oh, we're in love, aren't we?""
Hands in your hair, fingers and thumbs, baby
I feel safe when you're holdin' me near
Love the way that you conquer your fear
You know hearts don't break around here
Oh yeah, yeah, yeah
Yeah-yeah, yeah-yeah


She is the river flow in Orwell
And tin wind chimes used for doorbells, ah
Fields and trees and her smell fill my lungs
Spend my summertime beside her
And the rest of the year, the same
She is the flint that sparks the lighter
And the fuel that will hold the flame, oh

Roses, roses laid upon your bedspread, oh my
Oh, this, oh, this, I know


But every night, I'll kiss you, you'll say in my ear
""Oh, we're in love, aren't we?""
Hands in your hair, fingers and thumbs, baby
I feel safe when you're holdin' me near
Love the way that you conquer your fear
You know hearts don't break around here
Oh, yeah, yeah, yeah


Well, I found love hidden inside
The arms of a woman I know
She is the lighthouse in the night
That will safely guide me home
And I'm not scared of passin' over
Or the thought of growin' old
'Cause from now until I go


Every night, I'll kiss you, you'll say in my ear
""Oh, we're in love, aren't we?""
Hands in your hair, fingers and thumbs, baby
I feel safe when you're holdin' me near
Love the way that you conquer your fear
You know hearts don't break around here
Oh, yeah, yeah
Every night, I'll kiss you, you'll say in my ear
""Oh, we're in love, aren't we?""
Hands in your hair, fingers and thumbs, baby
I feel safe when you're holdin' me near
Love the way that you conquer your fear
You know hearts don't break around here
Yeah, yeah, yeah
You know hearts don't break around here
Oh, yeah, yeah, yeah"
Ed Sheeran,Eraser,"I was born inside a small town, I lost that state of mind
Learned to sing inside the Lord's house, but stopped the age of nine
I forget when I get awards now the wave I had to ride
The paving stones I played upon that kept me on the grind
So blame it on the pain that blessed me with the life
Friends and family filled with envy when they should be filled with pride
And when the world's against me is when I really come alive
And every day that Satan tempts me, I try to take it in my stride
You know that I've got whisky with white lies and smoke in my lungs
I think life has got to the point I know without it's no fun
I need to get in the right mind and clear myself up
Instead, I look in the mirror questionin' what I've become
Guess it's a stereotypical day for someone like me
Without a nine-to-five job or a uni degree
To be caught up in the trappings of the industry
Show me the locked doors, I'll find another use for the key
And you'll see


I'm well aware of certain things that can destroy a man like me
But with that said, give me one more, ah-yeah


Another one to take the sting away
I am happy on my own, so here, I'll stay
Save your lovin' arms for a rainy day
And I'll find comfort in my pain eraser

I used to think that nothin' could be better than touring the world with my songs
I chased the pictured perfect life, I think they painted it wrong
I think that money is the root of all evil and fame is hell
Relationships and hearts you fixed, they break as well
And ain't nobody wanna see you down in the dumps
Because you're livin' your dream, man, this **** should be fun
Please, know that I'm not tryna preach like I'm Reverend Run
I beg you, don't be disappointed with the man I've become
Have conversations with my father on the A14
Age twelve, tellin' me I've gotta chase those dreams
Now I'm playing for the people, dad, and they know me
With my beaten small guitar, wearing the same old jeans
Wembley Stadium crowd's two hundred and forty thou'
I may have grown up, but I hope that Damian's proud
And to the next generation, inspiration's allowed
The world may be filled with hate, but keep erasin' it now
Somehow


I'm well aware of certain things that will befall a man like me
But with that said, give me one more, ah-yeah


Another one to take the sting away
Oh, I am happy on my own, so here, I'll stay
Save your lovin' arms for a rainy day
And I'll find comfort in my pain eraser

And I'll find comfort in my pain eraser
And I'll find comfort in my pain eraser


Welcome to the new show
I guess you know I've been away
But where I'm heading, who knows?
But my heart will stay the same
Welcome to the new show
I guess you know I've been away
But where I'm heading, who knows?
My pain eraser


And I'll find comfort in my pain eraser
And I'll find comfort in my pain eraser
And I'll find comfort in my pain eraser
And I'll find comfort in my pain eraser"
Ed Sheeran,Afire Love,"Things were all good yesterday
And then the devil took your memory
And if you fell to your death today
I hope that Heaven is your restin' place
I heard the doctors put your chest in pain
But then that could've been the medicine
And now you're lyin' in the bed again
Either way, I'll cry with the rest of them


And my father told me, ""Son
It's not his fault he doesn't know your face
And you're not the only one""
Although my grandma used to say
That he used to sing


Darlin', hold me in your arms the way you did last night
And we'll lie inside for a little while here, oh
I could look into your eyes until the sun comes up
And we're wrapped in light, in life and love
Put your open lips on mine and slowly let them shut
For they're designed to be together, oh
With your body next to mine, our hearts will beat as one
And we're set alight, we're afire love

Love, love


And things were all good yesterday
But then the devil took your breath away
And now, we're left here in the pain
Black suit, black tie, standin' in the rain
And now, my family is one again
Stapled together with the strangers and a friend
Came to my mind, I should paint it with a pen
Six years old, I remember when


My father told me, ""Son
It's not his fault he doesn't know your face
And you're not the only one""
Although my grandma used to say
That he used to sing


Darlin', hold me in your arms the way you did last night
And we'll lie inside for a little while here, oh
I could look into your eyes until the sun comes up
And we're wrapped in light, in life and love
Put your open lips on mine and slowly let them shut
For they're designed to be together, oh
With your body next to mine, our hearts will beat as one
And we're set alight, we're afire love

 Love, love
 See the love, the love, the love, the love
 See the love, the love, the love, the love
 See the love, the love, the love, the love


And my father and all of my family
Rise from their seats to sing ""Hallelujah""
And my brother and all of my family
Rise from their seats to sing ""Hallelujah""
And my brother and all of my family
Rise from their seats to sing ""Hallelujah""

And my father and all of my family 
Rise from their seats to sing ""Hallelujah""



 See the love, the love, the love, the love
 See the love, the love, the love, the love
 See the love, the love, the love, the love
"
