Artist,Title,Lyrics
Nicki Minaj,Barbie Dreams,"Uh, mmm, kyuh
R.I.P. to B.I.G. 
Classic shit


I'm lookin' for a nigga to give some babies
A handful of Weezy, sprinkle of Dave East
Man, I ain't got no type like Jxmmi and Swae Lees
But if he can't fuck three times a night, peace!
I tried to fuck 50 for a powerful hour
But all that nigga wanna do is talk Power for hours
B-beat the pussy up, make sure it's a K-O
Step your banks up like you're movin' that yayo
Somebody go and make sure Karrueche okay, though
I heard she think I'm tryna give the coochie to Quavo
They always wanna beat it up, goon up the pussy
Man, maybe I should let him autotune up the pussy
All these Bow Wow Challenge niggas lyin' and shit
Man, these Fetty Wap niggas stay eyein' my shit
Drake worth a hundred mill, he always buyin' me shit
But I don't know if the pussy wet or if he cryin' and shit
Meek still be in my DMs, I be havin' to duck him
""I used to pray for times like this"" face-ass when I fuck him
Man, Uzi is my baby, he ain't takin' a L
But he took it literally when I said ""Go to hell""
Used to fuck with Young Thug, I ain't addressin' this shit
C-caught him in my dressing room, stealin' dresses and shit
I used to give this nigga with a lisp tests and shit
How you want the pu-thy? Can't say your S's and shit, uh

Dreams of fuckin' one of these little rappers
I'm just playin', but I'm sayin' 
Dreams of fuckin' one of these little rappers
I'm just playin', but I'm sayin' 
Dreams of fuckin' one of these little rappers
I'm just playin', but I'm sayin' 
Dreams of fuckin' one of these little rappers 
I'm just playin', but I'm sayin'


I remember when I used to have a crush on Special Ed
Shoutout Desiigner 'cause he made it out of special ed
You wanna fuck me, you gotta give some special head
'Cause this pussy have these niggas on some special meds
Like Mike Tyson, he was bitin' my shit
Talkin' 'bout, ""Yo, why you got these niggas fightin' and shit?""
On the, on the real, I should make these niggas scrap for the pussy
Young M.A and Lady Luck, get the strap for this pussy, uh
And I woulda had Odell Beckham bangin' the cake
'Til I saw him hoppin' out of cars dancin' to Drake
I been a five-star bitch, man, word to Gotti
I'ma do that nigga Future dirty, word to Scottie
Had to cancel DJ Khaled, boy, we ain't speakin'
Ain't no fat nigga tellin' me what he ain't eatin'
YG and The Game with the hammer yellin', ""Gang! Gang!""
This ain’t what I meant when I said a gang bang
Tekashi want a ménage, I said ""tre-way""
Curved him and went the Kim and Kanye way
Em, cop the Barbie Dreamhouse, then you can play the part
I-I ain't tryna bust it open in a trailer park

Dreams of fuckin' one of these little rappers
I'm just playin', but I'm sayin' 
Dreams of fuckin' one of these little rappers
I'm just playin', but I'm sayin' 
Dreams of fuckin' one of these little rappers
I'm just playin', but I'm sayin' 
Dreams of fuckin' one of these little rappers 
I'm just playin', but I'm sayin' 

I'm just playin', but I'm sayin' 


You know I'm all 'bout them dollars
I be supportin' them scholars
I let him give me some brain, but he wanted me to ride it
So I said, ""Fuck it, I'm in""
He wanna cut like a trim
And if he act like he know, I let him fuck it again
I got them bars, I'm indicted
I'm poppin', I'm uninvited
I said, ""Just lick on the clitoris, nigga, don't fuckin' bite it""
I ride his **** in a circle
I turn Stefan into Urkel
I go arounds and arounds and I'ma go down in slow motion
The-then I pick it up, look at it
I said, ""Daddy, come get at it,"" uh
Yellow brick road, he said that I am a wiz at it
Yeah, they want it, want it
You know I flaunt it, flaunt it
I'm a trendsetter, everything I do, they do
Yeah, I put 'em up on it, on it
¡Dimelo, papi, papi!
Yo quiero sloppy, sloppy
I'll give it to you if you beat it up like Pacqui, Pacqui
I-I-I-I'ma kill 'em with the shoe
No ceiling is in the roof
And I'm big, give me the loot
12 cylinders in the coupe
I get dome with the chrome, no tellin' when I'ma shoot
I just bang, bang, bang, real killas is in my group
Gorillas is in my unit, vacationin' where it's humid
And I shine, shine, shine, got diamonds all in my cubans
I'm in LA Times more than when niggas lootin'
And my flow spit crack, I think that nigga usin'
He done bodied everybody, in closing, these bitches losin'
Usin', usin' up, a bitch movin'
No, I ain't stuttered and no, I ain't Ruben
Damn, a bitch snoozin'
Shoutout to my Jews, l'chaim, Rick Rubin
Big fat titties, yes, they be protrudin'
I be like, fuck 'em, fuck 'em, bring the lube in
I be like, fuck 'em, fuck 'em, bring the lube in"
Nicki Minaj,Did It On’em,"

Shitted on 'em
Man, I just shitted on 'em
Shitted on 'em
Put your number twos in the air if you did it on 'em
Shitted on 'em
Man, I just shitted on 'em
Shitted on 'em
Put your number twos in the air if you did it on 'em


All these bitches is my sons
And I'ma go and get some bibs for 'em
A couple formulas, little pretty lids on 'em
If I had a dick, I would pull it out and piss on 'em 
Let me shake it off
I just signed a couple deals, I might break you off
And we ain't making up, I don't need a mediator
Just let them bums blow steam, radiator


, shitted on 'em
, man, I just shitted on 'em
, shitted on 'em
Put your number twos in the air if you did it on 'em 
, shitted on 'em
, man, I just shitted on 'em
, shitted on 'em
Put your number twos in the air if you did it on 'em 

This stone is flawless, F1
I keep shooters up top in the F1
A lot of bad bitches beggin' me to F one
But I'ma eat them rap bitches when the chef come
Throw some fresh ones
More talent in my motherfuckin' left thumb
She ain't a Nicki fan, then the bitch deaf, dumb
You ain't my son, you my motherfuckin' step-son


, shitted on 'em
, man, I just shitted on 'em
, shitted on 'em
Put your number twos in the air if you did it on 'em 
, shitted on 'em
, man, I just shitted on 'em
, shitted on 'em
Put your number twos in the air if you did it on 'em 


All these bitches is my sons
And I ain't talkin' 'bout Phoenix
Bitch, I get money, so I dos what I pleases
I live where the motherfuckin' pools and the trees is
Broke bitches so crusty 
Gave the bitch a ride, got the Continental dusty
Trust me, I keep a couple hundred in the duff'-B
Couple wet wipes case a bum try to touch me, ew
I'm the terminator
Bitch talk slick, I'ma have to terminate her
These little nappy-headed hoes need a perminator
You my seed, I'll spray you with the germinator 
Move back, bugs
Matter fact, you know the queen could use a back rub 
If you could turn back time, Cher
You used to be here, now you're gone, Nair

, shitted on 'em
, man, I just shitted on 'em
, shitted on 'em
Put your number twos in the air if you did it on 'em 
, shitted on 'em
, man, I just shitted on 'em
, shitted on 'em
Put your number twos in the air if you did it on 'em "
Nicki Minaj,Buy a Heart,"You should say it right now

Anybody wanna buy a heart?
Anybody wanna buy a heart?
Anybody wanna buy a heart?
Cause I don't use the shit anyway
But okay, I guess it's my fault
Westside shorty, with an eastside nigga
They say it's levels to this shit, I'm a G5 nigga
And every city I be in, you know she fly with us
It's like Hov got Bey, it's like Bey got Jigga
Really though let me take y'all back
'09, double R drop top with the top down
Pulled up, double parked, hopped out, tried to spit my game
It didn't work, got shot down
But I can tell by the bag, by the wrist and the ring on that
Somebody had it on lockdown
The moral of the story not to speak on that
She on the team, shorty mine now
And we don't ever ever ever make love
And we don't ever ever ever say ""love""
Unless I'm all up in it, she tellin' me she love that D on that, I don't ever say uh
Bad bitch, ain't nothin' made up
Anybody, anybody, anybody wanna buy
The heart from a real one from Philly reppin' that north side?

Anybody? Anybody?
Anybody, anybody, anybody wanna buy a heart?
Anybody, anybody, anybody wanna buy love?
Anybody, anybody, anybody wanna buy a heart?
Anybody, anybody, anybody wanna buy trust
Anybody, anybody, anybody wanna buy a heart?
Anybody, anybody, anybody wanna buy love?
Anybody, anybody, anybody wanna buy?
Anybody, anybody, anybody wanna buy love?


Rihmeek, I'ma have to tell the truth if I speak
Unless you want to play, you ain't say this the other day
You said you was in love, and I still didn't budge
Cause I already seen how you be going in when you be in them clubs

I could tell you was analyzing me, I could tell you was criticizing me
I could tell you was fantasizing that you would come slide in me and confide in me
He could tell that I was wifey material
He was liking my style in my videos
I wasn't looking for love I was looking for a buzz
So at times I would lie and say I'm busy, yo
Cause it's too much, and it's too clutch
Who wants rumors of the two of us
But when you're away, I can't get you out of my mind
But what if I'm not the one and you're wasting your time?
But you waited

Anybody? Anybody?
Anybody, anybody, anybody wanna buy a heart?
Anybody, anybody, anybody wanna buy love?
Anybody, anybody, anybody wanna buy a heart?
Anybody, anybody, anybody wanna buy trust
Anybody, anybody, anybody wanna buy a heart?
Anybody, anybody, anybody wanna buy love?
Anybody, anybody, anybody wanna buy?
Anybody, anybody, anybody wanna buy love?


Its a heart for sale, who's buying?
I don't care who's crying
Its trust for sale, who's buying?
I don't care who's lying"
Nicki Minaj,Moment 4 Life,"I fly with the stars in the skies
I am no longer trying to survive
I believe that life is a prize
But to live doesn't mean you're alive
Don't worry 'bout me and who I fire
I get what I desire, it's my empire
And yes, I call the shots, I am the umpire
I sprinkle holy water upon a vampire
In this very moment, I'm king
In this very moment, I slay Goliath with a sling
This very moment, I bring
Put it on everything that I will retire with the ring
And I will retire with the crown, yes
No, I'm not lucky, I'm blessed, yes
Clap for the heavyweight champ, me
But I couldn't do it all alone, we
Young Money raised me, grew up out in Baisley
Southside Jamaica, Queens, and it's crazy
'Cause I'm still hood, Hollywood couldn't change me
Shout out to my haters, sorry that you couldn't faze me
Ain't being cocky, we just vindicated
Best believe that when we done, this moment will be syndicated
I don't know, this night just remind me of
Everything they deprived me of 
Put your drinks up
It's a celebration every time we link up
We done did everything they can think of
Greatness is what we on the brink of

I wish that I could have this moment for life, for life, for life
'Cause in this moment, I just feel so alive, alive, alive
I wish that I could have this moment for life, for life, for life
This is my moment, I just feel so alive, alive, alive


What I tell them hoes? Bow, bow, bow to me, drop down to your knees
Young Money the mafia, that's word to Lil' Cease
I'm in the Dominican, Big Papi Ortiz
Doing target practice, all these bitches just aiming to please
Shout out to the CEO, 500 Degreez
Shout out to the OVO, red wings and fatigues, oh
Niggas wanna be friends, how coincidental
This supposed to be y'all year? We ain't get the memo
A young king, pay me in gold
40 got a bunch of weed he ain't even roll
These niggas be droppin' songs, they ain't even cold
Weezy on top, and that nigga ain't even home yet
Yeah, be very afraid
These other rappers gettin' bodied and carried away
Fuck it, me and Nicki Nick gettin' married today
And all you bitches that be hatin' can catch a bouquet, ooh
Yeah, you a star in my eyes
You and all them white girls, party of five
Are we drinking a lil' more? I can hardly decide
I can't believe we really made it, I'm partly surprised, I swear
Damn, this one for the books, man
I swear this shit is as fun as it looks, man
I'm really tryna make it more than what it is
'Cause everybody dies, but not everybody lives, ah

I wish that I could have this moment for life, for life, for life
'Cause in this moment, I just feel so alive, alive, alive
I wish that I could have this moment for life, for life, for life
This is my moment, I just feel so alive, alive, alive


This is my moment
I waited all my
Life, I can tell it's time
Drifting away, I'm
One with the sunsets
I have become alive


I wish that I could have this moment for life, for life, for life
'Cause in this moment, I just feel so alive, alive, alive
I wish that I could have this moment for life, for life, for life
'Cause in this moment, I just feel so alive, alive, alive"
Nicki Minaj,Chun-Li,"Ayo, look like I'm goin' for a swim
Dunked on 'em, now I'm swingin' off the rim
Bitch ain't comin' off the bench
While I'm comin' off the court fully drenched
Here go some haterade, get ya thirst quenched
Styled on 'em in this Burberry trench
These birds copy every word, every inch
But gang gang got the hammer and the wrench 
I pull up in that quarter milli off the lot
Oh, now she tryna be friends like I forgot
Show off my diamonds like I'm signed by the Roc 
Ain't pushin' out his babies 'til he buy the rock


Ayo, I been on, bitch, you been corn
Bentley tints on, Fendi prints on
I mean I been Storm, X-Men been formed
He keep on dialin' Nicki like the Prince song
I-I-I been on, bitch, you been corn
Bentley tints on, Fendi prints on
Ayo, I been north, Lara been Croft
Plates say Chun-Li, drop the Benz off


Oh, I get it, huh, they paintin' me out to be the bad guy
Well it's the last time you gonna see a bad guy do the rap game like me

I went and copped the chopsticks, put it in my bun just to pop shit
I'm always in the top shit, box seats, bitch, fuck the gossip
How many of them coulda did it with finesse?
Now everybody like, ""She really is the best""
You play checkers, couldn't beat me playin' chess
Now I'm about to turn around and beat my chest
Bitch, it's King Kong, yes, it's King Kong
Bitch, it's King Kong, this is King Kong
Chinese ink on, Siamese links on
Call me 2 Chainz, name go ding dong
Bitch, it's King Kong, yes, I'm King Kong
This is King Kong? Yes, Miss King Kong
In my kingdom wit' my Timbs on
How many championships? What? Six rings on


They need rappers like me
They need rappers like me
So they can get on their fucking keyboards
And make me the bad guy, Chun-Li


Ayo, I been on, bitch, you been corn
Bentley tints on, Fendi prints on
I mean I been Storm, X-Men been formed
He keep on dialin' Nicki like the Prince song
I-I-I been on, bitch, you been corn
Bentley tints on, Fendi prints on
Ayo, I been north, Lara been Croft
Plates say Chun-Li, drop the Benz off

I come alive, I, I'm always sky high
Designer thigh highs, it's my lifestyle
I come alive, I, I'm always sky high
Designer thigh highs, it's my lifestyle
I need a Mai Tai, so fuckin' sci-fi
Give me the password to the fuckin' wifi"
Nicki Minaj,Bust Down Barbiana,"Bust down, Barbiana, bust down, Barbiana
Bust down and pick that shit up
Bust down and pick that shit up
Bust it open and pick that shit up
Bust it open and pick that shit up


Uh, ayo, I been a bad bitch, cockiana 
And I'm still winnin', Pacquiana 
Percocets, popiana, killin' everybody beat
Thank you, next, Ariana 
You gon' have to give me topiana 
If you tryna get some sloppiana 
I call my opps Oppiana 
Then shut down Yves Saint, Lauriana 
I don't want you on my page, blockiana 
Flow tailor made, like Teyana 
They copyin' my style, copiana
Roger that, over, copiana
Benihana to Katana, bitch, I been a Donna
He screamin' my government: O-Onika Tanya
You look like Nicki now, still you tacky-ana
To keep it 100, bitch you wacky-ana
In the hood like Kiana, or a Tatiana
Immigrant from Trinidad, rep Americana
I'm 'bout to shut it down at Met Galiana
You peanut head bitches is always jellyana
I'm 'bout to get a ring in my bellyana
Tattoo my man name, then give him some beckiana 
85, comma, plus three zeros 
Plus another comma plus three zeros 
Then add a dot 
Bop a dot dot, bop a dot dot doh
Been at the top
Before this song came out, bitch you been a thot 

Bust down, Barbiana, bust down, Barbiana 
Then back that shit up 
On the gang, then back that shit up 
On the mags, then back that shit up 
Bust down, Barbiana, bust down 
Then pick that shit up 
On the gang, Barbiana 
Bust down, bust down, Barbiana 


Uh
Bust down and pick that shit up
Bust down and pick that shit up
Bust it open and pick that shit up
Bust it open and pick that shit up"
Nicki Minaj,Want Some More,"Zaytoven
Metro Boomin want some more, nigga

Want some more, want some more
Even though a nigga been getting to it
Want-want-want some more
 Want some more, want some more
Everytime I end up getting it
Want-want-want-want some more
When they start talking crazy
That's when I know that they want some more
I know that I'm getting it, but fuck it
'Cause I want some more
Whe-whe-when they start talking crazy
That's when I know that they want some more
Every time I end up getting it
Want-want-want-want some more


I-I-I-I'm in this bitch, I'm getting money
One minute they hate me, then they love me
Ain't got nothing for me, these dudes is funny
That's why I'm throwing shade like it's sunny
Who-who-who had Eminem on the first album?
Who had Kanye saying, “She a problem?”
Who the fuck came in the game, made her own column?
Who-who made Lil Wayne give 'em five million?
Why the fuck I gotta say it, though? You niggas don't know it yet?
Football touchdown on the Boeing jet
You my son, but I'm just not showing yet
Wrist icy, but it ain't snowing yet
You can tell I'm the illest, cause my dividend is the biggest
Bitches ain't sitting with us, all my niggas in Margielas, oh
Is pigs flying? Is these bitches trying me?
They think it's sweet? Oh-oh-oh-oh, these bitches got diabetes
You seen that list? It was me, Baby, Jay-Z, and Diddy

Want-want-want some more, want some more
Even though a nigga been getting to it
Want-want-want some more
 Want some more, want some more
Every time I end up getting it
Want-want-want-want some more
When they start talking crazy
That's when I know that they want some more
I know that I'm getting it, but fuck it
'Cause I want some more
Whe-whe-when they start talking crazy
That's when I know that they want some more
Every time I end up getting it
Want-want-want-want some more


Yo, yo, I'm in this bitch, I'm high-saditty
I popped a Perc and I said, “Thank you”
I'm popping tags every day, it look like my b-day
These bitches suck, so I nickname these bitches “BJ”
They want that union, they want that D-Wade
I tell a ho just be happy they getting leeway
My name Barbie, bitch 
My name Barbie, bitch
Alexander made me Queen, I'm pulling up with the King
I'm late to my own party, bitch
Want it, I get it, I don't be wanting for nothing
I mean, I do what I do and it must be counting for something
I don't be jumping from topic to topic, stay in my pocket
I got your rent in my pocket, so can I pay you to pop it?
Cash Money, getting six albums, no bitch niggas on a bitch album
You niggas apologize when a nigga diss you? That's a big problem

Want-want-want some more, want some more
Even though a nigga been getting to it
Want-want-want some more
 Want some more, want some more
Every time I end up getting it
Want-want-want-want some more
When they start talking crazy
That's when I know that they want some more
I know that I'm getting it, but fuck it
'Cause I want some more
Whe-whe-when they start talking crazy
That's when I know that they want some more
Every time I end up getting it
Want-want-want-want some more"
Nicki Minaj,Itty Bitty Piggy,"
Yo, yo, yo
What's up, what's the deal?

It's your boy, Seven Up, man
You already know if it's up, then it's stuck, and all that
But you already know how it is, man
Shout out to Nicki Minaj, man
I just wanted to share, man, you already know
Free makeup, mixtapes, and all that, you know how we give it up
Got me yellin' on a plane, man, listen up, man



Uh-huh, uh-huh, yo, ayo
I was on the plane with Dwayne
You can call me Whitley, I go to Hillman
Listen, I'm the baddest in the school, the baddest in the game
Excuse me, honey, but nobody's in my lane
When you was in New York, you was fuckin' a Yankee
I was fuckin' with base, I was pitchin' to Franky
These bitches so cranky, get 'em a hanky
M-mommy, I'm cold, gimme my bla-


Woah, woah, woah, woah, woah, woah, woah!
Okay, okay, woah, woah, Holiday
Wait, hold on, hold on, Holiday!
You can't give it to 'em dry like that
You gotta get that shit wet first, nigga
Like, come on now!
You gotta prep them for shit like that 
They can't just get that shit right off the top
Like, you gotta bring that shit back
Bring that shit the fuck back! 
I think we got y'all's attention now, right?

Nicki Minaj, DJ Holiday,  Mizay Entertainment
Shouts out Trap-A-Holics , we run this!
Let's go, Nicki!

Uh-huh, uh-huh, yo, ayo
I was on the plane with Dwayne
You can call me Whitley, I go to Hillman
Listen, I'm the baddest in the school, the baddest in the game
Excuse me, honey, but nobody's in my lane
When you was in New York, you was fuckin' a Yankee
I was fuckin' with base, I was pitchin' to Franky
These bitches so cranky, get 'em a hanky
M-mommy, I'm cold, gimme my blankie
Flyer than a kite, I get higher than Rapunzel
Keep the Snow White, I could buy it by the bundle
Step your cookies up 'fore they crumble
Don't be actin' like the Cardinals and gon' fumble 
'Cause I'm a Steeler, fresh up out the dealer
All the dope boys gon' feel her
Flow so sick I need a healer
Fuck is my MAC concealer?
I be out in Queens on the back of four-
Whee-whee-whee-whee-whee-whee-wheelers, I'm a big deal
That's why I get more head than a pigtail
Put some ranch out, I’m gettin' the munchies
I think I'll have a rap bitch for my entrée
'Cause they be thinking they can spit, spit-shine my shoes
You know I keep a bad bitch, let me sign your boobs
I'm the only thing hoppin', like a kangaroo
I mean the only thing poppin', like a can of brew
Listen, you should buy a sixteen, 'cause I write it good
That 808 woof-woof, 'cause I ride it good
And bitches can't find they man, 'cause I ride it good
I'm the wolf, where is Little Red-a Riding Hood?

Now, if you see a itty bitty piggy in the market
Give that bitch a quarter and a car, tell her, ""Park it""
I'on fuck with pigs, like ""as-salamu alaykum""
I put 'em in a field, I let Oscar Mayer bake 'em
And if you see a itty bitty piggy in the market
Give that bitch a quarter and a car, tell her, ""Park it""
I'on fuck with pigs, like ""as-salamu alaykum""
I put 'em in a field and I let Oscar Mayer bake 'em, bitches, kyuh



Wow
It's like I just single-handedly annihilated, you know, every rap bitch in the building
It's like, it's like, I'm Nicki Minaj, Nicki Lewinsky, Nicki the Ninja, Nicki the Boss, Nicki the Harajuku Barbie
Like, I mean, I don't even know why you girls bother at this point
Like, give it up! It's me!
I win! You lose! Hahahahahahaha
Oh, shit! Hahaha, yo


I'm a bad bitch, I'm a, I'm a bad bitch
I'm a bad bitch, I'm a, I'm a bad bitch
Now, I'm a bad bitch, I'm a, I'm a bad bitch
Hehe, I'm a bad bitch, I'm a, I'm a bad bitch

Hahahahahaha
I told you, I told you before
I told you y'all was gonna have to pick my fruit out
Now listen, in addition to pickin' my fruit out
I want y'all to start going to the boutiques
Y'knahmsayin, get some, get some, get some crazy shit for me
I want, I want, you know, leopard-skin, and, you know?
I want, I want all that crazy lizard-skin shit, like, you know?
Make sure you...
You can be my personal shopper!
Hahahahahahahahahahahaha
Ayo!
Woo
Uh-huh, uh-huh, uh-huh, uh"
Nicki Minaj,Big Daddy,"You hear that right there?
That sound like, but that 300 thousand nigga
I'm triple OG in my hood
These hoes call me big daddy


Your bitch call me big daddy
Tell that bitch that I'm big daddy
When I hit the lot I don't get the little bitch
Nigga I go and get the big daddy
Pick a bitch up in the big daddy
Big face Rollie that's a big daddy
Got your bitch calling me big daddy
When I pull up all the hoes like big daddy
Nigga I'm big daddy


Standin' on the corner in some shit that look like I payed like a million for
Blowin' the money I heard that they askin' around town what he really worth
Most of these niggas be really broke
I went the Hardaway boy had a penny first
Now these bitches gon' get this work
I tell her keep on them heels and that mini skirt
She Google my net worth, lookin' like ""what is his neck worth?""
My shooters,  they shoot at your head, like the rim just to see if the net work
I land in Miami then fly out to Cali with some of my best work
You niggas so lame that my bitches won't fuck unless you cut a check first

Your bitch call me big daddy
Tell that bitch that I'm big daddy
When I hit the lot I don't get the little bitch
Nigga I go and get the big daddy
Pick a bitch up in the big daddy
Big face Rollie that's a big daddy
Got your bitch calling me big daddy
When I pull up all the hoes like big daddy
Nigga I'm big daddy


Pulled up in something that look like a million nigga put me up on
Ain't gotta sell it, but he say the pussy a drug that he re-up on
Spur of the moment, I ball like Ginóbili, you bitches get D'ed up on
You mad at me? Go get mad at your nigga 'fore I put my sneakers on
He copped me this wrist game, now it's just us at the Knicks game
I might have to take him on tour just to fuck in Australia, Brisbane
Your time is ticking, you bitches will be around shorter than Vine vids
You watch your mouth or my niggas will shoot up the club like what Shyne did


Your bitch call me big daddy
Tell that bitch that I'm big daddy
When I hit the lot I don't get the little bitch
Nigga I go and get the big daddy
Pick a bitch up in the big daddy
Big face Rollie that's a big daddy
Got your bitch calling me big daddy
When I pull up all the hoes like big daddy
Nigga I'm big daddy

Bitches ain't stupid, you bitches ain't stupid
You bitches ain't stupid, is you?
Front like she tough but that bitch keep on crying
Get this bitch a tissue
For what it's worth when I took him I could tell he would never miss you
I ain't even wanna diss you, but tell me what is this bitch issue?


Still on top, pretty bitch gang
Pussy still tight, pistol still bang
Yo nigga call me big mama
Let him eat the pussy then I dip on him


Your bitch call me big daddy
Tell that bitch that I'm big daddy
When I hit the lot I don't get the little bitch
Nigga I go and get the big daddy
Pick a bitch up in the big daddy
Big face Rollie that's a big daddy
Got your bitch calling me big daddy
When I pull up all the hoes like big daddy
Nigga I'm big daddy"
Nicki Minaj,Roman Holiday,"Take your medication, Roman
Take a short vacation, Roman, you'll be okay
You need to know your station, Roman
Some alterations on your clothes and your brain
Take a little break, little break from your silencing
There's so much you can take, you can take
I know how bad you need a Roman holiday
Roman holiday, a Roman holiday

You done, you tight? You suck at life?
You don't want a round three? You done suffered twice
Worship the queen and you might could pass
Keep it real, these bitches couldn't wipe my ass
Anyway, stylist, go get Bvlgari
I am the ultimate Svengali
You, you bitches can't even spell that
You, you hoes bugging, repel that
Let me tell you this, sister
I am, I am colder than a blister
'Cause my flow's so sick, and I'm a lunatic
And this can't be cured with no Elixir
'Cause y'all know who the fuck, what the fuck I do
I done put the pressure to every thug I knew
Quack, quack to a duck and a chicken too
Put the hyena in a freakin' zoo

Take your medication, Roman
Take a short vacation, Roman, you'll be okay
You need to know your station, Roman
Some alterations on your clothes and your brain
Take a little break, little break from your silencing
There's so much you can take, you can take
I know how bad you need a Roman holiday
Roman holiday, a Roman holiday


Bitch, twitch!
Bitch, motherfucking right, this is World War Six
This right here might make a bitch die
And this right here is gonna make a bitch cry
And if we being honest, I am such a great guy
And this what I do when a bitch breaks flock

I'mma put her in a dungeon under, under
No them bitches ain't eating, they dying of hunger
Motherfucker, I me, who the fuck is this hoe?
And yes, maybe just a touch of Tourette's
Get my wigs, Terrence, go and get my beret

Take your medication, Roman
Take a short vacation, Roman, you'll be okay
You need to know your station, Roman
Some alterations on your clothes and your brain
Take a little break, little break from your silencing
There's so much you can take, you can take
I know how bad you need a Roman holiday
Roman holiday, a Roman holiday

Come all ye faithful
Joyful and triumphant
I am Roman Zolanski
Come all ye faithful
Joyful and triumphant
I am Roman Zolanski
Come all ye faithful
Joyful and triumphant
I am Roman Zolanski


Talking 'bout me, you talking about me?
I dare a motherfucker to be talking about me
That bitch must be smokin' a couple of OZ's
They want the outline, I give them a goatee
Goddamn, motherfucker, you talking about me?
I dare a motherfucker to be talking about me
That bitch must be smokin' a couple of OZ's
A-buh-buh-buh now give then a goatee


Take your medication, Roman
Take a short vacation, Roman, you'll be okay
You need to know your station, Roman
Some alterations on your clothes and your brain
Take a little break, little break from your silencing
There's so much you can take, you can take
I know how bad you need a Roman holiday
Roman holiday, a Roman holiday"
