Artist,title,lyrics
Taylor Swift,cardigan,"vintage tee, brand new phone<c> high heels on cobblestones<c> when you are young, they assume you knownothing<c> sequinsmile, black lipstick<c> sensualpolitics<c> when you are young, they assumeyou know nothing<c> but i knew you<c> dancin in your levis<c> drunk under a streetlight, i<c> i knew you<c> hand under my sweatshirt<c> baby, kiss it better, i<c> and when i felt like i was an old cardigan<c> under someones bed<c> you put me on and said i was your favorite<c> a friend to all is a friend to none<c> chase two girls, lose the one<c> when you are young, they assume you know nothing<c> but i knew you<c> playing hideandseek and<c> giving me your weekends, i<c> i knew you<c> your heartbeat on the high line<c> once in twenty lifetimes, i<c> and when i felt like i was an old cardigan<c> under someones bed<c> you put me on and said i was your favorite<c> to kiss in cars and downtown bars<c> was all we needed<c> you drew stars around my scars<c> but now im bleedin<c> cause i knew you<c> steppin on the last train<c> marked me like a bloodstain, i<c> i knew you<c> tried to change the ending<c> peter losing wendy, i<c> i knew you<c> leavin like a father<c> running like water, i<c> and when you are young, they assume you know nothing<c> but i knew youd linger like a tattoo kiss<c> i knew youd haunt all of my whatifs<c> the smell of smoke would hang around this long<c> cause i knew everything when i was young<c> i knew id curse you for the longest time<c> chasin shadows in the grocery line<c> i knew youd miss me once the thrill expired<c> and youd be standin in my front porch light<c> and i knew youd come back to me<c> youd come back to me<c> and youd come back to me<c> and youd come back<c> and when i felt like i was an old cardigan<c> under someones bed<c> you put me on and said i was your favorite142embedshare urlcopyembedcopy"
Taylor Swift,exile,"i can see you standing, honey<c> with his arms around your body<c> laughin, but the jokes notfunnyat all<c> and ittook you five whole minutes<c> to packus up and leave me with it<c> holdin all this love out here in the hall<c> i think ive seen this film before<c> and i didnt like the ending<c> youre not my homeland anymore<c> so what am i defending now?<c> you were my town, now im in exile, seein you out<c> i think ive seen this film before<c> ooh, ooh, ooh<c> i can see you starin, honey<c> like hes just your understudy<c> like youd get your knuckles bloody for me<c> second, third, and hundredth chances<c> balancin on breaking branches<c> those eyes add insult to injury<c> i think ive seen this film before<c> and i didnt like the ending<c> im not your problem anymore<c> so who am i offending now?<c> you were my crown, now im in exile, seein you out<c> i think ive seen this film before<c> so im leaving out the side door<c> so step right out, there is no amount<c> of crying i can do for you<c> all this time<c> we always walked a very thin line<c> you didnt even hear me out you didnt even hear me out<c> you never gave a warning sign i gave so many signs<c> all this time<c> i never learned to read your mind never learned to read my mind<c> i couldnt turn things around you never turned things around<c> cause you never gave a warning sign i gave so many signs<c> so many signs, so many signs<c> you didnt even see the signs<c> i think ive seen this film before<c> and i didnt like the ending<c> youre not my homeland anymore<c> so what am i defending now?<c> you were my town, now im in exile, seein you out<c> i think ive seen this film before<c> so im leavin out the side door<c> so step right out, there is no amount<c> of crying i can do for you<c> all this time<c> we always walked a very thin line<c> you didnt even hear me out didnt even hear me out<c> you never gave a warning sign i gave so many signs<c> all this time<c> i never learned to read your mind never learned to read my mind<c> i couldnt turn things around you never turned things around<c> cause you never gave a warning sign i gave so many signs<c> you never gave a warning sign all this time<c> so many times i never learned to read your mind<c> so many signs i couldnt turn things around i couldnt turn things around<c> cause you never gave a warning sign you never gave a warning sign<c> you never gave a warning sign<c> ah, ah93embedshare urlcopyembedcopy"
Taylor Swift,lover,"we could leave the christmas lights up til january<c> and this is our place, we make the rules<c> and theres a dazzling haze, a mysterious way about you, dear<c> have i known you twenty seconds or twenty years?<c> can i go where you go?<c> can we always be this close?<c> forever and ever, ah<c> take me out, and take me home<c> youre my, my, my, my lover<c> we could let our friends crash in the living room<c> this is our place, we make the call<c> and im highly suspicious that everyone who sees you wants you<c> ive loved you three summers now, honey, but i want em all<c> can i go where you go?<c> can we always be this close?<c> forever and ever, ah<c> take me out, and take me home forever and ever<c> youre my, my, my, my lover<c> ladies and gentlemen, will you please stand?<c> with every guitar string scar on my hand<c> i take this magnetic force of a man to be my lover<c> my hearts been borrowed and yours has been blue<c> alls well that ends well to end up with you<c> swear to be overdramatic and true to my lover<c> and youll save all your dirtiest jokes for me<c> and at every table, ill save you a seat, lover<c> can i go where you go?<c> can we always be this close?<c> forever and ever, ah<c> take me out, and take me home forever and ever<c> youre my, my, my, my<c> oh, youre my, my, my, my<c> darling, youre my, my, my, my lover108embedshare urlcopyembedcopy"
Taylor Swift,the 1,"im doing good, im on some new shit<c> been saying yes instead of no<c> i thought isawyou at thebus stop, i didnt though<c> i hitthe ground running each night<c> i hit the sunday matinée<c> you know the greatest films of all time were never made<c> i guess you never know, never know<c> and if you wanted me, you really shouldve showed<c> and if you never bleed, youre never gonna grow<c> and its alright now<c> but we were something, dont you think so?<c> roaring twenties, tossing pennies in the pool<c> and if my wishes came true<c> it wouldve been you<c> in my defense, i have none<c> for never leaving well enough alone<c> but it wouldve been fun<c> if you wouldve been the one<c> ooh
i have this dream youre doing cool shit<c> having adventures on your own<c> you meet some woman on the internet and take her home<c> we never painted by the numbers, baby<c> but we were making it count<c> you know the greatest loves of all time are over now<c> i guess you never know, never know<c> and its another day waking up alone<c> but we were something, dont you think so?<c> roaring twenties, tossing pennies in the pool<c> and if my wishes came true<c> it wouldve been you<c> in my defense, i have none<c> for never leaving well enough alone<c> but it wouldve been fun<c> if you wouldve been the one<c> i, i, i persist and resist the temptation to ask you<c> if one thing had been different<c> would everything be different today?<c> we were something, dont you think so?<c> rosé flowing with your chosen family<c> and it wouldve been sweet<c> if it couldve been me<c> in my defense, i have none<c> for digging up the grave another time<c> but it wouldve been fun<c> if you wouldve been the one<c> ooh81embedshare urlcopyembedcopy"
Taylor Swift,look what you made me do,"i dont like your little games<c> dont like your tilted stage<c> the role you made me play<c> of the fool, no, i dont like you<c> i dont like your perfect crime<c> how you laugh when you lie<c> you said the gun was mine<c> isnt cool, no, i dont like you oh<c> but i got smarter, i got harder in the nick of time<c> honey, i rose up from the dead, i do it all the time<c> ive got a list of names and yours is in red, underlined<c> i check it once, then i check it twice, oh<c> ooh, look what you made me do<c> look what you made me do<c> look what you just made me do<c> look what you just made me<c> ooh, look what you made me do<c> look what you made me do<c> look what you just made me do<c> look what you just made me do<c> i dont like your kingdom keys<c> they once belonged to me<c> you asked me for a place to sleep<c> locked me out and threw a feast what?<c> the world moves on, another day, another drama, drama<c> but not for me, not for me, all i think about is karma<c> and then the world moves on, but one things for sure<c> maybe i got mine, but youll all get yours<c> but i got smarter, i got harder in the nick of time<c> honey, i rose up from the dead, i do it all the time<c> ive got a list of names and yours is in red, underlined<c> i check it once, then i check it twice, oh<c> ooh, look what you made me do<c> look what you made me do<c> look what you just made me do<c> look what you just made me<c> ooh, look what you made me do<c> look what you made me do<c> look what you just made me do<c> look what you just made me do<c> i dont trust nobody and nobody trusts me<c> ill be the actress starring in your bad dreams<c> i dont trust nobody and nobody trusts me<c> ill be the actress starring in your bad dreams<c> i dont trust nobody and nobody trusts me<c> ill be the actress starring in your bad dreams<c> i dont trust nobody and nobody trusts me<c> ill be the actress starring in your bad dreams<c> ooh, look what you made me do<c> look what you made me do<c> look what you just made me do<c> look what you just made me<c> ooh, look what you made me do<c> look what you made me do<c> look what you just made me<c> im sorry, the old taylor cant come to the phone right now<c> why? oh, cause shes dead oh<c> ooh, look what you made me do<c> look what you made me do<c> look what you just made me do<c> look what you just made me<c> ooh, look what you made me do<c> look what you made me do<c> look what you just made me do<c> look what you just made me do<c> ooh, look what you made me do<c> look what you made me do<c> look what you just made me do<c> look what you just made me<c> ooh, look what you made me do<c> look what you made me do<c> look what you just made me do<c> look what you just made me do215embedshare urlcopyembedcopy"
Taylor Swift,betty,"betty, i wont make assumptions<c> about why you switched your homeroom, but<c> i think its cause ofme<c> betty,one time iwas riding on my skateboard<c> when ipassed your house<c> its like i couldnt breathe<c> you heard the rumors from inez<c> you cant believe a word she says<c> most times, but this time it was true<c> the worst thing that i ever did<c> was what i did to you<c> but if i just showed up at your party<c> would you have me? would you want me?<c> would you tell me to go fuck myself<c> or lead me to the garden?<c> in the garden, would you trust me<c> if i told you it was just a summer thing?<c> im only seventeen, i dont know anything<c> but i know i miss you<c> betty, i know where it all went wrong<c> your favorite song was playing<c> from the far side of the gym<c> i was nowhere to be found<c> i hate the crowds, you know that<c> plus, i saw you dance with him<c> you heard the rumors from inez<c> you cant believe a word she says<c> most times, but this time it was true<c> the worst thing that i ever did<c> was what i did to you<c> but if i just showed up at your party<c> would you have me? would you want me?<c> would you tell me to go fuck myself<c> or lead me to the garden?<c> in the garden, would you trust me<c> if i told you it was just a summer thing?<c> im only seventeen, i dont know anything<c> but i know i miss you<c> i was walking home on broken cobblestones<c> just thinking of you when she pulled up like<c> a figment of my worst intentions<c> she said james, get in, lets drive<c> those days turned into nights<c> slept next to her, but<c> i dreamt of you all summer long<c> betty, im here on your doorstep<c> and i planned it out for weeks now<c> but its finally sinkin in<c> betty, right now is the last time<c> i can dream about what happens when<c> you see my face again<c> the only thing i wanna do<c> is make it up to you<c> so i showed up at your party<c> yeah, i showed up at your party<c> yeah, i showed up at your party<c> will you have me? will you love me?<c> will you kiss me on the porch<c> in front of all your stupid friends?<c> if you kiss me, will it be just like i dreamed it?<c> will it patch your broken wings?<c> im only seventeen, i dont know anything<c> but i know i miss you<c> standing in your cardigan<c> kissin in my car again<c> stopped at a streetlight<c> you know i miss you68embedshare urlcopyembedcopy"
Taylor Swift,august,"salt air, and the rust on your door<c> i never needed anything more<c> whispers of are yousure?<c> neverhave i everbefore<c> but i can see us lostin the memory<c> august slipped away into a moment in time<c> cause it was never mine<c> and i can see us twisted in bedsheets<c> august sipped away like a bottle of wine<c> cause you were never mine<c> your back beneath the sun<c> wishin i could write my name on it<c> will you call when youre back at school?<c> i remember thinkin i had you<c> but i can see us lost in the memory<c> august slipped away into a moment in time<c> cause it was never mine<c> and i can see us twisted in bedsheets<c> august sipped away like a bottle of wine<c> cause you were never mine<c> back when we were still changin for the better<c> wanting was enough<c> for me, it was enough<c> to live for the hope of it all<c> cancel plans just in case youd call<c> and say, meet me behind the mall<c> so much for summer love and saying us<c> cause you werent mine to lose<c> you werent mine to lose, no<c> but i can see us lost in the memory<c> august slipped away into a moment in time<c> cause it was never mine<c> and i can see us twisted in bedsheets<c> august sipped away like a bottle of wine<c> cause you were never mine<c> cause you were never mine<c> never mine<c> but do you remember?<c> remember when i pulled up and said get in the car<c> and then canceled my plans just in case youd call?<c> back when i was livin for the hope of it all, for the hope of it all<c> meet me behind the mall<c> remember when i pulled up and said get in the car<c> and then canceled my plans just in case youd call?<c> back when i was livin for the hope of it all, for the hope of it all<c> meet me behind the mall<c> remember when i pulled up and said get in the car<c> and then canceled my plans just in case youd call?<c> back when i was livin for the hope of it all for the hope of it all<c> for the hope of it all, for the hope of it all<c> for the hope of it all, for the hope of it all82embedshare urlcopyembedcopy"
Taylor Swift,end game,"i wanna be your end game<c> i wanna be your first string<c> i wanna be your ateam whoa, whoa, whoa<c> i wanna be your end game, end game<c> big reputation, big reputation<c> ooh, you and me, we got big reputations, ah<c> and you heard about me, ooh<c> i got some big enemies yeah<c> big reputation, big reputation<c> ooh, you and me would be a big conversation, ah git, git<c> and i heard about you, ooh yeah<c> you like the bad ones, too<c> you so dope, dont overdose, im so stoked, i need a toast<c> we do the most, im in the ghost like im whippin a boat<c> i got a reputation, girl that dont precede me yeah<c> im one call away whenever you need me yeah<c> im in a g5 yeah, come to the aside yeah<c> i got a bad boy persona, thats what they like what they like<c> you love it, i love it too cause you my type you my type<c> you hold me down and i protect you with my life<c> i dont wanna touch you, i dont wanna be<c> just another exlove you dont wanna see<c> i dont wanna miss you i dont wanna miss you<c> like the other girls do<c> i dont wanna hurt you, i just wanna be<c> drinking on a beach with you all over me<c> i know what they all say i know what they all say<c> but i aint tryna play<c> i wanna be your end game end game<c> i wanna be your first string first string<c> i wanna be your ateam ateam<c> i wanna be your end game, end game<c> knew her when i was young, reconnected when we were little bit older<c> both sprung, i got issues and chips on both of my shoulders<c> reputation precedes me, in rumors, im kneedeep<c> the truth is, its easier to ignore it, believe me<c> even when wed argue, wed not do it for long<c> and you understand the good and bad end up in the song<c> for all your beautiful traits, and the way you do it with ease<c> for all my flaws, paranoia, and insecurities<c> ive made mistakes and made some choices, thats hard to deny<c> after the storm, something was born on the 4th of july<c> ive passed days without fun, this end game is the one<c> with four words on the tip of my tongue, ill never say it<c> i dont wanna touch you, i dont wanna be<c> just another exlove you dont wanna see<c> i dont wanna miss you i dont wanna miss you<c> like the other girls do<c> i dont wanna hurt you, i just wanna be<c> drinking on a beach with you all over me<c> i know what they all say, yeah<c> but i aint tryna play<c> i wanna be your end game end game<c> i wanna be your first string wanna be your first string<c> i wanna be your ateam ateam<c> i wanna be your end game, end game<c> big reputation, big reputation<c> ooh, you and me, we got big reputations, ah<c> and you heard about me, ooh<c> i got some big enemies<c> hey, big reputation, big reputation<c> ooh, you and me would be a big conversation, ah<c> and i heard about you, ooh<c> you like the bad ones, too<c> i hit you like bang, we tried to forget it, but we just couldnt<c> and i bury hatchets, but i keep maps of where i put em<c> reputation precedes me, they told you im crazy<c> i swear i dont love the drama, it loves me<c> and i cant let you go, your hand prints on my soul<c> its like your eyes are liquor, its like your body is gold<c> youve been calling my bluff on all my usual tricks<c> so heres the truth from my red lips<c> i wanna be your end game end game<c> i wanna be your first string me and you, first string<c> i wanna be your ateam be your ateam now, ateam<c> i wanna be your end game, end game<c> i wanna be your end game oh, i do<c> i wanna be your first string first string<c> i wanna be your ateam ateam<c> i wanna be your end game, end game104embedshare urlcopyembedcopy"
Taylor Swift,you need to calm down,"you are somebody that i dont know<c> but youre takin shots at me like its patrn<c> and im just like, damn, its 7 am<c> say it in the street, thats a knockout<c> but you say it in a tweet, thats a copout<c> and im just like, hey, are you okay?<c> and i aint tryna mess with your selfexpression<c> but ive learned a lesson that stressin and obsessin bout somebody else is no fun<c> and snakes and stones never broke my bones<c> so ohoh, ohoh, ohoh, ohoh, ohoh<c> you need to calm down, youre being too loud<c> and im just like ohoh, ohoh, ohoh, ohoh, ohoh oh<c> you need to just stop, like can you just not step on my gown?<c> you need to calm down<c> you are somebody that we dont know<c> but youre comin at my friends like a missile<c> why are you mad when you could be glaad? you could be glaad<c> sunshine on the street at the parade<c> but you would rather be in the dark ages<c> makin that sign mustve taken all night<c> you just need to take several seats and then try to restore the peace<c> and control your urges to scream about all the people you hate<c> cause shade never made anybody less gay<c> so ohoh, ohoh, ohoh, ohoh, ohoh<c> you need to calm down, youre being too loud<c> and im just like ohoh, ohoh, ohoh, ohoh, ohoh oh<c> you need to just stop, like can you just not step on his gown?<c> you need to calm down<c> and we see you over there on the internet<c> comparing all the girls who are killing it<c> but we figured you out<c> we all know now we all got crowns<c> you need to calm down<c> ohoh, ohoh, ohoh, ohoh, ohoh<c> you need to calm down you need to calm down<c> youre being too loud youre being too loud<c> and im just like ohoh, ohoh, ohoh, ohoh, ohoh oh<c> you need to just stop can you stop?<c> like can you just not step on our gowns?<c> you need to calm down103embedshare urlcopyembedcopy"
Taylor Swift,me,"i promise that youll never find another like me<c> i know that im a handful, baby, uh<c> i know i never think before i jump<c> and youre the kind of guy the ladies want<c> and theres a lot of cool chicks out there<c> i know that i went psycho on the phone<c> i never leave well enough alone<c> and troubles gonna follow where i go<c> and theres a lot of cool chicks out there<c> but one of these things is not like the others<c> like a rainbow with all of the colors<c> baby doll, when it comes to a lover<c> i promise that youll never find another like<c> meee, oohoohoohooh<c> im the only one of me<c> baby, thats the fun of me<c> eeheeheeh, oohoohoohooh<c> youre the only one of you<c> baby, thats the fun of you<c> and i promise that nobodys gonna love you like meee<c> i know i tend to make it about me<c> i know you never get just what you see<c> but i will never bore you, baby<c> and theres a lot of lame guys out there<c> and when we had that fight out in the rain<c> you ran after me and called my name<c> i never wanna see you walk away<c> and theres a lot of lame guys out there<c> cause one of these things is not like the others<c> livin in winter, i am your summer<c> baby doll, when it comes to a lover<c> i promise that youll never find another like<c> meee, oohoohoohooh<c> im the only one of me<c> let me keep you company<c> eeheeheeh, oohoohoohooh<c> youre the only one of you<c> baby, thats the fun of you<c> and i promise that nobodys gonna love you like meee<c> girl, there aint no i in team<c> but you know there is a me<c> strike the band up, 1, 2, 3<c> i promise that youll never find another like me<c> girl, there aint no i in team<c> but you know there is a me<c> and you cant spell awesome without me<c> i promise that youll never find another like<c> meee yeah, oohoohoohooh and i want ya, baby<c> im the only one of me im the only one of me<c> baby, thats the fun of me baby, thats the fun of me<c> eeheeheeh, oohoohoohooh oh<c> youre the only one of you oh<c> baby, thats the fun of you<c> and i promise that nobodys gonna love you like meee<c> girl, there aint no i in team oohoohoohooh<c> but you know there is a me<c> im the only one of me ohoh<c> baby, thats the fun of me<c> eeheeheeh, oohoohoohooh<c> strike the band up, 1, 2, 3<c> you cant spell awesome without me<c> youre the only one of you<c> baby, thats the fun of you<c> and i promise that nobodys gonna love you like meee112embedshare urlcopyembedcopy"
